IDENT,LATITUDE,LONGITUDE
ABASA,-4.94775,107.261028
ABILO,-5.296667,109.048333
AGIGU,-6.932714,138.879061
AGSON,2.25,114.856667
AGUNG,-7.991486,115.684375
AKULA,-3.119878,108.950925
ALAMO,-4.712425,108.814825
ALOBA,-1.643875,129.194967
ALTAR,-3.721772,107.550036
AMBOY,-4.133333,108.166667
AMVIL,2.855,100.088333
ANITO,-0.283333,104.866667
APAGA,-2.782675,108.580897
APARI,-2.043472,107.840383
APASI,-1.445936,129.743119
ARIRU,2.890169,119.170447
ARUPA,0.528333,108.813333
ATMAL,-12.0,107.591667
ATOMY,-3.130594,129.7814
ATOSO,-5.147911,107.467111
BADAK,-6.877222,115.611111
BAGIL,-8.598114,123.564789
BALAB,0.154858,99.178153
BAXAL,4.038889,117.976111
BEDAX,5.364328,93.787575
BELBA,-2.223692,127.303197
BENTO,-5.238311,127.775864
BIBUL,-2.676842,102.0899
BIDAK,-4.041269,106.032064
BIKAL,-4.878836,106.4683
BIRAS,1.133056,99.805833
BISOM,-2.32315,115.843728
BOLAK,-8.167906,106.337731
BOLSA,-1.202225,108.686706
BOLUG,4.0,130.776667
BOMAX,-0.902653,108.093172
BONDA,2.044894,124.880436
BORAS,-3.61065,105.521172
BOSLO,-3.625,106.391667
BOSTI,5.8239,97.313494
BULVA,4.566667,94.0
BUNBO,-4.298522,137.597533
BUNIK,-4.861667,106.623333
CARLI,-5.260169,106.213231
CICAK,-8.407222,117.0625
CUCUT,-6.295,111.1
DALOT,-1.024989,118.522617
DASTY,-6.173992,116.330692
DENDY,-5.197069,107.606589
DIANI,1.758933,123.347914
DILAM,-0.893489,120.377172
DIOLA,-2.415061,121.679725
DOKET,-6.4605,116.1661
DOLEM,2.560556,96.501944
DOLTA,-5.126144,105.92495
DOMIL,-3.918917,105.238275
DORIA,-0.966428,119.236531
DOTIR,1.345328,130.158803
DUAMO,5.266025,97.511267
DULON,2.0,126.061667
DUNAM,-6.872028,105.917
DUNIA,-3.966667,113.141667
EBONY,-0.908333,110.703333
ELANG,-0.926567,114.834194
ELBAM,-7.39465,118.726483
ELDEM,-5.881667,103.355
EMONA,-5.265,124.216667
EMPIL,-6.5,135.0
ENDOG,-5.876853,117.201508
ENSIB,-7.056078,105.619278
ENTAS,-7.712956,114.370292
EROSY,-7.138333,136.77
ESLOG,-9.418333,107.975
FALAM,-2.487303,129.417914
FANDO,-6.973544,113.984817
FASAL,-0.041667,131.36
FATOL,0.483333,129.18
FERET,-2.8126,106.017472
FILMO,-0.786667,134.466667
FIMBA,-0.1403,129.1649
FOLOT,-5.516667,132.39
FORMY,0.671667,128.393333
GABIT,-9.427644,117.596819
GABUS,0.008803,118.986214
GAJAH,-6.985833,115.936389
GALKO,-6.826667,115.081667
GAMAL,-2.86375,118.038997
GARUT,2.6291,120.1332
GEPAK,-7.767761,110.018344
GIWOT,-11.262117,115.153092
GOBAL,-0.926667,129.384594
GOMAT,-9.214208,117.646183
GOMBY,-4.278925,129.717003
GONTA,0.813539,123.369856
GOTLA,4.291667,99.333333
GUANO,-5.630136,116.543194
GUGUS,-0.906667,127.163333
GURNI,-3.980014,117.252264
GUVIL,-7.288039,105.243869
HALMO,1.014706,126.590431
HAMOL,-1.770458,115.339811
HANTA,-3.7872,129.843794
HELIT,-2.121633,133.079489
HIPNO,-4.420531,123.417717
