IDENT,LATITUDE,LONGITUDE
ABAGU,52.503333,-7.646667
ADARA,51.5,-15.0
ADARU,52.593833,-8.930944
AGINI,53.155528,-8.579472
AGORI,57.0,-13.0
ALPHA,52.639403,-9.058414
AMDEP,51.566667,-11.216667
ARKIL,50.657778,-8.0
ASDIR,52.506556,-9.290472
ASKUP,53.8925,-6.108889
ATSUR,50.0,-14.0
BAKUR,52.241667,-5.680278
BAL04,53.294822,-6.336994
BAL09,53.288336,-6.198553
BAL13,53.280517,-6.088194
BAL14,53.281692,-6.060153
BAL15,53.298003,-6.406231
BAL21,53.268056,-5.867078
BAL23,53.269325,-5.811147
BAL35,53.223883,-6.594992
BAL45,53.481133,-6.160661
BAL46,53.408722,-6.2758
BAL47,53.360383,-6.352342
BAL48,53.31805,-6.419175
BAL86,53.3532,-5.870903
BAL92,53.208153,-5.885497
BAMLI,54.141111,-6.651111
BANBA,51.952778,-6.239167
BAPDA,53.627778,-6.401028
BARNU,52.03775,-8.607889
BATED,53.495222,-6.111889
BEDRA,49.0,-15.0
BEGID,56.5,-14.0
BEPAN,52.526667,-6.263611
BEVES,52.659583,-9.014778
BEXET,54.0,-14.0
BIBLA,51.135833,-8.91
BILTO,56.5,-15.0
BIMGO,49.5,-14.0
BUNED,52.622778,-6.63
BUNON,52.375,-9.543611
DEGOS,54.189167,-6.906389
DERAG,52.862944,-8.580389
DEVOL,53.890278,-10.434167
DEXET,54.781111,-11.073611
DIGAN,52.936944,-8.1975
DIMUS,52.239722,-6.251389
DINIL,53.673889,-6.456944
DINIM,51.0,-15.0
DIRUM,53.002778,-6.661111
DISUR,52.725278,-9.098833
DODIG,53.962778,-6.492778
DOGAL,54.0,-15.0
DOLIP,52.0,-12.0
DOLUL,52.0,-14.0
DUB01,53.452589,-6.272508
DUB10,53.429689,-5.876492
DUB15,53.346219,-6.177131
DUB16,53.544797,-5.866886
DUB17,53.609914,-5.900339
DUB21,53.404622,-5.990658
DUB28,53.430358,-6.431569
DUB64,53.635886,-5.923117
DUB71,53.408533,-6.0554
DUB87,53.570761,-6.355811
DUNLO,53.33,-5.5
DWE51,53.412528,-6.111917
DWE52,53.401528,-5.919111
DWS77,53.347639,-6.180639
DWS78,53.235,-6.417778
DWW01,53.381722,-6.678778
ELPIN,56.0,-12.0
ELSOX,51.0,-14.0
EMPER,49.0,-9.0
ENIRI,53.089722,-8.405
ENOKU,53.101111,-7.660833
ENULA,53.9725,-8.264444
EPUNA,50.5,-14.0
ERABI,53.015,-9.5675
ERTER,51.561944,-8.060278
ERUDA,53.674722,-6.281944
ETARI,55.5,-15.0
EVRIN,51.782222,-6.563333
GATLO,52.682861,-8.740722
GELKI,53.996944,-5.904167
GERVO,53.091389,-6.506667
GILOG,52.769444,-8.423944
GIMRO,53.652778,-5.748639
GIPER,51.0,-12.0
GISTI,53.0,-14.0
GOLF,52.875797,-8.663792
GORTO,52.955278,-8.959083
GULTU,52.809944,-9.388194
GUNSO,49.052778,-11.768333
IBROD,56.5,-10.0
IDE86,53.438569,-6.528283
INKUR,53.597583,-7.391278
ISE02,52.685681,-8.96075
ISE48,52.647769,-9.043936
ISE93,52.602622,-9.142156
KESIX,56.95,-14.0
KOGAD,49.5,-15.0
KOKIB,54.5,-14.0
KOMAG,51.726389,-8.615278
KORAK,53.395,-7.793056
KUGUR,55.5,-10.0
KURUM,52.228611,-8.664722
LAPMO,53.403056,-5.945583
LASNO,48.598333,-9.0
LEKVA,51.5,-14.0
LIFFY,53.48,-5.5
LILNO,51.5925,-9.22
LIMRI,52.0,-15.0
LINRA,51.579722,-10.032222
LODLA,51.936111,-10.528056
LUNIG,52.397222,-8.275833
LUPOR,52.542222,-9.701944
MALOT,53.0,-15.0
MAPAG,51.0,-8.5
MOGLO,55.5,-14.0
MOLAK,54.613611,-9.506389
MOMIN,53.113333,-9.392778
MORAG,52.752778,-5.5
NASRI,53.318611,-6.588056
NEBIN,53.5,-15.0
NEGEL,51.946844,-8.553722
NEPOD,52.949167,-6.175
NEPOG,52.815056,-8.907333
NERTU,49.0,-14.0
NETKI,55.0,-14.0
NEXAT,51.938889,-6.575556
NIBOG,55.0,-10.0
NIPIT,54.4525,-8.402778
NITIL,53.466667,-6.631944
NORLA,51.619167,-6.869722
NUPVO,52.67575,-8.268167
ODLUM,55.0,-12.0
OGONO,52.923639,-8.449306
OLAPO,53.780278,-7.294611
OLGON,53.5,-14.0
OLONO,52.723056,-6.778889
OMOKO,48.838889,-12.0
ORTOM,51.270833,-8.299444
OSBOX,56.806389,-12.801667
OSGAR,53.049444,-7.270278
PELIG,53.199722,-7.333333
PESIT,52.399167,-5.756667
PIKIL,56.0,-15.0
R1296,53.422431,-6.290075
R1298,53.436989,-6.261978
R1299,53.420261,-6.250578
R1300,51.850269,-8.496439
R1843,52.693172,-8.943519
R1844,52.710008,-8.907742
RERKI,52.442778,-9.182944
RESNO,55.0,-15.0
REVNU,54.466667,-10.116667
RIKUL,53.057778,-8.345833
RILED,52.5,-14.0
RINUS,53.644167,-7.662222
RISAP,53.440944,-6.637
RODEL,50.5,-15.0
ROKNA,53.656111,-5.883056
ROSRO,52.805306,-8.704278
ROVAL,51.973722,-8.569694
SAMON,51.3225,-7.417778
SHA12,52.592372,-9.136433
SHA13,52.609189,-9.189858
SHA15,52.611003,-9.253814
SHA28,52.75095,-8.826383
SHA37,52.681403,-8.962831
SHA70,52.798894,-8.642775
SHA73,52.812003,-8.561608
SHA75,52.640675,-9.0424
SLANY,52.158611,-5.842222
SOMAX,50.0,-15.0
SOVED,56.0,-14.0
SUNOT,57.0,-15.0
SUROX,53.996667,-6.993333
SUTEX,52.824361,-6.930361
TERBU,52.587583,-9.427806
TIPUR,52.589167,-8.125278
TISMO,52.134722,-8.013056
TOBOR,52.5,-15.0
TOBRI,52.954778,-8.697111
TOMTO,52.873611,-8.151389
TORLU,52.987778,-7.583056
TULLA,52.806764,-8.710203
TULSO,53.199275,-5.832072
TURLU,50.076389,-8.0
ULTAG,53.700278,-6.738111
UNBEG,52.805,-9.73
UNLID,51.209167,-10.724722
VAPAL,51.878611,-7.821667
VATRY,52.554444,-5.5
VENER,54.5,-15.0
ABIDO,52.478889,-5.795556
ADMUP,52.8,-6.233333
ADSIS,53.684167,-5.659444
AKELI,54.0,-10.0
AMDIL,53.257028,-5.9815
AMELI,53.410278,-6.052778
ARDAM,51.558056,-7.9975
ARVOK,53.155278,-6.059722
ASGON,52.598444,-9.143917
ATLAM,51.644667,-8.375361
BABAN,54.0,-12.0
BAGSO,53.68,-5.5
BALNA,54.383889,-7.978889
BANDU,50.485556,-10.1475
BODNO,49.462222,-8.871944
BOKLI,53.464444,-6.833333
BOYNE,53.767222,-5.5
BURAK,53.0,-12.0
CKE76,51.724167,-8.059444
CKN27,52.129167,-8.943611
CKN28,52.147083,-8.673333
CKS01,51.497222,-8.639167
CKW01,51.833611,-8.844167
CKW02,51.704444,-8.766667
CKW26,52.038611,-8.979722
DESUB,52.91,-6.280556
DEXEN,53.280278,-5.5
DONEB,53.320556,-6.723333
DONOX,53.913056,-8.817778
DW682,53.095,-6.287778
DW704,53.401111,-5.486111
DW705,53.513056,-5.523889
DW706,53.605833,-5.635278
DW814,53.396389,-5.528056
DW815,53.303611,-5.563056
DW816,53.229722,-5.645556
DWE53,53.1275,-5.566944
DWE54,53.410833,-6.084167
DWE55,53.345,-5.952778
DWN26,53.513333,-6.317444
DWN27,53.62675,-6.621417
DWN28,53.570278,-6.422222
DWN29,53.755833,-6.2725
DWS79,53.339722,-6.192222
DWS80,53.270278,-6.180556
DWS81,53.311389,-6.146111
DWW02,53.40475,-6.530417
DWW04,53.738333,-6.881389
DWW06,53.554167,-6.623611
ELKAM,53.225361,-6.271611
ELPOM,52.560306,-9.224111
ELTIG,51.753611,-7.835
EPERO,51.845778,-8.262694
