IDENT,LATITUDE,LONGITUDE
31BSA,31.107806,35.286872
AMMIT,31.622222,35.456389
ASNAD,31.898611,35.136667
ATLIT,32.697778,34.915278
BG006,32.020331,34.857531
BG025,32.037594,34.826225
BGN01,31.919611,35.037706
BGN02,32.009069,34.856342
BGN03,32.010475,34.816636
BGN04,31.975736,34.940339
BGN05,31.982094,34.987181
BGN06,31.932019,34.944431
BGN07,32.017117,34.738225
BGN08,31.938328,35.005264
BGN09,32.044247,34.702739
BGN10,31.877939,34.990411
BGN12,32.001903,34.894861
BGN18,32.023114,34.5227
BGN25,32.004214,34.833522
BGN26,32.006919,34.738344
BGN28,32.061803,34.687806
BGN29,31.862289,35.415119
BGN32,32.14055,34.781744
BGN37,32.005558,34.803381
BGN60,31.957036,34.972808
BGN70,32.011686,34.861742
BGN95,32.000844,34.992081
BGN96,31.952831,35.439219
BGN97,31.993228,34.686678
BIRIM,31.861667,34.968333
BOGER,30.933333,34.883333
DAVAR,33.1,34.596667
DEENA,32.026389,34.640556
DESHE,32.850556,35.5425
ESTER,31.742778,35.228333
GALIM,32.833333,34.966667
GEVES,30.45,34.9875
GILAD,31.481667,34.853333
GITLA,32.316111,34.045556
INTRO,32.178611,34.7425
IZHAR,32.084444,34.896111
KANER,32.207778,34.931944
KINAR,30.943889,35.351389
LORIM,31.931111,35.153056
MEGID,32.589722,35.251667
MESIL,32.110556,34.901389
NAT04,32.303542,34.898806
NEGEV,31.884444,35.443333
NEOMI,31.584722,35.291389
NURIT,30.069444,35.065833
OVD30,29.920156,34.922297
OVD35,30.006725,34.993758
PURLA,32.048889,34.229722
R2162,32.014206,34.866822
RIMON,32.231944,34.4575
SALAM,31.933333,35.516667
SAMAR,29.822222,35.017778
SHIRA,31.854167,34.458056
SIRON,32.153333,34.608056
SIVAK,31.708889,35.476944
SOLIN,32.484444,34.161389
SUKOT,31.065556,35.363889
SUVAS,32.163333,33.990278
TAMMI,32.8575,34.553611
TIBBI,32.041389,34.370278
TOMAL,31.741389,35.485
YAMIT,32.232281,34.716339
YOSEF,32.311111,34.7475
ZAFON,32.04,35.08
