IDENT,LATITUDE,LONGITUDE
ADPOP,19.050889,68.000028
AGEGA,8.835139,93.996861
AGELA,16.606667,75.465833
AGROM,22.52925,84.833444
AKELA,27.416806,76.798806
AKMIL,11.859833,80.115167
AKTIV,20.248139,73.258194
ALADO,11.355778,91.797083
ALBIS,18.116528,68.000028
ALDIN,14.239667,74.334222
AMVIG,22.853556,73.375833
ANIRO,14.036056,78.608389
ANODA,9.968278,72.399472
APANO,21.584,72.982694
APASI,7.907694,92.645083
APGUN,12.061094,77.582711
APIPU,26.9775,82.997944
APUNA,12.809722,68.016694
APUSU,18.001,76.428917
ARADO,24.026778,73.719806
ARIVO,22.971472,84.12925
ARONA,9.904694,76.993611
ASARI,30.80425,75.158722
ASOGA,19.542528,76.832194
ASOPO,23.185861,80.060639
ASPUX,17.734333,60.001056
ATAPO,17.674361,75.998972
ATEMA,5.001972,62.344611
ATETA,9.318361,79.648556
ATIDA,9.980306,87.750917
ATOGA,25.267194,90.017083
AUVIT,26.332111,89.472944
AVGIR,12.557456,82.011439
AVGON,28.642972,76.629417
AVKOR,18.034333,73.965917
AVNOS,11.757917,83.359778
BADAT,27.818444,75.319
BASOP,11.859917,91.297139
BASUR,7.930389,78.154028
BAVOX,26.141944,77.215417
BBB01,19.150692,72.713306
BBB02,18.852669,72.776614
BBB03,19.369636,72.885819
BBB04,19.089467,72.611419
BBB05,19.089747,72.787489
BBB09,19.355867,72.967961
BBB11,19.088003,73.049547
BBB12,18.887553,72.713036
BBB16,18.813367,72.962689
BBB17,18.967419,73.108269
BBB18,18.951669,73.1393
BBB20,18.821636,72.763467
BBB21,18.861164,72.691422
BBB24,18.942994,72.616494
BBB26,19.030883,72.581783
BBB27,19.080183,72.576247
BBB28,19.124464,72.614578
BBB30,19.2363,72.664353
BBB31,19.256442,72.682106
BBB32,19.313414,72.617597
BBB33,19.288356,72.720011
BBB34,19.331644,72.725556
BBB35,19.279233,72.656308
BBB36,19.0538,73.0557
BBB37,19.361347,72.802864
BBB38,18.904767,73.058533
BBB39,18.880672,73.082928
BBB42,18.959764,72.646925
BBB43,19.302681,72.743203
BBB45,19.289867,73.083439
BBB50,19.088317,72.96155
BBB54,19.265825,73.058931
BBB61,18.845372,72.952428
BBB62,19.037319,72.616314
BBB63,19.050275,72.614011
BBB64,19.017992,72.512736
BBB66,19.063328,72.612428
BBB72,19.080819,72.611436
BBB73,19.328883,72.811406
BBB74,19.098336,72.611731
BBB76,19.091994,72.741792
BBB82,19.133092,72.616164
BBB86,19.119981,72.739344
