IDENT,LATITUDE,LONGITUDE
ADNOW,35.481458,44.331736
ALPET,31.205278,46.312222
ALSOX,33.616667,39.333333
ASNOT,33.499875,42.954617
AVEVE,30.958581,45.842261
AYASA,34.141939,44.325097
BEEMS,34.145983,44.203894
BERZE,35.59435,44.154569
BETHE,34.155014,44.221914
BIVAY,31.105589,45.934375
BLD07,33.860281,44.446839
BLD11,33.923308,44.381197
BLD12,34.017208,44.148253
BLD20,33.949489,44.331453
BLD21,33.784597,44.525483
BLD29,33.976608,44.258208
BOXIX,35.29,46.155953
BRODY,33.356153,44.181506
BSR15,30.304342,47.82225
BUZZZ,32.884133,44.470583
CADAG,33.499936,44.057603
CEGER,31.032094,45.888283
CEPOK,30.458925,47.744719
CETBU,33.793128,44.489503
CIDAC,36.409367,43.094544
CIRAG,35.824617,43.084717
CITYA,34.526633,43.695108
COLRU,33.783969,42.554408
COMOP,35.485639,44.337611
CONBI,34.827222,43.415425
CONIF,30.984456,45.990658
COPEC,34.094803,44.242256
CUPUK,34.738167,43.471017
DASUR,34.501561,44.404819
DAXAN,32.086711,39.621981
DAXOG,35.770061,43.757772
DEBME,35.3199,44.508161
DEBVE,30.7693,46.247539
DELMI,33.321753,43.224331
DENKI,32.374572,45.855994
DEYAD,33.279,44.494133
DIDAC,35.9134,43.0278
DODAY,30.916022,46.340097
DUTNE,33.17045,44.284153
ECIVA,33.361722,44.364928
EDACU,30.842669,46.293783
EGAYI,33.776211,44.225858
EGTEG,30.979911,45.989522
ELEXI,34.691667,41.15
ELIBA,32.154144,44.779064
ELODI,32.048967,43.857211
ELOSI,33.133333,44.3
ELOSU,33.482733,44.035194
EMIDO,36.770081,42.914869
ETBOM,33.360475,44.797931
ETECA,35.874733,42.9369
FAMBI,35.1966,44.198931
FARVO,30.890539,46.191703
FEPGA,33.737106,44.092489
FEVBY,34.012131,44.310228
FEVIN,33.775672,42.183925
FIDIX,33.46295,44.100794
FIKNU,34.443878,43.681906
FINBI,33.440694,44.291422
FINID,35.690033,43.1707
FOSMI,34.594767,43.604417
FROZN,33.7934,42.616092
GADSI,30.566133,47.187703
GAPEC,36.527667,43.034
GATDE,35.601183,43.2273
GEBSE,33.166278,44.311725
GEPAP,33.818278,42.480733
GIBUX,33.120778,41.273661
GITNU,35.29,41.264789
GIVCE,35.952,43.118783
GIVPI,33.789267,44.531717
HATMI,36.523269,42.91005
HATRR,33.730633,44.539992
HATUK,33.083617,44.343558
HEBKA,34.515653,43.795086
HEIKO,33.75245,44.572681
HIBUT,33.241433,44.260275
HODUT,35.392236,44.423119
HOLPA,35.432142,44.383139
HUGAP,35.981583,42.954331
HUGES,34.747864,43.489508
IDITE,35.542447,43.245742
IGUDE,35.639617,43.318033
ILMAP,31.359167,46.950556
IPACI,35.844222,43.063508
IPOPE,33.792661,42.582464
ITBIT,31.793111,45.487936
ITERE,36.834664,42.871358
ITOVA,33.330808,44.691381
IVANO,35.289014,45.209547
IVOLU,34.023517,44.309731
IVUKU,30.887217,46.1879
JATOK,33.011278,44.393064
JEBAS,33.075394,44.374978
JEEPS,35.249767,44.630853
JEPTI,35.6874,43.167003
JERIB,35.780553,43.113958
JIKNO,33.793308,42.613994
JILTU,33.050492,43.89605
JINBO,33.786414,42.67435
JIRDA,35.698342,44.157294
JOMUN,33.795078,42.702419
JUSAK,34.6061,43.621389
KADVE,35.752428,43.131578
KATUT,32.627036,45.577603
KENEC,36.595256,43.125586
KIBDE,33.385878,44.021194
KISPE,33.368914,44.169319
KONVE,35.650306,44.111067
KRK14,35.221911,44.552572
KRK32,35.710933,44.126117
KRK44,35.216217,44.541839
KRK98,35.625519,44.032383
KUTIM,33.924508,44.382075
KUVIR,33.9237,44.381717
LAGLO,33.260722,44.249247
LONOR,32.644064,45.082911
LOPAM,32.632553,42.968328
LOPIB,36.109075,44.75
LOSAP,34.111092,44.251281
LOVEK,32.369,44.667
MAA01,33.781078,42.461872
MAA06,33.749756,42.554531
MAA11,33.788728,42.419394
MAA13,33.705786,42.684136
MAA22,33.790961,42.493136
MAA24,33.780947,42.400011
MAA25,33.775711,42.364572
MAA26,33.713867,41.951425
MAA27,33.749375,42.187436
MAA52,33.630094,42.906011
MAA55,33.794264,42.323633
MAA67,33.766961,42.305514
MAA76,33.797442,42.582794
MAJOY,35.395569,44.428064
MAMKE,33.002975,44.317861
MERMO,33.963789,44.349881
METNE,30.325403,47.860536
MIGMI,33.765,45.456667
MOBIS,29.852456,47.082608
MODIK,33.468333,39.016667
MUTAG,34.500958,43.642883
MUTEN,37.283333,44.05
MUTLO,32.171939,44.950786
NADOX,31.084647,45.31425
NAGUL,33.772197,44.506506
NARTE,35.452767,44.3654
NAYIT,35.593222,44.185639
NELDE,33.24505,44.257772
NILIC,36.113539,43.370119
NINVA,37.35,43.216667
NISER,29.508333,44.306667
NOBNO,33.863019,44.432375
NOLDO,32.825667,45.358167
NUNSE,33.427628,44.1074
OMATE,35.655814,44.057722
OMLOE,33.746092,44.406917
ORBOP,33.963656,44.3496
ORGOB,33.280239,44.210908
OSPRE,34.909997,43.428439
OTALO,35.283333,44.316667
PADOY,33.449228,44.011208
PAPKE,33.370169,44.171847
PAPUS,32.892794,45.451819
PARUN,33.403333,45.033667
PASIP,33.0,38.92
PEBAD,30.839747,47.499581
PINTL,33.145825,39.948325
PIVOT,33.079175,39.943089
POKIE,35.557903,44.286536
PRAAF,33.025636,39.938886
PUSKI,34.103811,44.236772
PUSTO,33.35,42.75
PUTSI,33.533333,44.616667
R1428,30.930369,46.106558
R2555,35.478922,44.334464
R2600,33.283822,44.231175
R2615,33.930922,44.376833
R2616,33.956994,44.355467
R2617,30.5355,47.676333
R2809,36.3168,43.141775
R2810,36.294722,43.153025
R2869,35.752219,43.131006
R2870,35.780206,43.113122
R2873,34.688314,43.544972
R2874,34.672297,43.559883
R2912,33.531319,44.253603
R2913,33.516353,44.259856
R3035,33.328106,43.61415
R3050,33.789489,42.432975
R3051,33.780783,42.406247
R3052,33.781731,42.449419
R3053,33.790425,42.476153
R3054,34.679294,43.525858
R3055,34.657017,43.546611
R3141,33.268572,44.216861
R3142,33.242789,44.234558
R3144,30.944694,46.075894
R3153,35.478881,44.343619
R4013,30.94015,46.074753
R4130,33.252575,44.252614
R4132,30.927061,46.102767
RADLE,35.629792,44.215628
RADOR,34.024656,44.299903
RAGET,33.513333,45.896667
RALIE,35.244178,44.588108
RALTI,31.702333,43.000167
RAMPI,35.277667,43.9375
RAPLU,33.383333,41.758333
RAYOD,35.562667,43.13665
RECOY,33.469258,44.103594
REEKS,34.037469,44.093236
RIBAK,35.823825,46.302203
RIDIP,34.503358,44.674233
ROXOP,36.745964,43.556161
RUGIR,30.538628,46.105056
RUSHH,32.883319,44.467497
RUYTO,36.287103,43.1569
SADCO,36.109514,43.247081
SEBIE,33.066969,44.379583
SECOP,33.700972,44.182553
SEPTU,33.216667,44.733333
SETSA,31.75,46.066667
SEVKU,36.096672,43.287733
SHAMM,33.746736,44.564753
SHIPE,33.500756,44.081919
SIDAD,29.875278,48.495556
SIGNI,34.002167,44.700333
SILSO,33.1,43.25
SIXAS,33.011494,44.370297
SODUG,34.553492,45.738197
SOGUM,34.203333,43.915
SOKAD,34.180825,45.540436
SOUPP,33.603525,43.928425
SOXXS,32.89175,44.440561
SUTRI,33.117075,42.191153
SUYOS,35.313242,44.498275
TAGRU,34.499708,44.137964
TAKOY,33.840108,44.572181
TAL05,30.989811,45.993028
TAL06,30.975983,45.984333
TAL10,31.035214,45.911636
TAL11,30.860378,46.285183
TAL12,30.925747,46.115381
TAL14,30.947997,46.067842
TAL15,30.798561,46.334036
TAL16,30.833072,46.355867
TAL21,30.835061,46.269186
TAL30,30.923433,46.111722
TAL41,30.944769,46.065811
TAL50,30.894453,46.196772
TAL51,31.036903,45.824764
TAL71,31.009853,45.895708
TAL91,30.880636,46.188056
TAL99,31.071497,45.846464
TANYU,34.837903,43.315028
TASMI,30.022222,47.918056
TAYOB,35.644589,44.225122
TECOP,33.041878,44.257681
TICOD,33.606431,44.222183
TOMSI,35.816,44.041478
TOXIN,33.161656,44.283517
TUBEN,35.29,42.909528
TUNRA,33.792072,42.554019
UBOYA,33.778481,42.303847
UKMUG,33.716764,45.058
UKNOG,33.347767,44.152428
UKSAX,33.235211,44.240886
ULIMA,32.25,45.266667
UMESA,35.294858,43.718581
UNICE,33.291344,44.226011
VAXEN,33.3,45.25
VINNU,33.166367,44.312194
VUSEB,36.276928,43.8
VUXUL,33.862617,44.449958
WARIB,33.314978,43.641867
WEGEP,35.731244,44.163578
