IDENT,LATITUDE,LONGITUDE
ALGUV,30.751944,56.971944
ALKES,30.15,57.5275
ALKOR,36.783889,51.069167
ALKUL,29.833611,57.276944
ALMEK,29.759444,56.863056
ALMIG,30.168056,56.390833
ALMOB,30.5475,56.493333
ALMUD,33.333611,56.000278
ALMUX,36.46,60.855833
ALNER,32.853611,53.962778
ALNIN,28.678611,50.027222
ALNIT,37.0075,54.785556
ALNOL,26.681944,53.6325
ALTAX,32.147222,49.398333
ALTIV,36.690986,50.058375
AMBEG,35.187778,55.693333
ASMOB,38.013889,48.795556
ASNIN,30.648333,52.163333
ASPOK,36.958889,48.761944
ASRIL,34.470278,47.753611
ASVIS,33.775833,59.307778
BOMIT,32.328056,54.582778
BOMUN,31.610278,54.763889
BONEG,31.473889,53.970833
BONOL,32.378889,54.122778
BONUK,36.716389,54.7075
BONUP,36.597778,50.511389
BOPAG,30.736944,58.824722
BOPEB,33.320278,59.246667
BOPIS,30.478056,48.713333
BORES,38.473611,45.351944
BOSOS,26.723611,55.719722
BOTEK,36.793056,58.621667
BOXAM,34.630278,51.863056
BUBAV,33.988083,47.603503
BUDED,37.886944,47.342222
DABSU,37.084444,54.748333
DAMOS,37.438611,47.755833
DANEB,36.329167,51.404444
DANIB,29.118333,61.288056
DANIC,36.640556,57.779722
DANIX,28.9875,60.861111
DANOV,29.245556,60.399167
DANUS,29.603889,60.342778
DAPAP,29.775,60.431667
DAPEM,32.857222,48.699722
DAPER,25.756111,54.958611
DAPIK,32.931667,48.431389
DAPOG,33.628889,52.391944
DAPOX,30.545833,55.791111
DARON,32.162222,48.878889
DASDA,38.693056,46.870556
DASDO,28.855,52.063056
DATOL,36.788056,53.785
DATUT,26.561667,53.561944
DAXAL,34.859722,49.581667
DEDLA,36.938889,50.012222
DEKBA,34.3625,50.142222
DEMPO,30.297778,48.723889
DENSI,26.532778,54.488889
DERBO,29.428333,61.283611
DIRUS,34.285833,52.046389
DISEL,33.484444,51.021667
DIVAB,25.178333,59.868333
DOBAS,34.286944,51.548611
DODAK,31.048889,53.661111
DOLOS,37.835,58.033333
DULAV,38.949089,45.631594
DUNBA,35.919167,51.818611
DURSI,27.205278,52.028889
EGLES,25.941389,60.503889
EGMAN,37.053056,50.3075
EGMID,26.604167,53.066944
EGNUX,25.668611,59.925556
EGPAT,32.558333,51.4025
EGPER,25.871111,60.128611
EGPIC,25.143056,60.4925
EGRON,25.078889,61.545833
EGRUD,37.089167,49.0625
EGTOS,34.589722,51.753611
EGTUL,37.401389,56.811667
EGVAX,31.726944,49.133889
EGVEL,34.716111,50.501389
EGVON,38.279722,47.905833
ELOKA,31.346667,60.010833
GABGU,32.830278,53.428056
GABMI,37.6875,49.181111
GABMO,30.907222,48.976111
GABSU,30.888889,48.504722
GADLU,32.279167,50.782222
GADPU,31.4525,54.550556
GAGDA,36.066389,56.965556
GAGDI,38.3425,46.915833
GESIP,31.765556,52.066389
GETOB,37.2075,46.858056
GEVOR,33.2375,56.921389
GIBAB,35.616389,54.515278
GOKSO,26.928333,60.67
GOMVA,36.099167,48.678889
GOPDA,36.215556,50.623333
IBKER,36.659167,51.883333
IBKUG,29.4375,49.997778
IBNUX,26.271389,54.202222
IBRAV,36.381111,55.789444
IBSAL,30.11,48.735
IBTOS,28.783611,50.326389
IMDAT,27.683333,51.183333
IMKEN,31.735278,49.603056
IMPAT,32.414167,58.148889
ITIBI,31.580833,49.275278
ITUPA,38.576667,48.038889
IVELI,34.583333,48.595
KAMAR,32.65,60.733333
KANAS,25.264444,57.783333
KANAT,30.535278,53.291944
KAPIP,29.038056,50.015
KARAM,28.719722,53.538056
KASOL,28.529722,53.259167
KATAG,28.396111,52.311389
KATIB,28.569167,51.846389
KATOS,28.944167,51.441389
KAVIL,29.805556,51.284444
KAVOT,30.686389,52.322778
KEBUD,27.597778,62.84
KISED,30.305556,51.574444
KOBUB,37.104167,50.178889
KUGVU,29.129722,51.338889
KUMUN,25.666667,55.254167
KUPTO,28.405,52.908889
KUSLA,35.374722,49.513889
KUVAV,31.509444,58.953056
LABET,36.166111,53.025278
LABKA,36.695,50.728333
LABOT,32.810833,53.014722
LADAL,32.373889,52.928611
LADAP,26.891944,59.420556
LAGSA,28.494722,52.335278
LAKMA,32.984444,50.674722
LALDA,38.269908,49.753092
LALDU,33.6325,51.270556
LARAB,33.7375,51.649722
LOVID,35.127778,47.478056
LOXAK,31.748333,51.728889
LOXAM,26.457222,56.023889
LOXOL,27.765556,60.760556
LOXUB,36.611111,48.828333
LUDAX,29.949444,60.683611
MELMI,26.773611,57.383333
MEMPI,29.580278,50.174444
MESVI,31.488889,49.950278
METBI,24.932222,61.471111
METKI,36.198611,58.411944
MIDMO,37.095278,59.023333
MINOT,36.455,55.112222
MIVAK,35.986111,49.889722
MIVUN,26.530833,54.331389
MOBAD,27.707222,57.335833
MOBET,26.735,56.152222
MOBON,27.737222,55.420278
MODEK,36.655,52.568611
MODIL,37.823611,49.688056
MOKAB,34.020278,46.850833
NABAX,36.165278,50.804444
NABOD,28.275,58.433611
NAGMA,36.037222,51.348611
NALBI,29.770556,53.904722
NANTO,28.688056,56.657778
NEBIX,27.198064,54.226244
NIDIT,32.821944,53.250278
NODLA,32.891667,54.980556
NOTSA,33.297222,49.04
NOTSO,35.237778,59.509444
OBMOR,28.970556,49.67
OBTUX,31.377778,51.876389
ODBES,32.513889,59.432222
ODKAT,35.683056,54.861389
ORDAD,30.0775,57.925556
ORLOG,34.917222,49.155278
ORPAB,37.7,58.575
ORSAR,26.075,53.958333
PAPAR,26.666667,54.45
PAPOK,38.744167,46.351389
PAPON,34.140278,57.392778
PAROT,36.191111,49.978056
PARUG,32.784444,52.496389
PAVET,35.444167,49.883611
PAXAT,33.348889,46.088611
PAXID,36.284167,50.339167
PEKES,28.991389,59.8725
PIRAN,29.568611,61.135833
PUSAL,36.589444,53.804722
PUTMA,37.8,51.96
RABAM,34.542222,51.501389
RABDI,38.801111,45.741944
RABEM,37.811389,45.496944
RADAL,34.85,52.265278
RADID,30.414722,51.4275
RAGIN,35.134167,50.525278
RAKED,37.9375,47.126944
RALGO,37.479167,49.016667
RAMIL,35.485833,58.828056
RANDU,32.544444,52.988056
RARTA,36.889722,49.921111
RASLA,33.169444,49.734722
RIBOB,37.286944,56.868611
RIKOP,37.673889,58.247222
ROTAL,27.544722,53.888889
ROVAD,35.45,52.686111
ROVON,37.266944,45.889444
RUDAD,37.679167,46.961389
RULIK,34.343056,47.773056
SEMSU,36.816111,51.156111
SESBI,35.655833,50.504444
SESMA,29.579722,51.078056
SETNA,37.9375,45.922778
SIBVU,38.745556,45.7825
SILKO,29.9325,58.695278
SILPO,37.135,58.001667
SIMDU,32.946667,56.936389
SITEN,29.035278,52.925556
SIVIT,37.598056,49.086389
SIVUD,33.021944,52.0025
SOGOT,33.7725,48.731389
SOKAM,33.221111,60.631667
SOLAK,28.797778,56.171389
SUTBU,36.556667,48.792222
TAKRA,30.016389,55.395833
TASLU,34.425278,57.691944
TAVNO,28.183056,56.554722
TOTBO,37.581944,45.482778
TOVTA,32.091111,53.739167
TUBAR,37.505,45.435833
TUDNU,37.856111,44.721667
TUKDO,38.773889,47.746111
TUKLO,36.9525,50.784444
TULER,37.217222,56.933056
TULGU,36.476667,48.709722
TULKU,33.017222,58.84
ULDUS,38.0,51.016667
VATAN,30.133333,49.5925
VATOB,28.857222,51.276667
VAVAS,29.280556,53.894444
VEDOP,31.5375,54.690556
VELAP,35.118611,51.655833
