IDENT,LATITUDE,LONGITUDE
6140N,61.0,-40.0
6330N,63.0,-30.0
ABMGA,65.860278,-17.472222
ALDAN,62.980278,-18.763889
ARBEX,63.574722,-20.983889
ARNAR,64.680833,-18.550278
ASKJA,64.870833,-17.262222
ASKUR,65.195556,-18.691667
BAKKI,63.8675,-21.294167
BAULA,64.939444,-14.693056
BLAMI,64.48,-19.819722
BREKI,62.538333,-19.546667
BRUSI,65.078889,-15.731111
CELLO,62.238333,-20.468333
CONNY,61.9,-5.583333
DROMI,62.995,-26.506667
EGILL,65.034722,-14.679444
EMBLA,63.47,-26.981667
ENIKA,64.453281,-23.703033
ENIMI,64.220892,-23.153972
ES001,65.2609,-14.4294
ES005,65.202078,-14.502381
ES008,65.172522,-14.538561
FELLI,65.354167,-15.173889
FJARA,63.658889,-18.054722
FLOSI,64.055,-27.178333
GAKTU,63.96,-20.724722
GF050,64.212797,-21.951458
GIMLI,64.64,-26.978333
HEKLA,65.113333,-26.461667
HOLAR,65.723333,-17.027222
IES01,65.26075,-14.425297
IES03,65.231056,-14.460947
IES04,65.216206,-14.478742
IES05,65.201353,-14.496514
IES06,65.186497,-14.514269
IES08,65.156783,-14.549717
IES09,65.141919,-14.567414
IES10,65.127058,-14.585089
IKN03,63.917469,-22.609989
IKN07,63.851019,-22.61385
IKN70,63.9555,-22.607769
IRE03,64.107242,-21.831244
IRE04,64.156094,-21.9406
IRE07,64.194525,-22.107047
IRE13,64.119264,-21.900125
IRE14,64.118917,-21.897222
IRE25,64.515122,-22.291822
IRE30,64.115778,-21.9379
IRE31,64.115069,-21.942222
IRE34,64.700436,-22.721467
IRE40,64.7033,-22.710294
KEF01,63.985853,-22.572958
KEF02,64.042722,-22.889356
KEF03,64.083522,-22.559411
KEF04,63.920725,-22.598733
KEF05,64.011869,-22.911867
KEF06,63.887678,-22.590872
KEF07,64.105433,-22.596647
KEF08,64.119617,-22.596244
KEF09,64.001322,-22.606272
KEF10,64.055608,-22.599744
KEF11,63.981419,-22.387883
KEF12,64.180206,-22.503925
KEF13,63.997489,-22.603319
KEF14,64.169414,-22.249769
KEF15,63.738964,-22.555717
KEF16,63.871156,-22.586947
KEF17,64.011492,-22.606608
KEF19,63.953769,-22.606614
KEF20,63.980486,-22.350119
KEF22,63.983258,-22.463417
KEF23,63.9855,-22.557847
KEF24,63.658678,-23.922792
KEF25,63.818669,-24.074164
KEF26,63.972667,-22.048108
KEF27,63.988261,-22.879322
KEF28,63.985411,-22.674958
KEF30,64.101969,-22.577506
KEF31,63.984161,-22.727839
KEF33,64.013719,-24.127269
KEF34,64.035169,-22.587011
KEF35,64.035761,-22.854939
KEF36,64.008769,-22.874669
KEF37,63.980486,-22.878908
KEF38,63.668753,-21.293308
KEF39,63.868961,-22.115569
KEF40,63.521167,-21.543719
KEF41,63.415131,-21.850694
KEF42,64.207069,-24.047892
KEF43,64.362594,-23.871044
KEF44,64.102661,-22.637689
KEF45,64.052619,-22.593403
KEF47,63.983811,-22.572939
KEF48,63.980892,-22.334556
KEF49,63.983258,-22.765611
KEF50,63.9855,-22.671181
KEF51,63.984161,-22.501189
KEF52,64.075861,-20.730806
KEF53,64.105167,-22.752497
KEF58,63.980767,-22.867578
KEF59,64.096064,-22.705442
KEF60,64.212933,-22.1671
KEF61,64.167114,-22.266969
KEF62,64.0758,-22.44375
KEF65,63.890328,-22.466939
KEF70,64.116297,-22.682911
KEF75,63.840544,-22.544092
KEF76,63.850153,-22.476703
KEF80,64.018669,-22.320522
KEF81,63.876831,-22.528636
KEF82,64.048964,-22.346697
KEF84,64.035761,-22.374089
KEF86,64.212003,-22.130725
KEF89,63.987969,-22.867894
KEF93,63.937247,-22.602672
KEF95,63.975672,-22.161342
KEF98,63.977822,-22.984631
KEF99,64.006772,-22.353533
KEILA,63.9822,-22.1586
KELAL,63.626244,-23.081642
KELDU,64.881111,-15.194167
KEMIS,63.4095,-23.355833
KF010,64.039764,-23.089156
KF060,63.989031,-22.985164
KLAKI,64.655556,-15.77
KOBBI,64.548889,-16.155833
LARUX,62.621667,-10.0
LUNDI,63.645333,-20.821389
MARAS,63.787778,-22.571944
MARSA,63.788536,-22.567394
MAVUR,63.506322,-20.605056
METIL,63.971944,-21.526111
MIKLA,63.848333,-17.574167
MOSAP,64.567,-22.278333
MOTAK,63.571944,-22.526111
MOXAL,64.160953,-18.000839
MUKKI,63.5675,-20.941944
MURTA,64.135833,-21.811111
MYRAR,64.702222,-22.148056
NITOL,64.307964,-22.416208
NONNI,65.313611,-19.400278
OSKUM,63.729117,-20.431736
OTRON,64.186431,-22.617386
R1700,63.985039,-22.655006
R1701,63.964481,-22.605453
R1702,63.991878,-22.605433
R1703,63.985042,-22.592389
R2160,64.135967,-21.938853
R2184,65.275922,-14.409942
RATSA,64.300333,-22.0605
REKVA,64.441667,-20.821111
RETUR,65.538611,-17.624722
RK015,64.139325,-21.985739
RK029,64.149797,-22.033408
RK050,64.165461,-22.104903
RK339,64.220853,-22.150442
ROSTI,63.406389,-14.112222
SA086,64.163092,-21.94665
SARAM,63.787614,-22.606578
SELUR,63.399861,-20.648925
SIRVO,63.183667,-22.1375
SITLA,63.665647,-22.420706
SKAGI,64.3055,-21.971333
SKALM,65.628611,-22.36
SKARD,63.942833,-20.205
SKOGA,63.49,-19.547222
SKOTT,64.785833,-22.870833
SOGID,64.1525,-21.0675
SORPU,64.714722,-22.473333
SULAN,63.597778,-20.884444
SUMEL,63.776842,-21.800906
SUNAK,63.840278,-22.019444
TELDO,63.982503,-21.478869
TERTU,64.434167,-21.728611
THORI,64.34,-19.0
TIBRA,64.292778,-20.928333
TJORN,65.656944,-17.243889
VA004,65.054889,-14.744428
VA048,65.079467,-14.771289
VA243,65.051614,-14.749789
VA262,65.071117,-14.812736
VAKLO,63.977833,-23.07
VANDA,63.966389,-23.563056
