IDENT,LATITUDE,LONGITUDE
ABADI,40.755278,18.641667
ABAKO,37.183889,16.666111
ABDAB,37.889167,10.628611
ABUKI,37.533611,15.559167
ADAMI,38.704722,10.948889
ADEXI,37.345556,13.025278
ADISO,45.559167,7.293333
ADMAS,37.562222,17.858056
ADOSA,45.644444,11.026389
ADREN,38.838333,17.735833
ADRUX,40.764444,9.598889
ADUKA,38.562222,11.950833
AGASA,41.801944,10.763611
AGNIS,39.8075,14.750833
AGOMO,45.016944,12.801944
AGOTI,41.147675,14.6493
AKADO,45.333333,12.5
AKAMO,41.190833,14.653333
AKASU,46.109722,8.495556
AKILI,41.833017,12.317656
ALAXI,41.734722,13.347778
ALBET,45.426667,11.509167
ALEDI,39.610278,9.993889
ALESE,46.275,11.403889
ALGNB,40.639972,8.291639
ALIXI,39.452222,17.442778
ALOKU,37.294722,13.565
AMAKA,37.433889,14.68
AMANO,39.421667,13.796667
AMELO,37.929986,15.543097
AMLON,44.339167,12.876389
AMREX,37.971111,17.917222
AMSOR,41.157222,14.869167
AMTEL,43.220278,11.608611
ANAKI,44.201111,8.725556
ANEDA,42.270833,13.664722
AOSTA,45.796389,7.345833
APVAR,39.035833,15.946111
ARBUM,39.278611,15.8025
ARGEX,44.5525,11.669722
ARLES,45.929444,8.375
ARNOS,46.541389,13.569444
ARPIK,42.746944,14.792222
ARSIK,40.645556,8.461389
ASDOR,43.784722,12.399722
ASTIG,44.941667,8.290278
ATMAD,45.215278,7.0075
ATRIG,46.885278,11.265556
AVI01,45.872344,12.447817
AVI05,45.966903,12.505383
AVI06,46.045133,12.728244
AVI09,45.775331,12.403017
AVI10,45.905886,12.424083
AVI11,45.933242,12.361706
AVI12,45.881464,12.391614
AVI13,46.012017,12.565658
AVI14,45.857031,12.359172
AVI15,45.898725,12.280022
AVI16,45.881375,12.428928
AVI17,45.864908,12.254733
AVI19,45.802506,12.500539
AVI21,45.870678,12.451725
AVI23,45.905056,12.391756
AVI31,46.012439,12.56495
AVI44,45.686125,12.927767
AVI51,45.822944,12.791906
AVI52,45.625389,12.4332
AVI93,45.884572,12.353969
AVI99,45.893675,12.407844
AVINB,45.924331,12.428531
BABAG,45.386944,13.126944
BABLA,37.506475,15.248422
BABLO,36.839722,11.5
BADAV,37.776389,16.991111
BADOP,45.462222,13.004167
BAGIX,38.990278,15.491111
BAGNO,43.890556,11.802222
BAKOR,46.608889,11.728611
BALUK,44.098611,10.669722
BAMEK,44.905278,11.289444
BANAV,41.728611,17.011111
BANKO,45.82,7.054722
BAR01,41.073714,16.528856
BAR02,41.085325,16.570169
BAR03,41.327444,16.763714
BAR04,41.149411,16.797433
BAR05,41.114333,16.673522
BAR06,41.169981,16.881394
BAR07,41.186003,16.920708
BAR08,41.180239,16.923394
BAR09,41.131628,16.735633
BAR13,41.066258,16.509031
BAR14,41.335367,16.598786
BAR15,41.257444,16.481103
BAR16,41.239408,17.10645
BAR21,41.043975,17.005361
BAR35,41.35715,16.989561
BAR67,41.209775,17.003222
BAR80,41.169539,17.016844
BAR98,41.018833,17.062478
BAR99,40.968464,17.176586
BARAX,45.802778,8.156389
BAREN,40.414722,9.335
BASIP,43.892222,7.961667
BATOX,41.212778,10.156389
BAVMI,45.703611,8.407778
BEKAN,45.325,9.761111
BELOK,39.389722,10.360833
BELOV,44.5425,12.713333
BEMBO,40.230556,15.347222
BENTO,41.060883,14.663697
BENUS,44.906944,11.203611
BERMI,37.505278,15.355278
BERNY,42.820592,11.263928
BEROK,44.165556,10.351667
BEROL,40.204722,13.013056
BETEN,43.553056,9.768333
BETOT,40.385833,11.631667
BIBAN,45.925556,7.450833
BIBEK,42.440978,11.251514
BIDMA,43.661944,13.071389
BIRSU,41.576111,16.826111
BLN01,44.5459,11.258939
BOA30,44.544056,11.262122
BOANB,44.567333,11.200236
BOL24,42.223172,12.132942
BOL25,42.220456,12.104994
BOL33,42.074933,12.164253
BOL52,42.240525,12.296594
BOLOT,40.356667,8.893889
BORDI,44.023056,7.751944
BORMI,46.036111,11.166667
BOTAL,45.133611,9.122778
BRAVO,45.511328,12.888106
BRD04,40.843033,18.034914
BRD05,40.672781,17.929494
BRD09,40.722303,17.870769
BRD11,40.747053,17.841375
BRD14,40.617997,17.720617
BRD18,40.512497,17.630869
BRD21,40.799586,17.822186
BRD23,40.463483,18.267764
BRD25,40.55635,17.796028
BRD28,40.658969,17.747786
BRD31,40.784164,17.797242
BRD33,40.825694,17.882683
BRDNB,40.605472,18.008833
BRENO,46.98,11.376667
BUDIN,38.476389,15.08
BUKIN,43.676944,11.636667
BULAR,38.314167,10.792778
BUMOK,40.714167,15.669722
BUSER,44.106667,13.648889
CAG01,39.262161,9.040878
CAG03,39.295156,9.008081
CAG06,39.328111,8.975183
CAG12,39.407169,8.896108
CAG32,39.380822,8.922486
CAG33,39.395203,8.950672
CAG35,39.430739,8.946014
CAG38,39.317489,8.974431
CAG85,39.138489,9.183592
CAGNB,39.214639,9.097472
CAR01,38.85,9.933333
CAR10,39.070847,9.300408
CAT01,37.700161,14.832558
CAT02,37.67215,14.771758
CAT03,37.577922,14.624322
CAT04,37.483317,14.892747
CAT05,37.444511,14.865622
CAT06,37.564444,14.662711
CAT07,37.468303,15.115158
CAT08,37.212989,15.588586
CAT09,37.474339,14.634914
CAT11,37.424061,15.196128
CAT12,37.476856,15.219361
CAT13,37.730647,14.8154
CAT15,37.506883,15.594683
CAT16,37.248356,14.758989
CAT17,37.313339,14.824592
CAT21,37.431492,15.218714
CAT22,37.581022,14.535569
CAT23,37.162719,15.553233
CAT24,37.418614,14.875883
CAT25,37.432419,14.635558
CAT26,37.22235,14.732778
CAT27,37.404739,14.640561
CAT29,37.523936,14.777792
CAT50,37.441633,15.072436
CAT53,36.733333,15.6
CAT55,37.445486,14.865531
CAT75,37.315197,14.822003
CAT76,37.250278,14.756403
CAT77,37.466492,15.052036
CAT78,37.431761,15.218586
CAT79,37.477744,15.219072
CAT80,37.465442,15.052297
CAT82,37.469236,15.114933
CATNB,37.456883,14.9657
CER04,44.257936,12.211578
CER07,44.233758,12.280308
CER10,44.301786,12.086478
CER12,44.316367,12.044747
CER75,44.283531,12.138636
CEV01,44.207222,12.355089
CEV04,44.176156,12.439683
CEV06,44.160978,12.480917
CEV08,44.266442,12.191514
CEV09,44.138183,12.542728
CEV10,44.2814,12.150053
CEV11,44.122969,12.583908
CEV13,44.303872,12.087636
CEV15,44.415617,12.165983
CEV17,44.443478,12.140392
CEV30,44.229,12.295036
CEV40,44.318725,12.046303
CEV41,44.415475,12.166114
CEV71,44.367778,12.032553
CHINB,45.071806,12.281389
CHRLE,45.342411,12.427222
CIRCE,41.333333,13.083333
CMP10,42.086119,12.599628
CMP16,42.218947,12.046475
COBBA,37.812222,14.761944
CONTE,41.233333,18.391667
CORAD,39.756944,12.385278
CORSI,41.333333,8.812222
CRAYE,41.502778,18.129167
CRN05,38.979553,17.085661
CRN06,38.896761,17.098667
CRN82,38.862975,17.071147
CRN96,38.869169,17.0303
CTN05,37.4582,14.954031
CTN10,37.450131,14.849519
CTN14,37.443,14.765
CTN24,37.4094,14.861
CTN50,37.458447,14.954264
DAVID,40.786667,8.383889
DEC02,39.413856,8.957575
DEC03,39.430067,8.952428
DEC05,39.372922,8.967856
DEC06,39.136156,9.031503
DEC07,39.495372,8.934767
DEC10,39.514539,8.836569
DEC11,39.674489,8.681014
DEC12,39.560336,8.9256
DEC13,39.355836,8.993747
DEC14,39.168814,9.022747
DEC15,39.137425,8.892425
DEC18,39.674942,8.886022
DEC19,39.21865,8.916778
DEC21,39.184461,9.013967
DEC23,39.756556,8.863783
DEC27,38.866667,9.0
DEC28,39.552903,8.83315
DEC29,39.576997,8.912642
DEC30,39.325572,8.980619
DEC31,39.358256,8.996994
DEC32,39.621197,8.732944
DEC34,39.217803,9.009603
DEC35,39.323939,8.981058
DEC41,39.609644,8.903778
DEC42,39.748228,8.821789
DEC45,39.400133,9.000953
DEC47,39.544347,8.921497
DEC61,39.602086,8.868236
DEC67,39.299447,8.987653
DEC68,39.299161,8.985817
DEC71,39.103494,9.040247
DEC86,39.250006,8.997892
DEC92,39.104931,8.8827
DEC96,39.420419,9.005531
DEC97,39.1433,8.865428
DEC98,39.199844,9.014183
DECNB,39.363717,8.974031
DEDOM,42.116667,10.433333
DEDRA,37.854167,15.581111
DELER,40.185,14.149167
DELIK,38.621667,16.64
DENAL,43.508889,11.877222
DESIP,45.645833,9.125833
DETSA,46.8025,12.281111
DEVOX,44.696111,8.746944
DEXUL,39.858889,9.142222
DIBAX,46.116389,11.064167
DIGOS,37.171389,12.549722
DIKOB,37.694444,12.848611
DILEB,45.975,9.662222
DILIN,37.008889,13.981111
DIME,45.960161,12.481103
DINOB,38.724167,19.0
DIPEP,43.341667,14.491944
DIRED,39.564167,14.515833
DITUM,44.405833,12.247222
DIVAR,37.771667,15.312222
DODEL,37.601667,16.192222
DOGUS,41.02,15.703333
DOLAR,45.95475,12.488925
DOLON,40.889167,17.594444
DORAS,39.598889,13.06
DORAV,44.326389,8.852222
EDEMO,45.583333,11.952222
EDOPA,40.4225,13.765278
EKROB,40.833889,9.911389
EKTOL,41.107778,15.171389
ELKAP,42.721111,10.644167
ELTAR,45.6475,10.627778
ELVIN,41.493889,12.161389
EMILY,42.168056,14.133611
ENEPA,37.773333,13.999444
ENOBA,44.299722,8.306389
ENOXA,41.201389,17.668889
ENSOT,40.533333,12.9875
ERIKA,41.622778,14.031111
ERLIT,43.383611,13.167222
ERMOT,41.683056,14.807222
ERNAM,36.858333,16.1625
ESINO,41.384722,11.794722
EVANO,45.3375,8.760833
EVINO,39.713056,15.321389
FAL04,43.622153,13.366858
FAL07,43.670994,13.394439
FAL08,43.711311,13.435208
FAL12,43.712619,13.501822
FAL14,43.735208,13.535628
FAL34,43.765047,13.48965
FASAN,40.863889,17.426944
FEDRA,40.842222,9.823889
FIZZY,38.5975,13.135556
FRS12,41.749514,12.850236
FRS20,41.708822,13.019822
FRSNB,41.643833,13.289667
GALTI,40.64,14.899167
GARGA,42.266667,16.116667
GARLO,45.874444,7.750278
GASVA,41.110833,14.3375
GEMMA,40.710556,14.286111
GEMVI,39.112778,17.805278
GERBU,43.344167,13.623889
GERMO,39.249722,11.356944
GHE01,45.452031,10.248208
GHE02,45.4151,10.296064
GHE03,45.402203,10.311078
GHE09,45.32885,10.407483
GHE17,45.230144,10.534406
GHE44,45.178139,10.516964
GHE56,44.736194,11.129736
GHE65,45.359667,10.367728
GHE97,45.162211,10.183519
GHE99,45.129558,10.174083
GIANO,38.869167,12.4475
GIBLO,45.358333,9.866667
GIGGI,46.154167,10.430278
GIGIX,37.441389,14.665833
GIKUS,46.173333,13.304444
GILIO,42.366667,10.926111
GIMEL,38.461667,16.053889
GINAR,43.6325,10.816111
GIPIX,44.061944,10.128333
GIROV,39.213333,15.675
GISIG,38.992222,11.063611
GISPA,41.805278,11.342222
GITOD,42.800278,12.310833
GITRI,40.9275,10.158056
GOGEM,47.018333,11.526389
GOLAS,44.455,9.6175
GOLFO,37.365556,15.240278
GOLPO,42.048056,12.128889
GOREP,44.918333,12.099722
GOTEK,46.138056,13.188889
GRA02,41.045925,14.04875
GRA06,41.017703,13.968867
GRA10,40.989425,13.88905
GRA12,40.975264,13.849169
GRA17,40.939803,13.749539
GRA20,41.074094,14.1287
GRO01,42.746981,11.063842
GRO02,42.854444,11.123417
GRO03,42.901494,11.146483
GRO04,42.948536,11.169586
GRO05,42.693556,11.009714
GRO07,42.666833,10.982686
GRO08,42.885811,11.138792
GRO09,42.611864,11.106797
GRO10,42.926975,11.084025
GRO12,42.680853,10.828397
GRO14,42.987531,11.004733
GRO15,42.783864,11.088883
GRO17,43.026931,11.208167
GRO21,42.6,10.915217
GRO22,43.036206,10.989094
GRO50,42.838761,11.115736
GRO60,42.720661,10.952814
GRO70,42.61185,11.106658
GRONB,42.705222,11.02525
GRT06,40.624033,17.458472
GRT50,40.546314,17.595889
GUBIN,43.486944,12.774167
GUI23,41.988764,12.687172
IBROS,41.794722,10.048056
IDEPA,40.728333,9.580278
IDONA,43.985,9.430833
IDORI,41.789261,9.749014
ILL01,36.766667,19.0
INBUT,45.413333,11.9175
INDAX,37.496389,15.289167
INP01,40.8991,14.3185
INP07,40.951347,14.430825
INP10,40.977522,14.487075
INP13,41.003667,14.543364
INP16,41.029786,14.599703
INP19,41.055881,14.656092
INTER,37.8775,13.668056
IRBAK,43.620556,10.078889
ISA02,45.712719,12.340122
ISA03,45.725819,12.457664
ISA04,45.6995,12.222636
ISA05,45.686161,12.105203
ISA06,45.566183,11.890158
ISA07,45.525644,11.814781
ISA09,45.67065,11.952178
ISA10,45.680125,12.163344
ISA11,45.682711,12.069858
ISA12,45.658469,11.83455
ISA14,45.653564,11.787514
ISA20,45.728558,12.589311
ISA21,45.5971,12.316692
ISA22,45.692786,12.163894
ISA23,45.625681,11.795944
ISA25,45.641103,12.406747
ISA26,45.680114,12.034353
ISA27,45.570522,12.025567
ISA45,45.696908,12.223167
ISA51,45.545922,11.852456
ISANB,45.698611,12.228333
ISKIA,40.690833,13.890833
ISM01,40.881139,9.482439
ISM02,40.886119,9.492161
ISM03,40.867681,9.455611
ISM05,40.849217,9.419036
ISM07,40.830736,9.382472
ISM10,40.803,9.327672
ISM23,40.862789,9.445917
ISM25,40.844314,9.409328
ISM27,40.825831,9.372775
ISM30,40.798086,9.317975
ITO01,38.195919,13.103122
ITO04,38.241292,13.129772
ITO09,38.321508,13.176981
ITO13,38.380536,13.211794
IVORY,41.146944,8.483056
IXITO,44.134722,8.803611
IXORA,45.836667,8.588889
