IDENT,LATITUDE,LONGITUDE
ADSEL,18.952222,-78.434722
ALIGA,18.217778,-78.547222
ALMUS,18.478333,-77.57
ALOBO,18.666944,-81.259722
ALORA,19.43,-78.981667
ALPEN,17.291836,-76.598892
AMBIN,15.683333,-74.0
ARNAL,15.0,-80.614167
BEREX,16.346944,-77.277222
BIKOG,18.912058,-79.682672
BOMEN,16.0,-79.175
BOSOM,17.856431,-78.038056
DAGUD,15.0,-79.328333
DATOM,17.292947,-76.979733
DAVOL,18.818333,-75.783611
DIBOK,16.361667,-73.641667
DUPAK,18.495,-79.5
DUXUN,15.0,-79.223333
EDROD,15.0,-74.733333
ELSER,18.024183,-77.021047
EMASA,16.0,-80.838333
EPSOL,18.785278,-76.968333
ETMUV,17.196667,-73.258889
FROST,18.76,-79.02
GABAN,17.79,-79.075
GABIS,18.379444,-76.276667
GADON,18.456111,-78.018056
GUDIL,17.974125,-76.891197
ILATA,19.881111,-79.5
IMADI,18.958889,-77.280278
IMONI,18.375833,-78.601667
KAPAR,19.121111,-77.6425
KEMBO,18.218889,-77.354722
KESPA,18.048611,-77.354722
KILER,15.0,-76.88
KINOP,16.345278,-75.660556
KIRAN,19.062222,-78.300556
KODAK,19.165,-78.996667
LENAR,18.417364,-78.096031
LIBEX,18.389167,-77.354722
MLY04,17.955328,-76.842511
MLY17,17.652875,-76.710839
MLY21,18.061669,-77.118469
MLY26,17.890408,-77.072036
MLY31,18.093364,-77.021442
MLY34,18.188186,-76.903483
MLY71,17.940908,-76.8052
MLY98,18.068075,-77.037914
MLY99,18.003708,-77.064983
NUBOX,18.862778,-78.505833
OMPAL,17.385,-76.390556
OTAMO,15.0,-75.983333
OTEKO,18.870278,-79.5
PESTO,17.566389,-82.047839
PETSI,18.660278,-78.595833
PILBI,18.424167,-76.844722
PISUL,18.035,-76.095833
RABAG,19.250833,-76.866111
RADOK,18.44,-76.893333
RIGAS,17.614267,-81.457383
SASON,17.947778,-74.256697
SAVEM,18.446667,-77.03
SAXER,17.644231,-81.076164
SEKAM,19.153142,-78.08615
SENLA,18.463333,-77.365
SIA04,18.470653,-77.986594
SIA10,18.665017,-78.011764
SIA15,18.489653,-77.947539
SIA25,18.450225,-78.109486
SIA27,18.497736,-78.116981
SIA34,18.658783,-78.02355
TABRI,17.619878,-77.656975
TALOS,18.294167,-79.036111
TARBA,16.516667,-73.483333
TESOL,17.760278,-79.5
TIBEL,17.666111,-76.148056
URMAN,17.510158,-76.248603
VIKRO,19.015556,-76.274444
VIRNA,17.938333,-76.088056
