IDENT,LATITUDE,LONGITUDE
AMN03,32.025194,36.119322
AMN10,31.933553,35.888389
AMN15,31.898194,35.799692
AMN34,31.986475,36.021564
AMN50,31.937311,35.7929
AMN70,32.036108,36.197967
AMN90,31.794031,35.905936
AMRAH,32.123919,36.533097
AQB05,29.503981,34.979108
AQB12,29.564561,35.000931
AQB80,29.45615,34.961939
ARKAN,32.780556,38.108333
BAKIR,29.664786,35.102211
BUSRA,32.333333,36.616667
DEESA,29.7525,36.688889
GIBET,29.438889,36.419444
HAMZA,32.985833,38.668333
HAZEM,32.233333,36.633333
HIDAN,30.208333,36.268333
JEEZA,31.658889,36.444444
JYO03,32.026075,36.118811
JYO25,31.987022,36.021236
KAMEL,32.332256,36.7331
MAZAR,30.8,36.166667
METSA,29.451944,34.984167
MIDAN,32.9173,38.485036
MODAD,32.594411,38.693928
MOUAB,31.799444,35.599722
OSAMA,31.9305,35.618333
PETRA,29.701667,36.369444
QAA37,31.865744,36.285894
QAA40,31.536922,36.329156
QAA87,31.493925,36.101383
QASIR,31.285,36.322778
R2186,31.979169,36.007253
R2187,29.598047,35.013319
REEMA,31.313075,36.537267
SOKAN,33.135833,38.368611
TAMIM,29.611111,35.811111
