IDENT,LATITUDE,LONGITUDE
247PQ,33.75,165.0
251PQ,35.535231,149.995961
993PQ,34.583333,160.0
ABASA,24.439172,123.252322
ABBOT,35.745447,141.085094
ABBRA,26.380511,127.925025
ABETS,35.988333,144.304711
ABIRA,42.798211,141.964286
ACQUA,35.162489,142.163833
ACTIE,33.699369,130.487333
ADAMS,35.979033,139.299947
ADDAN,26.636769,128.348269
ADGOR,40.424689,149.650711
ADKAK,33.9035,142.163306
ADNIP,38.254833,146.916056
AGANO,37.505633,139.579664
AGARI,37.504925,136.597156
AGEDI,44.166667,155.096683
AGIKA,30.003683,131.441075
AIKOH,27.97525,128.934861
AIRA,31.232433,131.101628
AIZUH,37.761208,139.723561
AKAGI,36.391203,139.698967
AKANE,35.531264,137.500875
AKASI,34.589628,134.755017
AKE22,32.581622,130.577039
AKESI,42.554556,144.073214
AKKIE,34.234347,131.111486
AKSUN,45.752075,140.904458
AKTUS,35.796758,141.194197
AKUNE,32.099411,130.426447
AKVAS,29.586997,127.464681
ALBAT,33.364503,135.441514
ALBAX,23.569408,125.325583
ALC75,27.315722,128.968908
ALICE,40.744994,143.59675
ALLAN,34.234483,134.957861
ALLEN,35.200417,142.910183
ALSUR,26.22885,127.573608
ALTAI,30.007686,130.361764
ALUPA,33.896978,138.205939
ALUPS,35.442833,138.2915
AMAGI,33.374953,130.595311
AME08,28.363764,129.839667
AME09,28.571003,129.783406
AME10,28.306564,129.589956
AME30,28.881439,129.970153
AME34,28.182006,129.711408
AME35,28.868856,129.996342
AME70,28.64575,130.226789
AME85,28.463628,129.897761
AMIDA,35.871542,138.317806
AMMEK,25.598158,127.093783
AMORI,31.694306,130.793042
AMURO,34.691917,133.340722
AMUSE,35.548058,139.966744
ANGEL,34.908472,140.699378
ANIMO,45.198869,143.67925
ANNIE,25.309089,125.017467
ANOXA,28.988758,129.377025
ANPAN,33.418761,133.846811
APELA,34.723108,129.233289
APITO,29.583333,124.0
APOII,41.697361,143.070361
APPLE,35.004819,141.107586
APRAV,26.373014,127.787908
ARASI,35.182061,135.798383
ARIKA,40.443528,139.927686
ARITA,34.120519,135.043064
ARMOR,37.343611,143.013056
ARROW,35.766356,141.491447
ASAHI,28.012408,128.890222
ASANO,34.792892,134.646578
ASEDA,25.004339,139.158814
ASIBE,43.451106,142.283592
ASONO,33.016142,131.247061
ASTER,39.231247,142.533033
ASUKA,34.767422,136.031869
ATAMI,34.946828,139.267686
ATOTI,30.003583,125.198208
AVGOK,43.602258,138.246519
AVION,35.410344,139.851528
AVLAS,24.355642,130.120936
AVOLA,26.205653,127.59525
AVROV,26.422103,127.876275
AVSOX,26.371753,127.788439
AWASI,38.420097,139.359694
AWE08,43.797275,142.415406
AWE09,43.539986,142.347564
AWE20,43.519517,142.421047
AWE35,43.605078,142.491656
AWE70,43.588578,142.503025
AWE76,43.519517,142.492647
AWE85,43.569058,142.515361
AWE90,43.529142,142.537411
AYAME,34.600469,134.453917
AYANO,34.096119,136.393636
AZUKI,32.401917,127.581
AZUMI,36.480597,137.909133
BABBS,36.098628,139.320106
BAFFY,34.363256,139.964267
BALIE,33.915314,132.200103
BALSA,34.036503,134.914656
BAMBI,42.516331,141.735742
BAMBO,34.313264,132.883831
BAMPA,35.074444,137.199294
BANDY,35.777169,141.692044
BANJO,33.836928,137.859689
BASHO,27.0659,128.844331
BASIL,34.515456,132.428033
BASIN,38.121,138.942033
BEEBA,43.351853,141.716608
BEEBO,22.407778,153.190556
BEETL,34.262464,129.829247
BEGAD,33.386919,143.246572
BENNY,39.028967,139.692203
BETTY,24.205594,125.301067
BIGUN,35.945572,139.303231
BIHOK,34.893608,133.013986
BINAN,33.96855,138.295569
BINGO,34.407144,133.177967
BIRO,31.430739,131.111081
BISEI,42.865183,142.928786
BISIS,26.789231,126.549256
BISIV,44.992033,144.282872
BITPY,40.552939,141.643061
BIWWA,35.115997,136.256003
BIXAK,27.880606,133.137561
BIZEN,34.709903,134.215089
BMPER,26.216286,127.664764
BOBOT,33.365389,137.711192
BODAI,36.010161,139.293436
BOLCY,42.924633,141.736169
BOLOD,29.586961,125.0249
BOMAP,30.003656,129.824464
BOMDI,26.339878,127.745464
BONOV,26.287894,127.663522
BOOTS,36.291694,142.789972
BOSOH,34.599417,139.930633
BOTAN,33.46565,133.184967
BREEE,35.452203,139.407708
BROWN,41.162508,139.845536
BUBDO,31.431964,136.653842
BUDOH,38.399583,139.308633
BUNGO,25.270939,136.997308
BUROI,33.275628,137.504344
BYOBU,41.00265,140.737292
CADDY,31.003772,140.705956
CALMA,39.628142,150.477364
CAMAS,32.722536,128.262478
CANAL,35.471786,139.695564
CANDY,33.873881,134.921692
CANNA,37.926336,140.691333
CAPLY,41.298167,141.291914
CARDS,34.41875,136.40085
CAROT,36.236242,145.467122
CARPS,34.406853,132.359431
CARRY,34.176997,131.1618
CATCH,35.359031,142.274458
CAVES,40.264131,141.915186
CAVIA,34.891897,139.889811
CAYAH,38.675017,138.355639
CELIN,37.675764,147.877956
CELLO,33.998608,137.920167
CH006,42.665158,141.709878
CHAMP,27.919417,128.534619
CHAUS,35.442569,138.041475
CHE03,42.797592,141.686517
CHE05,42.650836,141.777586
CHE06,42.600047,141.695619
CHE10,42.517083,141.796164
CHE11,42.516833,141.703472
CHE15,42.945525,141.751158
CHE18,42.502294,141.728464
CHE25,42.563447,141.273814
CHE27,42.250536,141.728461
CHE36,42.759733,141.693269
CHE45,42.759842,141.713689
CHELL,40.459069,141.313033
CHERY,26.915081,128.669903
CHESS,35.342447,136.484872
CHIBA,35.5895,140.066656
CHILY,36.200831,135.222539
CHINO,35.8843,138.565492
CHINU,33.515286,130.441186
CHIZU,35.029489,134.507047
CHOKA,39.241953,140.167914
CLIPA,33.993033,131.759956
CLOVE,34.82405,133.853728
COGPA,35.426167,139.377667
COLIC,43.201303,156.041694
COMET,36.20435,140.589067
COMFE,36.40335,146.2962
COPER,36.948608,139.395025
CORRN,35.628619,139.373611
COYEE,35.844292,139.329494
CRANE,42.821344,144.146275
CUE40,35.176022,135.036911
CVC18,36.024864,140.844531
CVC59,36.704422,140.94855
CWBOY,26.168264,127.588939
DAIEI,35.510636,133.702889
DANDE,34.219281,135.409428
DANDY,37.173756,139.511633
DELTA,27.870561,130.51445
DEMIO,39.806411,138.858922
DEMPA,32.111306,135.292269
DETOX,37.128453,144.276878
DGC25,33.788214,130.870911
DIANA,25.016897,125.093019
DODGE,25.842867,127.037844
DOHYO,34.067067,132.220908
DONAN,27.858878,129.271778
DONAR,33.351428,132.484639
DONKY,32.656458,132.185303
DORCH,38.085211,149.251717
DOVAG,28.583878,133.814156
DOZEN,36.026556,133.269442
DRAGN,33.564675,132.289953
DREAM,35.647833,139.846464
DRIVR,36.889525,148.475589
DUPIT,26.285381,127.668086
DUSIT,26.370731,127.791614
EAGLE,34.716667,130.866667
EATAK,43.068403,143.4934
EBINE,33.662758,139.659739
EBISU,34.038928,130.591022
EBLIR,26.221108,127.580161
EDDIE,34.069428,134.725331
EISAR,26.512606,127.490289
EKVIK,39.747681,136.605206
EMILY,28.736822,129.771194
ENKAI,40.683258,141.598572
ENNAR,35.263744,137.617128
ENSYU,34.543294,138.034028
ENTOK,26.32065,124.998286
ERIMO,41.5263,143.801408
ESANN,42.056019,141.090986
ESASI,41.913411,140.190125
ESBIS,31.253475,127.381322
ETIGO,37.560897,139.21445
ETRON,38.434106,150.498547
EVERT,33.656964,135.133069
FACER,35.791425,141.9666
FAIRY,33.870111,139.873494
FENIX,32.141783,131.591481
FERAR,33.237014,145.996367
FINCH,38.109167,140.606114
FKE01,37.252053,140.429708
FKE15,36.977061,140.388278
FKE16,37.372639,140.466525
FKE35,37.338561,140.406669
FLUTE,34.538583,136.963733
FORDO,34.118503,143.136553
FOSEM,40.705439,141.339547
FRANK,33.766397,144.3201
FUGEN,32.655411,130.490411
FUUSE,26.117,127.487833
GABBY,40.691697,141.535031
GADEK,26.548144,128.027031
GAFFE,33.924158,132.246192
GAHRA,24.686097,125.04775
GARRY,37.321728,150.519164
GATE,35.918767,140.012506
GATES,34.139272,134.817381
GBE48,33.110542,135.172614
GBE59,33.384019,134.110278
GEMMA,32.407992,131.922172
GENKO,33.503314,129.840208
GINGA,43.627425,143.953036
GIRAF,35.472553,141.420647
GKE01,24.329842,124.172167
GKE14,24.359222,124.201808
GKE21,24.210686,124.103689
GKE23,24.296269,124.131497
GKE30,24.401186,123.642064
GKE39,24.3917,124.230536
GKE50,24.511944,124.3862
GKE64,24.424175,124.259278
GLORY,34.460011,134.733492
GOC10,36.641439,140.513153
GOC25,36.486625,140.757292
GOHEI,36.197658,137.3579
GOKYO,32.604767,130.070225
GOMAR,32.463214,127.857753
GONOU,40.420244,140.218722
GOROK,26.328839,127.736511
GORYU,37.198486,137.769542
GOURA,33.694067,129.281242
GRASE,26.031889,127.655272
GTC01,37.992164,139.428156
GTC02,37.763042,139.312389
GTC03,37.398439,138.657683
GTC10,38.086117,138.9791
GTC13,37.996236,139.341747
GTC15,37.71875,139.206344
GTC20,38.184933,139.424719
GTC30,38.404672,138.637881
GTC32,38.064272,138.899975
GTC40,38.469228,138.570686
GTC43,38.635386,139.415842
GTC68,37.950703,139.262889
GUJYO,35.364033,136.577356
GULEG,32.876008,138.167281
GUPTI,29.023458,128.155186
GURAR,31.236931,133.997406
GUSUK,24.440561,124.43475
GYOJI,34.025828,132.212928
HABAR,34.319372,133.588783
HABIX,40.707797,141.227689
HABUU,26.599419,127.9214
HACHA,28.156619,129.014294
HACHI,35.784503,136.682494
HAGAR,36.581111,140.039758
HAIKI,33.161097,129.695517
HAILY,36.264531,139.296436
HAKBA,37.259953,137.884642
HAKBI,34.742117,134.02705
HALKA,34.218208,134.984017
HALNA,34.533756,131.536408
HALON,33.248769,134.997222
HAMDA,34.890342,132.296161
HANAB,38.426525,138.032375
HANKA,39.018322,140.561325
HANTO,34.511289,137.034528
HAPPO,37.101361,137.889092
HARIS,34.936939,139.714236
HARRY,33.403019,130.576086
HASSY,34.121867,131.728953
HATAR,36.338444,139.606747
HATRI,37.383222,140.155242
HATSU,34.976544,139.498081
HAUSS,35.944356,139.307314
HAWKS,33.329997,130.624992
HENAV,26.389417,127.822389
HERON,37.506378,140.661061
HGE13,34.436042,132.950022
HGE26,34.222331,132.466606
HGE40,34.440731,133.004133
HGE75,34.502397,133.129644
HGE76,34.446772,133.074286
HIBAR,41.110639,140.750444
HIBIS,34.248561,134.125006
HIDEK,28.364158,132.750639
HIGAS,24.988564,141.997767
HIKNE,35.237625,136.176956
HIMEH,33.737469,131.614233
HINAG,32.395075,130.514919
HINAI,40.291686,140.638317
HINOH,33.94665,134.945578
HIRAR,25.065789,125.757128
HIROO,41.967339,143.591964
HIROS,31.925056,132.208475
HISUI,37.592906,137.931414
HISYO,36.191867,138.616647
HIZET,33.871589,131.225814
HKC21,32.047108,130.554217
HKC22,32.033006,130.407383
HKC80,30.456889,130.005089
HME02,35.5291,139.79065
HME03,35.501622,139.832064
HME07,35.555433,139.766806
HME32,35.492867,139.816197
HME39,35.618167,139.820875
HOKKE,40.002672,137.441783
HOKTA,36.391742,140.910642
HOKTO,41.467381,143.190358
HONDA,35.571464,140.188511
HONDO,32.422008,130.184667
HONMA,33.8261,134.9511
HOOKE,33.690719,132.260789
HORAI,27.637869,128.861161
HOTAL,36.987753,136.044131
HPE03,39.259742,141.005172
HPE10,39.526761,141.311847
HPE12,39.296411,140.945414
HPE14,39.418481,141.130806
HPE15,39.680553,141.183556
HPE16,39.631575,141.169528
HPE17,39.591536,141.437356
HPE26,39.703178,141.247019
HPE31,39.694475,141.277019
HPE34,39.382114,141.124219
HPE38,39.678961,141.317114
HPE51,39.524517,141.158156
HPE59,39.611589,141.418611
HPE63,39.573061,141.401719
HPE78,39.267675,141.159672
HPE85,39.302769,141.109878
HUC01,36.2019,140.4235
HUC02,36.370031,140.389475
HUC03,36.346389,140.526672
HUC06,36.274156,140.475039
HUC08,36.057339,140.376211
HUC11,36.120128,140.667544
HUC12,36.386628,140.387311
HUC13,36.156956,140.678156
HUC14,36.039311,140.608589
HUC15,36.153294,140.403481
HUC16,35.986228,140.513214
HUC18,36.161178,140.407258
HUC20,35.976014,140.353153
HUC21,36.204047,140.41105
HUC27,36.241092,140.96535
HUC30,36.383497,140.891372
HUC40,36.397289,140.581858
HUC41,36.201444,140.424419
HUC50,36.152214,140.7189
HUC51,36.161686,140.637408
HUC59,36.096269,140.379714
HUC60,36.271414,140.480558
HUC61,36.287039,140.400272
HUC70,36.300789,140.688778
HUC90,36.327369,140.525539
HUC91,36.217564,140.719858
HUC95,36.064681,140.366325
HUC96,36.045744,140.358303
HUC97,35.981061,140.330708
HUC98,36.250611,140.669375
HUC99,36.260278,140.708822
HUSUT,26.396728,127.820889
HVT00,40.517425,141.705294
HVT01,40.560989,141.490811
HVT05,40.594931,141.578822
HVT06,40.586708,141.594917
HVT10,40.477322,141.277028
HVT11,40.638978,141.684722
HVT55,40.5947,141.5803
HVT80,40.612336,141.699103
HWE08,41.903444,140.875458
HWE25,42.178619,140.968231
HWE35,42.340111,141.022503
HWE63,40.779806,140.382244
HYE07,35.211981,139.455511
HYE14,35.198972,139.311264
HYE15,35.161694,139.304811
HYE65,34.986556,138.308189
HYOGO,34.858506,134.995564
HYUGA,32.134278,132.040439
IAM06,28.416319,129.704661
