IDENT,LATITUDE,LONGITUDE
ALEMU,3.997142,39.667597
ALKON,-0.435989,33.967428
ANTAX,3.993589,35.369122
APLOG,-1.502575,34.904114
AVAGI,4.0,35.432661
AVIGO,-5.57015,40.912642
AVITU,-0.132428,38.153383
AVUDU,-3.171906,40.41205
DESRA,-2.046825,41.459706
EKBAD,-1.427586,35.334128
EKBUL,3.996972,36.084186
ENABO,0.997192,41.000964
EPLAS,3.996986,34.197469
EPLAV,0.047222,40.783333
EVARU,-2.218333,42.434722
EVOGO,-1.783333,39.808333
EVUDA,-1.847222,40.216667
GABSO,-2.852481,37.567522
GADLA,-3.713247,38.490603
GETAT,-1.785911,41.700978
GITNO,-2.985806,38.659219
IBROM,-0.321667,39.896667
IMI06,-4.007181,39.609769
IMI63,-3.923825,39.656317
IMKAK,-4.072319,41.12405
IMSAN,-2.502511,38.117539
KAPAL,-1.585922,38.584222
KAVAR,-2.060322,37.729472
KESOM,0.130597,41.000961
KISAK,-7.81375,44.001053
KOBAB,-0.785986,38.534225
LADAN,0.997214,35.950828
LOTAS,0.997208,36.534186
MELMO,-0.602647,34.584111
MERKU,-3.532981,37.750858
MIDNI,-2.949619,39.9387
MOBAT,-4.069056,40.2676
MOKAD,-4.453167,40.213417
MOV05,-3.875292,39.683164
MOV14,-4.1536,39.529531
MOV18,-3.922167,39.657297
MOV21,-4.095011,39.561883
MOV25,-3.911911,39.662956
MOV38,-4.003422,39.611694
MOV40,-4.007125,39.610403
MOV62,-3.921503,39.657169
MOV65,-4.043744,39.590189
NAKAT,-0.835981,35.367467
ODLAM,-0.985958,35.917481
OKNES,-3.585739,37.900842
ORSER,-4.079056,42.893514
PATAR,2.458628,34.95
R1640,-4.013067,39.60645
R1659,-1.327594,36.916356
RUDOL,3.996961,37.41755
TILUK,0.997217,35.58415
UTATA,-2.685825,37.042506
UVUKO,-4.702336,39.500908
XABON,-4.079056,44.001044
