IDENT,LATITUDE,LONGITUDE
AFM18,43.085858,74.741589
AFM61,43.048322,74.198486
AFM65,43.123339,74.730525
AFM78,43.065456,74.506731
AFM81,43.010508,74.207175
AFM83,43.056581,74.442081
AFM86,43.036203,74.338928
AFM87,43.073339,74.594756
AFM91,43.224164,74.310283
BALGO,43.04345,73.599219
BOKLA,41.488397,71.210847
DEMAS,42.791761,71.334167
IRISU,40.966733,73.365906
KALIN,43.32945,74.199053
KESOR,42.253417,71.612514
KKIYA,40.250042,72.099217
LEVNI,42.208333,72.941667
MAAGE,43.170667,73.993675
MALEX,41.315078,74.002583
MASUP,42.153428,73.327558
MEDAS,41.780094,74.870933
MNNB,43.051789,74.404239
MNS07,43.088614,74.677706
MNS10,43.036939,74.279194
MNS11,43.070372,74.545783
MNS12,43.070544,74.548044
MNS25,43.048086,74.364214
MNS27,43.102556,74.279719
MNS31,43.077411,74.590336
MNS38,43.057425,74.435833
MNS47,43.140231,74.646478
MNS51,43.029953,74.311447
MNS54,43.051906,74.404989
MNS55,43.051592,74.402756
OGTOL,42.818444,73.499219
PRONA,39.516681,70.879197
RENAT,42.935117,73.999231
RILAK,42.115094,73.492561
RUDEK,42.398436,73.619228
SOKUL,42.800117,74.64705
SOMEK,42.206761,73.107553
SOMUS,42.050094,73.765903
SORAM,41.731742,71.877528
SULET,43.103458,74.584244
TADOT,41.428425,75.730958
TOKPA,42.928661,74.849769
