IDENT,LATITUDE,LONGITUDE
AGSUS,36.755833,130.678889
AKLAS,36.713056,127.498889
ALADI,35.520722,126.855078
AMICK,35.125278,128.497778
ANSIM,37.389722,124.835833
APDOP,35.923714,126.611139
APPLE,35.651519,129.222144
ARISU,37.651111,126.305278
ARIVA,37.205,125.799722
ASSEN,33.524444,126.211667
BAMBO,35.401928,127.230211
BEACH,35.038781,128.751478
BENSE,37.630278,126.552778
BEZEE,35.883047,126.620811
BIBNG,37.230978,126.874322
BIGOB,36.723611,128.164444
BIMPE,34.80325,126.384278
BITUX,36.279167,128.03
BLAZZ,36.156581,126.555525
BOBAE,37.096994,127.217128
BOGAN,37.211389,126.47
BOKO,36.957589,128.189683
BOMAL,33.411389,126.295278
BOMEE,37.279722,126.615556
BOMRA,35.503056,128.563056
BONGY,37.145533,128.073125
BOREV,35.669658,126.695936
BOXOL,35.742028,126.654261
BREWW,37.038975,126.618531
BRRRR,37.092653,127.056811
BUCKB,35.861019,126.622056
BUKDO,36.337778,129.43
BULGA,35.935833,129.823333
BULLS,37.019722,127.639722
CANDY,36.905692,127.238322
CANTO,35.085,128.360556
CAPER,37.320533,126.579444
CARP,34.923606,128.451011
CASUL,36.768772,126.993761
CHAMP,37.533889,126.560278
CHB75,36.802822,127.785986
CHE02,33.5249,126.517
CHE07,33.560072,126.585194
CHENG,37.257392,127.081972
CHJ04,36.758175,127.553786
CHJ07,36.794786,127.596297
CHJ09,36.819114,127.624575
CHJ12,36.855775,127.667239
CHJ13,36.845681,127.706947
CHJ15,36.727653,127.518392
CHJ21,36.734961,127.526864
CHJ25,36.646619,127.305011
CHJ50,36.892347,127.709858
CHJ58,36.866731,127.73945
CHJ75,36.790397,127.747436
CHJ90,36.739461,127.806092
CHO14,36.721753,127.203894
CHO19,36.722911,127.100247
CHO23,36.687194,127.445097
CHO59,36.748842,127.543108
CJU04,33.476456,126.423303
CJU07,33.454578,126.380883
CJU22,33.487853,126.445342
COBET,36.244122,126.604169
COPUS,37.472778,126.222778
CORN,37.325281,127.837825
CREST,35.016336,128.721431
CROWN,36.841919,127.013447
CUTLE,37.668078,129.127947
DADGA,35.897778,126.896389
DAEBO,36.141069,129.5309
DANAN,37.540556,126.184444
DAPTO,37.411667,126.51
DASAN,34.999331,126.314453
DOC01,35.886536,128.671625
DOC06,35.838378,128.760342
DOC07,35.8367,128.758922
DOC08,35.819672,128.794294
DOC09,35.817514,128.792467
DOC10,35.968842,128.452383
DOC11,35.831253,128.914294
DOC12,35.788719,128.842756
DOC13,35.791594,128.845194
DOC14,35.801058,128.8992
DOC15,36.001264,128.357764
DOC16,35.827389,128.912692
DOC18,35.886967,128.671992
DOC21,35.792642,128.848708
DOC22,35.804733,128.901367
DOC27,35.886675,128.674406
DOC31,35.772867,128.879106
DOC70,35.838767,128.763322
DOC80,35.820328,128.797481
DOC99,35.769511,128.876261
DOKDO,37.598717,126.554844
DONBY,36.877167,126.5695
DOVE,36.6613,127.760044
