IDENT,LATITUDE,LONGITUDE
ACUGE,29.591514,47.433097
AJB41,29.416947,47.290967
ALSAN,29.951944,48.248889
ALVIX,29.320833,48.402778
ASB01,29.333694,47.542861
ASB03,29.3355,47.5403
ASB05,29.3566,47.4986
ASB06,29.288125,47.633972
ASB07,29.409306,47.408125
ASB09,29.293358,47.637075
ASB10,29.443561,47.326656
ASB11,29.357589,47.496689
ASB12,29.441006,47.318525
ASB13,29.437925,47.316625
ASB14,29.357028,47.496731
ASB15,29.334808,47.543442
ASB16,29.265442,47.729356
ASB18,29.143567,47.510894
ASB19,29.298847,47.639939
ASB22,29.222328,47.724153
ASB23,29.255897,47.724372
ASB24,29.249667,47.316994
ASB25,29.223158,47.701414
ASB26,29.231694,47.708378
ASB28,29.214953,47.69395
ASB29,29.461656,47.294664
ASB30,29.467269,47.338319
ASB31,29.415917,47.4136
ASB32,29.455933,47.328939
ASB34,29.246581,47.715158
ASB42,29.181669,47.653164
ASB47,29.391781,47.429147
ASB52,29.296936,47.616286
ASB60,29.334178,47.543119
ASB61,29.35835,47.497825
ASB70,29.402647,47.407661
ASB71,29.246594,47.718828
ASB89,29.415633,47.305072
ASB92,29.425336,47.309642
ASPEL,29.179167,47.016389
AWADI,28.575,48.731389
BAYVA,29.940369,47.334361
BONIM,28.998056,47.486944
CAVNA,29.903919,47.441561
DANAL,28.857778,49.080556
DARVA,28.803889,48.792778
DEBTI,28.735278,48.490278
DEKOB,28.526389,47.851667
DESLU,29.466667,49.030556
ECIYA,29.935931,47.550611
ECOGI,29.459208,47.321839
FALKA,29.436389,48.305278
HOVID,29.491294,47.430381
HOVIK,29.803703,47.438847
IMDOX,28.581944,49.243889
IVOVO,29.391833,47.881
JAKOB,29.152217,47.090114
KUA03,29.265842,47.948936
KUA06,29.322931,47.917908
KUA08,29.344825,47.917878
KUA09,29.366972,47.994403
KUA12,29.132289,48.130675
KUA13,29.137947,48.089144
KUA34,29.360622,47.911661
KUA36,29.383906,47.994097
KUA53,29.305333,47.933411
KUA55,29.385508,47.970878
KUA60,29.375194,47.912406
KUA61,29.323675,47.939747
KUA62,29.272142,47.967067
KUA70,29.078917,48.069106
KUA71,29.131981,48.041114
KUA80,29.094261,48.038758
KUA81,29.129144,48.020356
KUA90,29.374447,47.890572
LONOS,28.506414,49.286964
LOVAR,29.406667,48.769167
MURED,29.059167,48.061667
NANPI,29.0825,49.5325
ORBEB,29.061333,48.079
PATIR,28.935,49.489722
R1538,29.240517,47.961528
R1807,29.338986,47.533406
R2189,29.241228,47.983383
R2190,29.212703,47.976294
R2191,29.212597,47.998586
R2573,29.703489,47.436139
R2574,29.691725,47.435819
R2918,29.352544,47.506803
ROSKE,29.162639,47.736178
SDNEE,29.306711,47.180389
SESRA,29.134167,48.914722
SIVAL,29.392667,47.903
SOLAT,29.161667,46.636111
SOROR,28.571389,47.658889
TANAP,28.876667,49.18
TULAX,29.648056,49.050278
UMRUS,29.173858,47.3978
