IDENT,LATITUDE,LONGITUDE
BETAR,19.473364,-79.500069
DELKA,18.667281,-81.751858
EMONA,18.666667,-81.403889
GCM06,19.273197,-81.44585
GCM10,19.354694,-81.209778
GCM17,19.124144,-81.344497
GCM18,19.122494,-81.384311
GCM36,19.456469,-81.381264
GCM49,19.22395,-81.534161
GCM69,19.280553,-81.547981
GCM76,19.311572,-81.270728
GCM88,19.298067,-81.196067
GORAN,19.256867,-81.508753
GUBEL,19.321819,-81.235261
KANEX,20.0,-80.717778
LEROL,18.667222,-81.617778
MATIS,18.907211,-80.472178
NALRO,19.030822,-80.206147
RIKEL,20.0,-81.044444
TEXAM,19.48865,-80.625247
