IDENT,LATITUDE,LONGITUDE
ABDAM,51.514514,78.284503
ABDUN,46.227014,59.719947
ABEBA,44.499322,74.045878
ABEKA,41.118092,68.744128
ABGEN,40.9617,68.712464
ABIGU,47.795,63.018889
ABIRA,50.392133,62.414083
ABMIK,45.937969,74.600317
ABONA,46.192703,75.315056
ABOTO,49.429217,83.088567
ABROS,43.382931,78.048497
ABURA,47.562667,66.718975
ADAKA,43.737825,62.830897
ADARO,50.785353,81.877681
ADASA,52.772022,75.242442
ADEBA,53.657283,70.666728
ADEGA,44.148611,78.403333
ADEKU,50.383611,64.306667
ADESA,42.161181,69.814139
ADETA,50.004475,77.555061
ADIRO,44.836389,75.398889
ADLAN,49.859206,79.418731
ADLON,53.024722,70.679722
ADMUN,44.320717,75.639256
ADODA,52.542017,75.097442
ADOKA,48.373525,67.310642
ADONU,50.468175,56.031706
ADRAT,50.059581,58.256489
ADRIK,48.07575,68.687628
ADUMI,46.150833,61.654167
ADUNA,49.41,56.264167
AGADI,48.099958,73.5597
AGAKO,47.731325,71.825494
AGARO,47.189697,79.148203
AGATU,49.539031,59.771539
AGERA,43.127294,67.446292
AGILA,44.816903,51.904819
AGINU,49.800294,76.182525
AGLEK,43.5125,74.795556
AGMAN,49.161667,55.155556
AGMUR,45.015647,64.683975
AGNAT,46.657731,77.853453
AGPIN,48.658875,75.695308
AGRIM,45.539167,54.655
AGUNA,43.985153,75.793431
AGUSA,47.233603,82.059953
AKALI,44.141431,61.325858
AKAZU,40.705028,68.636631
AKIRA,45.723261,77.307339
AKOSO,53.694731,65.1599
AKUKU,42.843242,51.084567
ALABA,48.3125,55.660556
ALAKO,44.332928,73.983381
ALEGA,48.150222,71.546033
ALGAS,50.770428,58.199525
ALILA,45.808558,80.153803
ALM04,43.3006,76.9341
ALM90,43.292047,76.913517
ALODO,43.713683,65.670686
ALOTO,44.836111,53.114722
AMASO,47.820747,68.814858
AMELU,49.881928,71.723786
AMIGU,49.279397,69.4204
AMOLA,52.648383,71.933456
AMREK,45.352611,66.039556
AMUGA,46.582778,61.362778
ANELI,44.832389,74.585333
ANESA,42.668419,70.61415
ANIGA,45.358322,53.778453
APSEN,44.060556,77.315
APTOK,50.510025,75.160261
APTUS,50.933056,70.765958
ARBIM,49.345833,64.960833
ARBOL,43.515386,70.859422
ARDIK,52.249969,64.366586
ARKAM,47.193194,64.537817
ARKER,47.299167,58.144167
ARMIK,47.753503,66.692583
ARSAN,47.743333,60.127222
ARSUL,42.433403,68.832447
ARVAR,43.375925,69.173272
ASLIK,47.086003,68.260689
ASTIK,50.4597,69.241761
ATA04,43.3014,76.9328
ATA09,43.293567,76.913094
ATBAN,51.973614,68.363367
ATNAL,43.885236,53.662094
ATNON,52.197222,67.562786
ATNUR,44.766325,50.162011
ATRAN,42.389211,66.088494
ATRIK,47.765117,60.944386
ATRUS,46.884044,67.119833
AVLAK,46.203978,61.751106
BADAS,44.372578,64.614539
BAGIL,47.573839,74.178061
BAGIR,49.025317,51.683597
BAGNA,43.798333,77.955278
BAKID,46.4425,62.398333
BAKIS,44.008611,76.725833
BALIG,43.328817,51.837072
BALMI,53.185606,70.769242
BALPI,47.7918,62.508867
BAMAN,45.283558,82.6161
BAMAT,50.690606,78.172847
BAMIK,52.588286,62.088736
BAMUT,41.855892,69.411633
BANOS,50.188053,72.644639
BANOV,50.618133,83.154389
BANRA,43.882169,52.719575
BAPER,43.503056,53.778333
BARAR,42.841753,70.061358
BARKI,54.865089,70.998928
BASAN,43.572353,73.907275
BASPA,50.362486,70.665967
BASPI,43.720167,78.899903
BASPU,47.253906,52.844778
BATAD,50.098333,64.1575
BAVAG,53.305572,66.875236
BEBLU,54.775328,66.840472
BEDIS,47.736578,68.824303
BEDKA,50.221942,72.261572
BEDMU,54.204517,70.755328
BEDNU,42.002008,69.4383
BEDOR,48.424917,67.546481
BEDRU,49.111828,62.609397
BEDUR,43.596264,76.960133
BEKOR,49.753786,62.512711
BEKRO,43.814039,75.663708
BELIK,46.643433,61.64165
BELSO,47.368236,68.685697
BERTO,43.790728,79.763814
BERVI,43.683192,74.198117
BESIR,44.316944,78.205556
BESOL,50.381839,61.095439
BETIK,48.135458,66.884803
BETPU,45.966253,67.994869
BIKRI,47.470789,75.439486
BILGA,48.581186,55.405911
BIMDO,44.3026,67.525442
BIMSO,53.275558,65.342694
BINRI,43.435414,75.218422
BIOTA,44.356836,76.70595
BOBRO,44.113333,74.707778
BODNU,50.396411,75.15415
BODSI,44.842761,54.319308
BOGDI,43.421519,74.272011
BOLGO,49.716778,56.588961
BOLNA,43.620044,62.968958
BOLSU,51.252247,72.937958
BOMKA,42.042286,69.272461
BORIS,42.857556,66.091542
BUDER,52.219444,63.347778
BUGEB,41.140025,67.142425
BULOG,50.14855,66.008903
BURID,47.043036,81.013536
BURIK,47.003497,67.863458
BUSAR,47.156919,79.583772
BUSON,48.615833,57.6825
DAKIN,54.158697,72.403989
DEKED,43.614722,74.218333
DEKUR,42.379631,51.874036
DEPIR,54.036697,66.400203
DESER,44.917397,75.515911
DESOK,44.274897,77.921817
DETAK,43.806544,76.840683
DETES,47.520556,59.520833
DETOV,50.265561,73.208819
