IDENT,LATITUDE,LONGITUDE
ALPHA,18.543333,103.328333
ANBOK,18.616667,101.216667
ASAV,16.855833,105.243889
BUTRA,15.416667,105.6
DELTA,16.0,105.75
JAMPA,18.769444,102.886111
KAASI,19.099444,102.378889
KADIN,18.45,104.0
LADON,21.103611,102.966944
LAVAN,14.098594,105.688858
LEKOB,14.13,105.52
NALAO,19.324167,103.926389
NOBOK,20.622222,102.640556
NOHET,19.426667,103.611389
PAPRA,15.766667,107.183333
PONUK,20.316139,100.384944
SAGAG,21.191667,101.623333
SAV10,16.695,104.861667
SEKON,14.867778,106.376111
TANGO,17.425,104.905
TOMIP,19.183333,101.266667
VILAO,17.366667,106.083333
