IDENT,LATITUDE,LONGITUDE
ALGET,6.334092,81.537203
ANIVE,5.681667,78.0
ANSAS,7.551667,86.563333
BASEV,-1.022436,88.939528
BAXAM,1.050731,85.134936
BIDAP,7.276667,82.0
CNL75,7.289047,79.9697
DABAP,-1.444131,84.888331
DABAR,10.000153,80.083756
DOGAR,-2.0,87.838333
DUGOS,8.885083,84.797944
EGODU,3.530572,84.060031
EKASU,1.625708,86.168144
ELATI,-2.0,89.961667
ESPAP,8.228333,82.871667
GODAV,5.167144,84.001686
GUTOX,2.289047,89.772722
HAMBA,6.117058,81.068678
IBADA,4.869444,83.369444
IDIBI,8.738556,79.367181
IDUDO,7.441944,85.308056
INVAN,6.398333,81.0
KALOX,-0.310842,86.371478
KAT04,7.108319,79.827042
KAT05,7.154511,79.863175
KAT10,7.292739,79.972628
KAT23,7.086292,79.757242
KAT35,7.2073,79.904472
KAT84,7.271961,79.955078
KAT88,7.299842,79.919014
LAKIP,3.441667,85.581944
MATLU,1.448889,88.673611
NISOK,3.048333,92.0
OBDAL,3.313964,87.746278
POPAK,5.078772,88.001122
R1315,7.193247,79.893028
RULKA,6.433333,88.0
RUXER,3.587222,83.018483
SELSU,1.183333,92.0
SULEN,4.41,90.398333
SUPSA,6.783667,79.052233
TANUG,6.050392,80.8687
TEBIT,6.12,84.0
TEMAX,6.88,81.0
UDIVO,2.933994,88.467867
VEVET,6.628333,82.0
