IDENT,LATITUDE,LONGITUDE
AKUMA,55.193889,22.753056
ARLIT,54.925833,23.165833
ASKOR,56.382778,22.612778
BALIT,55.810278,19.091111
BATKU,55.459167,26.551111
BILDI,54.587778,24.945278
BOKSU,54.3075,23.059167
BUMUG,55.733889,20.273333
DEVKA,55.486389,25.966389
DUKAT,54.471389,25.615278
ELEKA,54.800556,24.688889
GILUT,55.355,21.671944
IAN05,55.988689,21.101481
IAN20,56.011247,21.111625
IAN43,56.048356,21.128389
IRKAL,54.483889,24.22
KEDUX,56.212778,19.573333
KLA12,55.902661,21.3586
KLA17,55.900192,20.821608
KLA27,56.0181,20.918861
KNA03,54.958033,23.978628
KNA04,54.971297,24.208497
KNA06,54.9557,23.892011
KNA07,54.951514,23.863461
KNA26,54.95825,23.949694
KNA27,54.545131,23.447617
KNA42,55.029081,24.190303
KNA73,54.971681,24.275392
KNA80,54.974617,24.347525
KNA89,55.0106,23.823464
KNA98,54.915856,24.338025
KRAKI,54.941389,22.734722
LAVAR,54.691389,25.736667
LISGO,56.138889,25.571389
LUNIT,56.175278,25.158611
MANUX,55.676111,22.035556
MIRMA,56.4225,22.161944
NEDAM,54.952778,24.2475
NINTA,56.228889,18.285556
PIVOM,55.298333,23.216389
PN034,56.094889,21.035175
PN043,56.048697,21.125664
PODIL,55.136667,26.474167
R2194,54.963364,24.073522
R2195,54.964883,24.104244
R2196,55.964422,21.090311
R2197,55.981764,21.097297
R2198,54.623686,25.278528
R2199,54.644647,25.293053
RONUS,56.090278,20.495556
RUSNE,55.235278,21.438056
SOGBI,54.213056,25.195833
SUBUS,54.421111,24.436944
TIGNU,55.603611,19.838333
TIRIN,56.067222,20.747778
TOTRA,55.443056,22.771111
TUMKI,53.948333,23.898889
VABER,54.194444,23.406944
VAKAL,54.869722,23.208056
VALUV,55.692222,20.133056
VNO10,54.8241,25.206356
VNO11,54.824953,25.21205
VNO17,54.499872,25.305878
VNO20,54.970175,25.148794
VNO22,54.537947,25.024272
VNO23,54.547517,25.068211
VNO24,54.552072,24.938
VNO27,55.257383,24.689236
VNO30,54.845325,24.792153
VNO32,55.329969,24.588917
VNO34,54.779117,25.227311
VNO35,55.204067,25.045911
VNO36,55.075894,25.347208
VNO37,55.233539,25.366711
VNO47,54.736433,25.508119
VNO61,54.742008,25.362314
VNO66,54.536483,25.326914
VNO99,54.535872,25.2164
