IDENT,LATITUDE,LONGITUDE
DIK02,49.840881,6.1703
DIK05,49.922317,6.228542
DIK18,49.583364,5.957031
DIK23,49.746336,6.413017
GTQ26,49.451008,6.383619
IDOSA,49.741667,5.869722
ILE05,49.575072,6.065353
ILE09,49.566894,5.975839
ILE10,49.534061,5.956886
ILE12,49.517711,5.912289
ILE13,49.657286,6.300331
ILE22,49.749753,6.397681
ILE23,49.715122,6.465114
ILE32,49.725458,6.398264
LUX06,49.688631,6.381381
LUX08,49.569814,6.072667
LUX12,49.581908,5.942325
LUX19,49.619253,5.761272
LUX41,49.613839,6.1744
LUX58,49.595928,5.9472
LUX60,49.587267,6.116286
LW01,49.612183,6.172819
MOSET,49.546389,6.344167
NTM16,50.075089,6.12845
NTM24,49.718153,6.119364
PETAN,49.552778,5.877222
R2862,49.617669,6.187456
R2864,49.635528,6.235556
ROUSY,49.476389,6.115
