IDENT,LATITUDE,LONGITUDE
ABAVA,56.676389,26.543333
ADAXA,56.297778,18.898333
ALMIK,56.483333,26.642222
AMOLI,57.105833,25.254167
ATRAK,56.591111,23.843056
BARVA,56.853889,25.546667
BERIL,56.363056,23.426389
BETAL,56.819167,26.469444
DEREX,57.672778,20.210833
DESON,56.894722,20.420278
DOLUN,56.826667,27.468056
DUBIN,55.812778,26.978056
EDERA,57.140833,20.593889
ERIVA,56.368889,24.630278
EVONA,57.165,19.924722
GARSO,56.146111,20.082222
GEKLI,57.278611,25.050556
GELDA,56.871389,19.566667
GILAX,57.390278,24.920833
GOBEK,56.564167,22.531944
GUNTA,56.371389,23.755556
IRMAN,56.8392,23.955839
LAPSA,57.336944,22.636944
LASMA,56.435278,20.215278
LELDA,57.4375,22.775833
LOGMA,56.786131,23.946339
LUKED,56.518611,20.093056
LUSIM,57.685556,21.983056
MILTA,57.688056,21.455278
NATAN,58.021111,21.5425
NEKET,58.304444,20.578611
OKLAD,56.905833,20.743056
ORVIX,56.9025,22.379167
R2192,56.935069,23.973075
R2193,56.90645,23.968356
RASEL,58.028056,20.414722
REKBI,56.654722,23.965278
RIA04,56.768611,23.803022
RIA05,56.9042,23.9667
RIA07,57.057631,23.999367
RIA08,56.901506,24.331442
RIA10,57.120256,24.072911
RIA12,57.127175,24.011967
RIA14,56.943364,23.976058
RIA15,56.926056,23.493986
RIA17,56.72,23.988525
RIA18,56.726744,23.868325
RIA23,56.867719,23.959169
RIA25,56.925061,23.597378
RIA31,56.994106,23.845825
RIA32,56.973244,23.982139
RIA33,57.131761,23.878267
RIA34,56.857744,23.958361
RIA39,56.8561,23.958025
RIA50,57.003136,23.9871
RIA51,56.925944,23.50615
RIA52,57.128631,23.954328
RIA53,57.004781,23.987439
RIA55,56.895881,24.434264
RIA59,56.925183,23.585214
RIA80,56.720569,23.929372
RIA83,56.783372,23.942061
RIA85,56.780083,23.941394
RIA87,57.060917,24.000039
RIA88,56.896547,24.422167
RIA89,56.900847,24.343542
ROBUT,57.061008,23.996256
RUCAV,56.073889,21.093611
RUTEK,57.906111,21.149444
RUVAT,57.431944,23.761667
SAKTA,56.575556,25.267222
SOKVA,57.9,24.299444
SOPUN,57.844167,20.983056
SORES,56.601944,24.824722
TENSI,57.063056,22.305556
TETRI,57.182778,24.052778
TOSTO,57.008889,23.985278
TUSAS,56.479444,25.171667
VAKSO,57.588333,23.240278
VALED,56.719722,22.461944
VALGA,57.853889,25.916111
VANAG,57.550278,24.725833
VEDEN,56.531667,18.876667
VENOR,57.867222,21.204444
