IDENT,LATITUDE,LONGITUDE
AGAAR,27.304,14.0
AKMID,25.633767,18.898881
ALBEY,30.433333,15.0
ALDAB,32.470667,18.220667
ALGAF,28.166667,15.266667
ALTOP,33.819667,13.324667
AMWAJ,33.473667,12.625667
ANHAR,30.516667,21.083333
ARADA,30.776667,21.563333
ARRIG,27.484167,20.017
ATOLL,32.75,19.909
BAGLI,31.939333,16.0
BOURI,31.7,18.766667
BRACK,27.5,14.335333
BREAM,32.891667,14.083333
BUHRA,27.371131,12.790697
BZIMA,25.033333,20.716667
CIBIA,32.668667,16.018667
CILBA,31.3,17.4
CLAMS,33.283333,12.141333
CONCH,32.996667,13.0
CRABS,33.08,12.758333
DAYFA,28.317167,20.867667
DEKIL,22.0,12.466667
DERJE,29.790333,11.316667
DERKA,33.15,13.367222
DHRNB,29.470667,17.938333
DISOL,33.685333,13.238333
DITAR,26.9835,25.0
DOLFI,33.208,17.718667
ELGAN,24.833333,15.625667
FARUJ,33.520667,18.725667
FARWA,33.0,12.302
FUGHA,28.165875,16.094075
FUNGI,30.606,12.137333
GARUS,32.666667,17.0
GHTNB,25.188333,10.138333
GWASM,32.133333,13.116667
HAMOR,32.15,18.4
HITAN,33.456,13.437333
HORUJ,27.150167,16.240333
KALIJ,31.55,16.0
KARUB,27.584,21.250667
KAVOX,32.95,14.934167
KEPOS,27.368194,18.469694
KHOMS,32.670667,13.985333
LIBDA,32.508,14.0
MAGNA,32.355,14.0
MKILY,31.983333,22.333333
NAFUS,30.739333,11.159
NALUT,31.850167,10.975667
NAMWA,31.423667,15.304
NAWRS,32.887333,13.524667
NGIRT,28.866667,11.45
NJEIM,30.926667,15.46
OJAAJ,33.258,17.0
ORBEL,28.372667,11.536333
ORNAT,20.0,25.0
PRAWN,32.666667,18.083333
PUFER,32.9835,19.791333
RAMLI,33.716667,19.383333
REDFI,33.334167,20.901167
RYHAN,32.2,13.5
RZAAM,32.803,19.256
SAHRA,24.635333,13.516667
SAKKR,32.206,12.791333
SAMAK,33.402,14.839333
SHATI,28.0,14.206
SHELL,33.337333,13.255
SINAW,31.1,11.1
SKATE,33.75,13.003
SOLUN,32.985333,17.0
SWIRF,29.883333,13.716667
TAJAR,24.366667,14.572667
TAMIT,30.735333,15.769667
TAWUS,31.869667,13.289333
TAZIT,25.937333,11.903
TILAL,30.413333,16.35
TMISA,26.424667,16.342333
TONBA,21.583833,19.850333
TUNAR,33.408,18.368667
TWARG,25.050167,10.033333
WANIN,28.166667,12.8
WHALE,32.734333,20.55
YAQUT,32.216667,17.0
ZITUN,32.169667,13.608
