IDENT,LATITUDE,LONGITUDE
ABATO,30.537222,-8.553056
ABIRO,35.804722,-6.289722
ABMIL,33.9,-7.833333
ABODA,35.413889,-7.833333
AGALI,30.727778,-9.496667
AGDAL,34.116667,-7.314444
AKEMA,34.600556,-7.776667
AKUDA,35.966667,-8.95
AMETA,32.9975,-10.148333
AMLOK,29.816667,-10.0225
AMSEL,35.966667,-7.883333
ATLUX,32.9975,-11.551667
BABNA,30.011944,-10.170833
BABOS,32.196944,-8.086389
BADBO,31.115278,-6.465
BADRO,34.6675,-2.376111
BAKBO,31.315581,-8.573989
BAKIM,35.042222,-6.941667
BARAM,32.246944,-8.9
BARIS,34.903056,-5.930556
BAROK,35.966667,-10.023333
BARPA,35.833333,-5.666667
BEDUX,32.6475,-5.831667
BENTU,34.628333,-11.243611
BEXAL,35.966667,-11.448333
BIBAD,32.854722,-7.620556
BIDLA,30.895556,-8.822778
BISMI,33.647208,-6.893511
BULOK,30.180833,-9.838333
DENOB,31.051667,-9.589444
DIMSA,31.971944,-12.398889
DIVUX,29.0,-8.799722
DONAS,33.6975,-6.575
DOTIV,34.359803,-3.473117
ERLAM,32.919167,-6.39
GALTO,35.833333,-5.143611
GOSPI,30.1475,-9.821667
GOVAS,33.1975,-6.981667
GULTI,34.130556,-2.498333
IBALU,34.444444,-8.789167
IXODA,34.958889,-5.548333
KEMEX,31.014444,-9.72
KESIR,30.440833,-8.92
KETIB,34.576667,-2.325833
KORAL,29.731428,-12.578339
KORIS,35.833333,-6.239167
KUBIL,34.261111,-12.911667
KUVEL,29.0,-9.260833
LAKAM,34.187222,-7.738333
LINVA,30.828889,-7.370833
LUPEX,32.9975,-13.955
MADOV,35.414722,-5.752222
MAGAV,31.522806,-9.685375
MAXOR,31.166667,-7.309167
MIMRO,31.016389,-9.0525
MITLA,31.308333,-14.082222
MOGBA,30.562778,-9.759167
MOKIB,34.424722,-6.873611
MOKIR,31.340278,-7.612778
MOKRI,33.160833,-9.174167
MOROX,29.0,-9.955833
NAKEX,31.35,-8.866667
NARMI,35.636389,-5.4975
NEVEL,32.9975,-12.671667
NIRAL,33.194722,-8.366667
NISBA,33.679328,-9.020081
NISUR,31.178889,-10.083333
ODAXA,33.993889,-8.242222
OGALA,31.346111,-7.015556
OLMAG,33.144028,-3.335086
OLOMA,30.640833,-9.071667
ORSUP,34.848611,-1.840556
OSDAM,35.345833,-6.701111
OSLAD,35.966667,-8.314167
PELIN,32.894167,-7.396667
PIXEB,32.272403,-2.998436
R2201,34.064944,-6.741653
RALEK,33.003611,-8.179444
RAVNA,31.172778,-8.806111
RAVOL,33.518822,-8.474597
RBT18,34.076936,-6.730539
RBT80,34.169956,-6.675928
RBT86,34.178956,-6.670639
ROMSO,35.445278,-6.4925
RUTAL,30.580833,-8.381667
SBI19,34.078586,-6.730036
SOBMA,35.4,-5.916667
SOMOM,30.0725,-10.199167
SONSO,30.012222,-12.101944
SOVAL,34.172778,-4.168889
SULAM,30.915833,-13.248333
SUNID,34.619722,-10.156667
TADOX,32.882778,-7.444444
TEKNA,30.039167,-9.738333
TOGMA,31.3,-6.676944
TOGRO,34.862778,-2.384722
TOLSI,34.600556,-7.015
TURMA,31.753889,-11.2775
TUSOR,34.497222,-6.331667
UVRAL,31.963869,-7.909814
VAGNO,35.74,-6.3
VARAS,34.025556,-6.348333
VEDOD,30.505833,-12.373333
VESEN,31.814167,-8.631667
XAVOV,34.557286,-2.750894
