IDENT,LATITUDE,LONGITUDE
ADMIR,46.510278,28.624444
ANEDO,46.363333,29.691944
ASMIN,47.727778,29.223056
ATREK,47.886667,29.233056
BABIB,46.178611,29.051389
ERADA,47.439167,28.202778
INROG,48.414722,26.812778
LAVDA,48.125,28.730556
LUSAV,47.187222,28.863611
NETED,47.114444,28.649167
RETRO,47.012778,29.611111
RIVIS,47.2225,28.501667
SORET,45.78,28.151667
SURAP,46.544722,29.9
SUVUR,47.323056,29.388889
TURSA,46.648611,29.943889
TUVAP,46.469167,29.328056
UNDOL,48.452222,27.721667
VETEK,46.511667,28.884444
