IDENT,LATITUDE,LONGITUDE
ADHAC,9.552542,167.520497
AGAYE,8.582444,167.569719
AGECA,8.857711,167.893753
AGOLY,9.500994,167.589089
AWIJU,9.384439,167.456742
BEBPA,8.633931,167.232606
BOQHU,9.438344,167.645025
BUYKA,8.6624,167.544761
CASWO,9.230128,167.408664
CENBU,8.777725,167.918628
CETMO,8.742328,167.520417
CIRRA,8.695342,167.651383
DISHU,9.366436,167.309369
ECIBU,8.742356,167.519797
EFAHU,7.310906,171.722069
EGRAW,8.747625,167.820892
EJOSO,9.292739,167.352717
ENINY,11.35,162.333333
FANUX,8.744844,167.811864
FASRU,8.582881,167.571006
GICNE,8.567753,167.509228
GOLPE,9.433731,167.512697
HASUV,8.637556,167.464414
HOBLO,8.662803,167.546058
IMOTY,9.359978,167.428983
IMUFO,7.088125,171.366458
JELNU,8.62335,168.093189
JOBET,8.737247,167.788056
JORAM,8.687164,167.625739
KOCEP,8.544333,168.110833
KUHEK,7.103153,171.076214
LOOIS,8.201667,164.748333
MAVTE,8.695208,167.650947
MAZZA,11.708889,180.0
MOFHU,9.406556,167.481844
NDJNB,8.720875,167.727756
NIGLY,8.692622,167.642461
NIXAM,3.5,176.193333
NOFKE,7.080061,171.035986
NUGWO,7.157917,171.515219
OBSOE,8.857283,167.892472
OGEVE,7.021842,171.096222
OLEDY,8.888914,167.726781
OLGIS,10.0,160.935
OREEO,7.448056,170.469167
PAYPO,8.697311,167.942219
R1279,8.7174,167.722842
R1293,8.722842,167.740483
R2385,7.062156,171.261439
R2386,7.067364,171.282608
ROYOD,8.752108,167.836286
SAYOC,8.702053,167.673961
TONBE,8.777331,167.917342
TOZTU,7.108061,171.447869
UFUZO,7.041822,171.177611
UTOCO,8.522186,167.727792
VAYUD,8.800094,167.821353
WADRU,8.745,167.812364
WAVUR,8.735142,167.610775
WOZTI,7.282625,170.826214
YAWDO,8.567344,167.795461
ZAPUM,9.058528,167.601381
ZIVZU,7.189386,171.427914
