IDENT,LATITUDE,LONGITUDE
BUREK,41.832222,21.196944
DISOR,41.247222,22.758333
ERANA,41.163333,22.239444
GOSTI,41.811667,21.108333
KOGAT,42.1125,21.055556
KRATO,42.218333,22.181667
LONTA,42.159444,21.397222
MAKED,41.129167,22.516667
NASKO,41.766944,22.097778
NEGOT,41.32,22.392222
OLOTA,42.23,21.616667
R2200,41.950914,21.625092
RAXAD,42.308333,22.242778
RUGAS,41.329444,22.791389
SARAX,42.096944,20.895556
SINKO,41.955833,22.382222
SKJ07,41.822253,21.670942
SKJ10,41.883278,21.41835
SKJ15,41.338778,21.923017
SKJ18,41.645042,21.734119
SKJ20,41.612819,21.745569
SKJ22,42.028958,21.155319
SKJ25,41.962725,22.187708
SKJ26,41.893125,21.645572
SKJ27,41.949317,21.408047
SKJ34,41.999419,21.607414
SKJ43,41.967211,21.618992
SKJ63,41.822089,21.670108
SKJ74,41.815808,21.673244
SKJ81,42.216939,21.768642
TALAS,41.076667,21.916667
TETOV,41.976667,20.99
VAROX,40.855,21.121944
VELBA,41.966667,22.883333
XAXAN,42.136667,21.326944
