IDENT,LATITUDE,LONGITUDE
AMKAL,14.875833,-5.222778
AMLAN,13.763333,-10.171667
AMSEN,22.0,-6.117222
AMTAK,14.736111,-10.998056
AMTES,20.083333,2.366667
APERO,16.25,2.272222
BIDOK,12.833056,-9.262778
BIDOM,17.295,3.515278
BIGET,14.693056,-8.839444
BIMAN,16.090278,-9.441667
BKO03,12.518497,-7.973172
BKO04,12.509289,-7.987403
BKO05,12.598561,-7.849319
BKO06,12.490875,-8.015861
BKO08,12.466931,-8.052853
BKO18,12.640828,-7.639225
BKO28,12.320861,-8.134142
BKO31,12.555314,-7.916236
BKO33,12.573719,-7.887764
DEKAT,12.665697,-7.745336
DENIS,13.197778,-9.123056
DEPOX,15.733611,-8.168056
DERON,15.451389,0.618611
EBSUD,11.501944,-5.248333
EDAMO,10.794444,-6.876389
EDUBA,18.5,2.327222
ENINO,13.078611,-10.431111
ENOLU,13.173611,-6.724722
EPITI,12.485,-5.375278
EREMO,16.25,-8.207222
ETRUL,15.8425,-0.981111
GARAN,13.783889,-8.4525
GASMI,14.065833,-4.98
GASON,16.25,3.151389
GATAM,12.426528,-8.115528
GATIL,13.447778,-12.2425
ILDAD,17.214444,0.215833
INAMA,19.133333,4.166667
INEPA,16.25,2.038611
IPOBA,22.476667,-1.048333
KOSIL,14.640278,-7.0
KOSOM,14.934722,-3.122222
LITIL,15.311111,-6.698056
LUKNA,17.734722,-1.888333
MELAP,12.694722,-6.575278
MESUL,14.748611,-11.938611
MEVAL,15.297778,-0.390833
MINVO,12.056667,-6.6625
MIPNA,15.410556,-9.1475
NAMAX,16.25,3.496111
NAPTU,12.516389,-6.5675
ONUSI,12.930556,-4.275
OPARA,14.673056,-8.088333
OPULU,16.409722,-3.387222
PILTI,15.285,-2.303889
PITMA,12.818889,-5.388056
POTAL,11.394722,-7.235556
POTOL,21.344444,-3.870833
RIPUL,13.718056,-5.664444
SEPAT,14.208056,-6.008056
SOLMA,19.384167,-4.813889
SONKO,15.086667,-2.768333
TAVIL,18.145556,-1.428889
TISEN,24.184722,-6.154444
TOBAS,14.030833,-9.998056
UBATI,11.746944,-9.022778
UNOTA,15.849167,0.293056
USRUT,23.666667,-2.733333
VOLBU,14.401389,-2.451389
VOMEL,14.588889,-5.561111
XUMIL,18.567778,-1.744167
