IDENT,LATITUDE,LONGITUDE
AKSAG,20.817778,100.462611
ANSOS,23.45075,93.463333
APAGO,22.2025,92.670139
ARATO,16.368028,97.796333
ASUMO,20.951,96.163083
AVLED,21.667556,92.346861
BETNO,15.098139,98.199639
BOKPY,11.149322,98.736214
DALER,13.49425,98.524433
EKAVO,11.626694,99.506222
IKUGI,18.567861,96.396444
LALAT,12.846944,95.418889
LALIT,12.873333,95.476667
LATAD,17.001333,97.879639
LIBDI,14.251417,91.997028
LIMLA,15.768083,98.59625
LINSO,23.373056,98.916667
LSO97,22.797528,95.971389
LULDA,12.397417,94.413439
MAKAS,16.834694,98.49625
MEPEL,16.033333,92.0
MONWR,22.224381,95.093447
NISUN,13.934778,92.330333
NIVOG,18.451194,95.446556
OBMOG,11.901944,96.391944
OTADA,18.301194,95.146611
POXEM,15.443083,97.496389
PUMEK,15.918056,97.546361
RENOX,13.433442,98.217358
RINDA,15.583333,92.0
SADUS,15.428056,92.631111
SISUK,19.801139,98.029556
TANEK,14.051528,98.97125
TAVUN,10.0,96.553333
TEBOV,20.417639,91.996944
