IDENT,LATITUDE,LONGITUDE
ALBAT,48.306667,93.1675
ALTAI,46.364722,96.291389
ALTAN,49.0625,93.7575
ANIKU,46.024722,108.899722
ARGAT,46.608889,109.579722
ARHAN,47.465833,101.4775
ASGAT,48.366389,103.978889
BAGAT,48.833611,108.475278
BARUN,46.671944,113.284722
BAVUT,44.553889,108.526389
BAYAN,47.267222,105.2625
BINDE,48.608889,110.612778
BUKAT,46.288889,103.215
BULAG,48.854167,103.485556
BURAL,44.726667,109.300278
BUREN,47.786944,95.155278
DADAL,49.012222,111.509444
DAVST,47.8425,93.913333
DEGIR,45.839444,111.185
DELEG,47.573333,104.7625
DONOI,47.709444,96.525556
DUGAR,45.743889,106.265556
DULAN,46.650833,98.113333
ELGEN,43.695278,108.871389
EMAND,48.8,101.158333
EPKUT,47.562222,103.346389
GANGA,48.081667,111.033611
HADAN,45.640556,106.781667
HATGA,50.441389,100.133611
HORIN,47.246667,102.826111
HOTOL,47.160278,113.725556
HUJIR,46.925833,102.7725
HUREN,49.025278,95.108333
HUTUL,46.89,92.458333
KATBA,45.364722,103.123056
MANLA,44.148333,106.813333
MENOR,46.751667,114.043889
MODUN,46.204722,111.680833
NURUN,44.799444,102.678056
ORGOT,48.1075,112.0
OWOOT,43.011667,101.3325
SILUS,46.810556,97.210556
SONDU,47.086944,105.552778
SUMBE,47.568889,118.599722
TAMSA,46.954722,116.276111
TARIA,47.563056,102.496667
TAYAN,48.031389,109.665833
TEKOR,45.076675,99.275517
TEMUK,43.773611,105.578611
TOLGO,43.020556,106.834722
TOSOG,46.628889,104.884167
TURBA,43.749444,104.115556
TURUN,49.6725,94.3725
UENCH,46.103333,92.031667
UGOBI,49.095556,91.697222
UILAN,48.068889,110.634444
ULGII,48.994722,89.921111
ULZIT,48.760556,95.401389
URGAM,48.573283,94.492289
ZAHIR,46.5275,106.466944
