IDENT,LATITUDE,LONGITUDE
AGODY,15.144411,145.911733
ANEVY,15.433475,146.274019
BAGUW,15.061381,145.922514
CENOR,15.061119,145.405111
COVHI,14.880386,145.44125
DAMQY,14.962539,145.424831
DEWSS,14.875,148.981667
DUCFI,15.016069,145.709128
ELOXE,14.981975,145.527833
EPCAX,14.225931,145.062247
FIHVY,15.133986,145.82625
GAFWY,14.802833,145.840769
GSN06,15.056364,145.668269
GSN10,15.016469,145.636892
KAQTU,13.761928,144.970347
KATQO,14.615936,145.633222
KORDY,15.079753,145.630444
KUNWU,15.048072,145.550653
LULJY,14.80415,145.293972
NUJCO,14.469306,145.518961
ONSUW,14.194158,145.1599
OPBUL,14.171419,145.336739
OYOCO,14.336064,145.427894
PONOI,15.017528,145.472083
R1681,15.114475,145.717936
R2387,14.17405,145.251003
R2388,15.123528,145.740775
R2390,14.99695,145.607386
R2391,15.00145,145.631306
REWJU,14.001456,145.417058
SADVE,15.036344,145.817317
SHAKA,15.093778,145.663311
SHODA,15.142694,145.787908
SNA66,15.13935,145.778619
SNB66,15.127672,145.750031
SONNG,15.175269,145.871006
TOHRI,14.174825,145.225603
TOXPA,14.168761,145.422472
UKUGY,15.197597,145.978261
YAMMA,15.036611,145.519889
