IDENT,LATITUDE,LONGITUDE
AMDIB,20.916667,-18.0
ARBEN,16.438611,-16.361111
ARIKO,17.211111,-14.833889
ARISA,21.566111,-11.900556
BIKIS,16.278056,-16.7825
BIMOG,25.216667,-11.55
BIMUT,18.391667,-18.0
BOTLO,19.349722,-16.427778
BUGAM,18.303056,-13.260556
DELIX,23.567222,-6.923333
DEMIL,16.451667,-15.485278
EBATI,24.258056,-8.846111
EGABU,17.198611,-14.596389
EPETI,16.490833,-13.935556
ERENA,19.972222,-16.667778
GUNOT,16.0,-13.330278
GUPEL,21.333333,-15.005
IDINI,17.643056,-15.265833
IPONA,20.0,-8.498056
KIFFA,16.622222,-11.402778
KIMGA,15.301111,-11.808611
KISBA,19.5,-16.485278
KONAD,18.0,-10.279722
LIMAX,16.748611,-17.335278
MAURI,21.333333,-16.873889
MINBA,19.753333,-13.971944
MOKOD,16.413333,-13.429444
MONUK,17.268333,-13.353333
NALET,17.448161,-13.908289
NANUS,16.805,-11.947778
NENTI,18.411983,-17.492197
NULET,18.418056,-17.216667
ONTOL,16.25,-6.271667
POVAS,22.128889,-8.669444
POVIN,16.846667,-14.071111
SABDU,18.980556,-14.899167
SADKA,22.878333,-10.435278
SENOX,25.554444,-7.3025
SEPEL,17.834239,-15.122211
TAMUL,19.983333,-11.171111
TIMOX,17.865,-13.793611
TIPAD,15.596667,-12.235833
TUSUR,19.913056,-17.108611
UDELA,25.45,-5.616667
ULNOT,17.107222,-15.669167
ULPAK,25.167222,-7.769167
