IDENT,LATITUDE,LONGITUDE
ABRAM,34.333333,12.638333
AGARI,35.964722,15.616667
ALAVI,35.598333,12.913333
ALIXA,35.609167,20.246944
AMIBO,34.944444,21.6075
ARLOS,34.625278,23.0
ARTIB,35.269722,16.624167
ASDAX,36.263889,13.211111
ASKOT,36.5,16.451389
BASMO,35.825,11.5
BEKNI,35.204167,17.468611
BINKO,35.789167,18.196389
BIRSA,35.0475,11.5
BONAR,34.333333,19.036944
DEMAG,35.518056,21.153333
DEXOL,35.966944,13.216667
DIBAK,35.257778,15.459167
DINUX,36.5,11.822222
DIRKA,36.5,14.31
DOBIX,36.5,12.126667
DORAT,35.990833,13.539722
EKLIS,34.333333,20.481944
EKOLA,36.5,13.972222
ELKAN,35.871667,19.694167
EMLAR,35.631667,18.288333
EVIRA,35.881389,16.941667
GODAK,35.640556,15.616667
IDANI,34.783333,21.758056
INDOT,34.333333,16.948056
KOLEX,36.5,12.582778
KOSET,35.102222,13.673611
KUTOS,35.107222,18.593889
LASGO,35.336944,17.366111
LATNI,35.747222,12.682778
LESMI,35.731944,12.515
LORED,36.5,15.616667
LUMED,34.333333,14.7
MADIR,36.5,13.200556
MOLAM,36.19,13.539722
NAVLO,34.333333,16.117222
NEVIK,35.133333,21.961111
NIBLO,36.5,12.842222
NIGAT,35.656667,11.5
OBITA,35.813611,13.539722
OLMAX,34.333333,18.13
OMARA,35.683889,19.443611
OMENI,36.040556,11.5
ORTAP,36.5,18.333333
PETIP,35.750556,12.618889
RALAK,34.523611,11.5
RASNO,34.333333,21.466111
REPTA,35.704722,13.221667
ROLEV,36.5,11.623056
SARKI,34.333333,13.246389
SOPIR,36.5,13.793611
SUBOK,36.5,16.857222
SUDIK,35.408056,14.508056
SUSOM,36.498917,14.098342
TIMBI,34.896111,21.823333
TISAL,36.5,17.773056
UPLIT,36.5,13.539722
VANIX,34.8275,21.390833
VARIG,34.333333,13.730556
VENIM,36.5,17.425833
VERAK,35.904722,12.428333
