IDENT,LATITUDE,LONGITUDE
ANKEM,4.4421,73.5002
AQAXA,3.590833,74.109722
ATISA,3.356111,73.527222
BAXOS,1.87,75.760833
BIBGO,7.501806,70.946611
BOBOD,-6.0,69.685
BUMMR,-6.0,71.916667
DOPDO,4.541389,74.289444
ESKOL,3.794722,72.7975
GOKAM,4.131111,74.3625
KAGUM,5.0225,73.412778
LATIK,-3.135833,68.0
LELEM,4.853889,73.0175
MEGOK,-2.650833,72.306944
MLE02,4.098314,73.498069
MLE04,4.126356,73.530672
MLE07,4.249617,73.447633
MLE12,4.173294,73.531233
MLE14,4.2921,73.549786
MLE15,4.218469,73.528925
MLE16,4.154097,73.622861
MLE17,4.310422,73.522519
MLE20,4.113081,73.470403
MLE21,4.146178,73.619097
MLE24,4.287267,73.566569
MLE27,4.121056,73.461106
MLE28,4.303214,73.454067
MLE31,4.253903,73.450678
MLE33,4.333942,73.439742
MLE35,4.360575,73.519025
MLE37,4.283769,73.486761
MLE40,4.095331,73.621733
MLE41,4.260428,73.530672
MLE42,4.297583,73.614722
MLE44,4.288469,73.498061
MLE45,4.130439,73.412772
MLE47,4.330325,73.491556
MLE51,4.260672,73.605108
MLE56,4.326467,73.514394
MLE58,4.102256,73.572994
MLE60,4.289025,73.561625
MLE64,4.177656,73.431753
MLE66,4.097228,73.55995
MLE69,4.247914,73.652675
MLE79,4.335497,73.520772
MLE80,4.216006,73.628264
MLE84,4.059336,73.528342
MLE88,4.20215,73.630447
MLE98,4.181694,73.6637
MOMMA,-6.0,72.35
MUGBA,4.850278,74.048333
NODOL,7.131111,74.0
NOKID,6.0,74.957778
OLRAS,4.076111,73.530556
OVTOP,-4.031667,71.229722
PADLA,4.768333,78.0
POXOD,7.501806,72.929694
PUPOD,-1.702778,73.010278
R2881,4.179994,73.529325
RAXON,3.942167,73.529667
RUGBI,-2.592222,72.874167
SABDI,3.905,77.327778
SABEK,-2.142469,77.893692
SAKMU,-2.805,70.8075
SEBLO,6.0,77.5
SUNAN,-0.476667,78.0
UBKIN,3.848333,78.0
