IDENT,LATITUDE,LONGITUDE
ANTOP,-11.509914,33.642039
AXEBO,-13.529444,32.8275
DVL01,-13.693056,32.958333
DVL02,-13.716769,33.477536
DVL04,-13.138236,33.301239
DVL05,-13.765278,33.469444
DVL06,-12.873786,33.091692
DVL07,-13.1525,34.334722
DVL08,-13.577892,32.988911
DVL09,-14.093858,33.625497
DVL11,-13.479942,33.841606
DVL17,-14.101461,33.984494
DVL18,-12.998972,34.021131
DVL19,-13.487697,33.888669
DVL20,-14.568094,33.463922
DVL21,-14.109969,33.675217
DVL22,-13.551319,34.021747
DVL23,-13.478958,33.787933
DVL24,-14.146206,33.779172
DVL25,-14.6466,33.736036
DVL26,-13.696731,34.129153
DVL53,-12.976908,33.760039
DVL55,-13.5,34.65
DVL56,-13.522153,34.610558
ESPOP,-15.0,33.271667
GESAT,-9.441642,33.062917
IMKAL,-11.393353,34.429228
KUSKI,-13.421667,34.866667
LABLO,-15.961031,34.108386
LC036,-15.198889,34.153889
LC043,-13.916667,34.858333
LC094,-14.646944,34.462222
LONON,-13.634833,35.025078
MEKRO,-10.701908,33.583739
MELNA,-15.866039,35.757042
MUTAR,-14.997197,33.709986
NALSA,-12.987664,33.881989
NIBOR,-12.601586,34.761736
OKMAT,-16.304722,34.34
ORLIM,-10.801736,34.416728
OVANA,-9.61575,33.500758
TETEM,-14.718633,34.344503
TIBAK,-12.734908,32.9903
UTALA,-11.418353,33.627817
VCL07,-15.922461,34.684997
VCL08,-15.792989,34.5834
VCL19,-15.382542,34.743881
VCL20,-15.651333,34.565
VCL21,-15.764511,35.248653
