IDENT,LATITUDE,LONGITUDE
16DEL,30.840106,-105.380861
ABBOT,24.151667,-94.569167
ACA01,16.761247,-99.770617
ACA04,16.821142,-99.592753
ACA05,16.729819,-99.672308
ACA06,16.774742,-99.874381
ACA08,16.675964,-99.644436
ACA09,16.604486,-99.62
ACA10,16.718347,-99.639656
ACA11,16.630158,-99.642311
ACA12,16.796714,-99.958753
ACA13,16.806244,-100.009961
ACA14,16.701133,-99.590678
ACA16,16.952569,-99.699925
ACA18,16.7479,-99.724
ACA19,16.903481,-99.666989
ACA20,16.643664,-99.427492
ACA23,16.710764,-99.865089
ACA24,16.932475,-99.649578
ACA26,16.752556,-99.927669
ACA27,16.780806,-99.873414
ACA30,16.712611,-99.623328
ACA31,16.953619,-99.918211
ACA35,17.009664,-99.753964
ACA41,16.712642,-99.623417
ACA43,16.734392,-99.6708
ACA44,16.749528,-99.724114
ACA50,16.7326,-99.671375
ACA52,16.925933,-99.753964
ACA57,17.001092,-99.686397
ACA70,16.789586,-99.871961
ACA71,16.920222,-99.708939
ACA78,16.776975,-99.476508
ACA80,16.718636,-99.620181
ACA96,16.777072,-99.891678
ACA97,16.672414,-99.509072
ACA98,16.804564,-99.921086
ACA99,16.726128,-99.637025
ACREW,25.91,-97.6625
AGAVE,18.234444,-92.456667
AGUAS,24.928889,-98.122222
AJORO,22.807222,-105.656944
ALANS,17.275,-100.194722
ALARD,23.910833,-89.810278
ALESA,17.410833,-96.226667
ALILI,22.6325,-105.829444
ALIPA,21.291389,-102.0275
ALIPO,18.545,-101.293056
ALITA,19.493611,-98.39
ALNEN,22.200833,-106.383889
ALOBA,17.93,-92.070833
ALOMA,22.001944,-101.286667
ALORI,21.6125,-88.216389
ALOSA,17.959167,-92.382222
ALOVA,24.498889,-110.417778
ALOVO,23.543889,-101.305278
ALPOM,20.703333,-90.572778
ALTAR,32.237308,-115.004458
ALUEN,18.423611,-94.044167
ALURU,22.465833,-86.0
ALUXO,27.806111,-100.410556
AMARI,23.613889,-110.040556
AMATE,27.008056,-109.481111
AMEKA,20.356944,-104.305278
AMEKU,18.4975,-98.986389
AMEXI,22.658889,-101.046944
AMIPI,22.625833,-90.648889
AMITA,21.524167,-87.344722
AMOKA,24.803889,-109.784722
AMOMO,25.1525,-107.644444
AMORA,19.559444,-96.169444
AMORI,24.964722,-97.240278
AMOVA,21.279444,-101.811667
AMUKI,29.516111,-104.294167
AMULA,21.639167,-103.676389
ANAKU,28.178672,-109.132008
ANAPU,23.619167,-108.232222
ANATA,25.671667,-102.961944
ANENA,28.956667,-114.092778
ANERO,29.212778,-105.894444
ANETU,28.435556,-106.183611
ANEVU,19.593611,-100.285833
ANIDA,20.235556,-101.187778
ANILA,21.507778,-101.830278
ANILO,21.916944,-97.661944
ANTEL,29.799167,-113.608889
APLAM,19.996389,-104.14
APN17,19.507906,-98.665858
APN18,19.559019,-98.705467
APN26,19.439281,-98.807169
ARENA,26.046389,-109.453056
ARGON,25.136667,-105.9575
ARGUS,24.659722,-96.215278
ARIEL,21.585556,-90.218889
ASUTA,32.646944,-115.719444
AUTLA,15.646389,-96.164167
AVASA,22.681389,-89.746111
AVAVU,23.152222,-109.268333
AVENA,32.269444,-116.455
AVINA,16.696111,-95.836667
AVIVI,20.197222,-95.0
AVRIK,20.873056,-101.056944
AVROD,20.819722,-103.408056
AVROX,18.002778,-101.600556
AVRUT,21.685556,-86.955833
AVSAR,20.739722,-98.935
