IDENT,LATITUDE,LONGITUDE
ABTOM,3.173283,101.278661
ADGAB,3.095556,112.600556
ADNUT,3.359167,102.627222
ADPAX,1.733472,103.260444
AGOBA,1.978333,108.5
AGOSA,3.144722,101.219167
AGPOP,2.178056,111.223611
AGUPO,4.593611,112.866667
AKOMA,1.756111,103.911944
ALEKA,2.516444,112.6675
ALEMO,2.7625,113.572222
ALFA,1.509167,103.828333
ANDOK,6.022222,100.0
ANIPU,1.028333,111.456944
ANIRU,5.153056,113.057222
ANOKO,7.138583,94.413489
ANSAX,6.0,95.508056
ANSOM,4.073333,101.538611
ARAMA,1.615,103.12
ARAVI,5.598611,117.113611
ASISU,5.985,113.346111
BATAR,2.166667,102.086944
BIKTA,2.726944,103.718889
BILIK,3.345278,101.1275
BOMPO,4.85,112.9525
BONSU,1.324444,103.619444
BUNTO,2.668889,105.998056
BUTAX,4.436944,114.875556
CE014,3.1629,101.5302
CE076,3.251833,101.476719
DAKUS,3.803889,101.3175
DALAN,6.468889,99.655556
DAMAL,2.331944,103.086667
DARMU,4.0275,112.676667
DOGOG,5.421667,114.128333
DOSIK,1.764444,102.043611
DUKUN,7.648889,97.519167
DUMAS,2.666667,101.426667
DUMOK,2.302778,102.001944
ENKOL,2.372881,102.304444
GEMAS,2.533333,102.530556
GIVAL,7.0,98.0
GOBAS,3.356389,100.956111
GOLUD,6.285,102.2775
GOMAT,5.953333,99.938889
GONAD,2.8605,112.089139
GUNBO,4.8656,102.831514
GUNIP,4.498056,99.530556
GUPTA,2.162778,102.641667
IDKUT,8.004722,95.504722
IDSEL,3.408333,103.921667
IGEBO,6.235833,95.080833
IGOGU,7.516944,94.416667
IGREX,9.724444,94.416667
IKL14,3.0996,101.5672
INTOT,3.006389,101.135278
IRMEN,4.668889,117.115278
ISMAS,5.733056,100.043611
ISTAN,3.014444,102.479444
KABDU,6.556111,116.553333
KADMO,4.204167,114.135556
KAMIN,2.578333,108.926667
KAMUM,1.559722,111.320833
KARMI,6.497194,100.518444
KASRI,2.054722,102.886944
KETOD,3.178333,104.161667
KEVOX,3.44,113.597222
KIBOL,2.873333,104.471667
KIMAT,3.162222,102.350556
KL023,3.076817,101.580972
KL043,3.048139,101.598178
KL063,3.1053,101.5636
KUDAT,6.908333,116.833339
LATIL,4.894444,116.446944
LATUK,2.921111,102.562778
LEDAM,4.863611,113.785
LEKIR,7.275556,96.878611
LELIB,1.458056,103.413889
LENDA,2.69,104.658333
LUNTU,5.693333,100.322222
MANIM,3.241667,104.098333
MAPSO,8.058333,97.215556
MASNI,1.343611,103.629444
MATSU,3.437222,102.103889
MEKAR,6.503889,96.491111
MINAT,8.771667,96.025278
NILAM,6.756389,95.976389
NIVAM,2.613889,104.041111
NOPEK,6.603889,94.416667
NURLA,4.818889,100.4675
OGAKO,1.980556,102.435556
OKTOG,2.063611,109.583611
OSANU,7.69,117.293333
OSTAN,5.445833,116.64
PADLI,3.155,103.525833
PADLO,5.964528,114.024028
PAPDA,5.825,100.755
PASVA,6.258056,102.075278
PIBOS,3.351803,102.054564
PILAX,2.318889,111.385278
PIMOK,1.446667,103.335556
PU010,1.589722,103.922778
PU030,1.922222,103.901389
PU090,2.894722,103.643333
PUKAR,5.478611,100.720556
PULIP,3.670278,101.896667
R1783,3.115881,101.558025
R1784,5.928811,116.04765
R2124,2.743092,101.697833
R2631,2.748142,101.721975
R2797,3.145353,101.540756
R2798,2.713131,101.717897
R2865,2.778281,101.701719
RAXIM,3.055,104.286667
REKOP,1.551667,103.089167
REKOS,5.142222,115.702222
RIZAN,3.020833,112.29
RUMID,2.338333,101.606944
RUSET,7.771111,97.715833
SADON,2.3385,101.7545
SAKMA,4.407778,113.665278
SANOB,6.586111,95.669167
SAPAM,8.086111,97.544167
SAPAT,2.536111,102.041667
SAROX,2.800556,102.671944
SARVO,3.441667,112.836111
SJ035,1.498333,103.34
SUKAT,3.590278,101.02
SUMLA,8.045278,116.009722
TAMOS,6.529444,100.394722
TASEK,5.258056,98.298889
TAXUL,3.843333,103.676667
TEPUS,4.170278,100.759167
TERUS,2.026389,103.219167
TOMUD,5.903611,117.052222
TOPOR,1.736667,102.891667
TOSOK,6.0,97.0
UDERO,3.930556,114.494444
UKASA,2.879167,103.650278
UKIBA,5.313611,115.035556
VAMPI,6.182222,97.585556
VBA01,2.928947,101.599647
VBA02,3.293728,101.469411
VBA04,3.262647,101.481903
VBA06,3.231569,101.494394
VBA10,3.35675,101.620506
VBA11,3.172058,101.525272
VBA12,2.953956,101.582908
VBA16,3.163397,101.530492
VBA17,3.379094,101.735025
VBA20,3.092089,101.696614
VBA22,2.997958,101.62615
VBA24,3.577717,101.767819
VBA25,2.994603,101.713503
VBA32,2.8039,101.6835
VBA34,2.521708,102.283444
VBA40,2.831675,101.664747
VBA44,2.587375,101.456917
VBA45,2.926903,101.734006
VBA52,3.027672,101.610769
VBA55,2.443261,101.724856
VBA58,3.205153,101.505011
VBA60,2.859472,101.646144
VBA78,3.335164,101.753369
VBA80,2.956342,101.456917
VBA83,2.745303,101.907086
VBA88,3.330636,101.623464
VBA89,3.269789,101.767078
VBA99,3.295708,101.621028
VENLI,6.48,102.816667
VIDIP,5.685,115.1675
VILAT,5.891111,100.099167
VISED,5.462778,117.1875
VJN80,4.851389,115.211111
VKB35,5.588333,102.217778
VKB36,5.621944,102.530278
VKL09,2.590122,101.798475
VKL11,2.890031,101.657731
VKL12,2.584039,101.832058
VKL13,2.686617,101.524831
VKL14,2.552097,101.853447
VKL16,2.763,101.6835
VKL17,2.6918,101.7307
VKL25,2.716033,101.743669
