IDENT,LATITUDE,LONGITUDE
ALPAD,-25.028333,33.798333
ANVUS,-15.47,30.735
APLAR,-25.111389,35.543056
ATUSI,-24.523333,32.311667
AVIDO,-24.646667,33.288333
AVITO,-17.863333,37.719444
AXEMO,-23.298333,34.39
AXIBO,-17.526667,35.668333
BASAR,-21.386944,35.637778
BOTAM,-24.046944,36.737222
DVL04,-14.517536,33.351422
EGNAX,-11.35,40.35
EGPON,-24.505,32.758333
EKEOT,-23.373333,32.883333
ELEPA,-14.945,33.076667
EPLAV,-12.595556,38.322222
EPNOM,-15.985,36.2
EROPA,-22.496667,40.0
ESRAK,-16.485,38.5
ETKAV,-14.833333,30.65
ETMOS,-28.373333,35.938333
ETUMA,-15.525,31.735
EVEKA,-15.571667,32.705
EVIMA,-16.413333,38.145
EXBER,-20.143333,35.69
EXETU,-22.141667,34.018333
EXOLA,-20.381667,36.243333
GADNO,-17.216667,41.7
GENUX,-17.166667,33.536667
GESAS,-21.776667,33.056667
GESOK,-22.188333,34.624722
IBSAK,-19.073333,35.953333
IBSAX,-15.671667,38.97
IMKAM,-22.236667,35.296667
IMLAP,-18.788333,36.38
IMLIT,-23.288333,33.593333
IMPOL,-27.549167,36.096111
IMRON,-20.835,37.288333
IMTAG,-24.713333,33.418333
ITGON,-22.633056,35.324722
ITKED,-12.821667,37.251667
ITMAL,-20.971111,34.439722
ITMOL,-22.536389,34.904167
ITRON,-15.616667,33.651667
KAPON,-19.21,33.696667
KAVAL,-15.538056,33.97
KEPOK,-15.45,30.383333
KOBAT,-18.593333,34.463333
KUTAB,-16.55,34.113333
LAKLA,-19.035,33.345
MIROS,-15.633333,34.001667
MOGAT,-15.593333,38.853333
MUTRA,-17.366667,35.033333
MUVAL,-18.886667,35.793333
NAMDA,-18.596667,35.293333
NAMKU,-25.586667,34.086667
NIGOD,-22.968333,31.986667
NIKEN,-23.271667,34.041667
OBRAM,-14.811667,38.67
OKBOK,-20.710939,33.996717
OKMET,-12.168333,40.453333
OKSAM,-21.758333,34.85
OKTIS,-19.074444,37.01
OKTIX,-16.765,39.436667
OVANA,-17.290556,38.621111
PARAB,-14.021667,36.851667
PATAM,-16.815,33.868333
RAKAT,-14.496667,39.631667
ROVUM,-11.606667,35.558425
SUNIR,-24.3,40.0
TALVA,-27.958333,35.258333
TETRO,-25.486667,40.0
TEXOM,-20.312636,36.080111
UBTIM,-15.5975,32.988056
UDBON,-22.0625,33.026944
UDKAT,-21.205,35.14
USUMO,-25.285,33.973333
UVAMI,-22.2225,35.117778
UVAMO,-10.63,40.216667
UVUKI,-16.573889,38.881389
XABAK,-22.043611,32.814722
