IDENT,LATITUDE,LONGITUDE
AKAZU,-17.395278,16.846111
AKETE,-21.560472,17.910172
ANSUX,-23.769892,14.906139
ANVAG,-17.4175,15.773333
APDEM,-23.652394,17.20965
APKUX,-23.730172,19.170056
APMEV,-23.625639,18.485364
ATUPI,-23.170483,17.132056
ATUXA,-23.534361,17.90345
AXODO,-22.715892,18.326814
AXURI,-23.898381,17.249253
DETUX,-20.000597,14.307778
EGMAS,-22.996453,18.168764
EGRED,-23.491894,17.637447
EGTEM,-23.372803,16.906528
EPRIS,-23.950133,18.409072
ETMOR,-24.017317,17.723933
ETUSO,-23.210933,15.500906
GABSI,-24.329183,20.001539
GETAP,-17.358333,11.5
GEVIM,-23.783439,19.527017
IBLOK,-18.794167,11.675833
IBNAB,-23.523878,18.886783
ILDIR,-18.0,10.0
ITMUX,-23.936128,19.454275
KEBAT,-27.499933,18.298975
LONOD,-23.303142,17.6019
MOKAK,-22.700372,18.342897
NIBEK,-22.975,13.215
NIGAM,-26.565556,14.619444
OMATA,-20.816647,17.261356
OTAVI,-19.156514,17.057219
PARAG,-25.116667,17.9
UNDAD,-24.0217,19.572794
UNRAT,-21.204575,17.072544
USUNA,-23.586492,16.949511
UTATI,-21.453047,17.080514
UTRIS,-23.168133,20.004061
UTSAL,-23.771206,17.683417
UTULO,-23.245847,17.596958
UVARA,-23.137253,15.519769
UVENO,-23.331003,18.623192
UVGEN,-22.573611,16.956667
UVKIK,-22.892778,15.169722
VATAM,-23.676139,18.813589
XORAK,-23.853122,20.002847
XOTEK,-23.416408,17.171656
XOVUS,-23.83605,17.944667
XUBIL,-24.205894,19.473619
