IDENT,LATITUDE,LONGITUDE
AMDIR,19.056667,14.785278
APTEX,14.256667,13.032778
BUNLU,16.574444,13.6575
BUPIL,16.0,8.805556
BURAT,16.946667,14.864444
DELIS,15.273611,12.142778
DELOT,13.241667,3.551667
DESIR,20.0,8.789722
DINTA,17.571667,14.841111
EDAGO,19.5,7.8175
EDARA,15.994167,12.977778
EDKOX,13.380833,0.842222
EMSUL,17.303611,14.521111
ENBUT,13.283333,12.72
ENDOK,21.125,11.5
ENORA,20.566111,11.864444
EPELA,14.821944,2.238056
EREBO,20.116667,6.6
GALET,14.5375,1.360556
GANLA,13.751389,8.329444
GARID,13.033222,8.569278
GULEN,13.128611,4.166667
IKTAV,22.633333,10.5
INISA,17.443889,11.5
IPUTA,13.549722,3.446944
KILDA,13.261667,3.441667
KIMBO,16.0,10.016667
KORUT,13.349889,10.632639
KOSUT,14.191944,12.456667
LITAK,11.0,3.483333
MIMBA,13.083222,8.392611
MOTOP,13.760278,8.627222
NATGO,18.0,8.968333
NEBRA,18.476667,11.005833
NEKRA,20.0,9.135
POLKI,13.556111,3.573056
RIPOL,14.081389,11.5
SABSI,14.713611,11.5
SESAM,13.710556,7.125278
TAPAK,13.982222,10.668889
TAROD,21.451389,12.235833
TOBUK,21.933333,9.3
TUMMO,22.0,14.671667
ULVAB,13.48,10.103333
USLAG,23.333333,11.729167
VOLTI,12.161944,2.429167
ZAWAT,19.0025,3.5475
