IDENT,LATITUDE,LONGITUDE
AGSEM,7.695647,3.785433
AKLIS,7.0885,9.189306
AMTAB,11.261722,7.935944
APSAL,9.610406,9.370272
BIMAT,7.867661,7.185425
BIMOD,4.121667,7.871667
BIRAM,11.366722,9.470972
BIRNI,13.7665,5.765889
BISAP,8.390306,6.45925
BORNA,9.871494,9.272481
BOSSO,13.549861,13.049361
BUGDA,4.82275,6.154747
DEMAL,6.858778,7.084278
DESIX,7.741103,4.423258
DETAR,12.88325,8.807617
DIBMI,6.218333,2.75
DINAS,4.319733,7.389108
DINSA,10.68675,4.114222
DOGON,13.594833,4.365861
EBALA,10.906253,8.098014
EBIMU,10.045167,13.279361
EDEKO,9.351483,7.3176
EDENI,8.096181,9.052442
EDKOT,9.969889,6.880083
ENOSU,7.997264,6.632981
EPADO,8.704719,4.823042
EPETA,5.800133,7.296453
ERAMI,7.225417,4.284222
ERAVA,3.175806,6.7826
ETRIS,9.366917,12.916028
EVDAM,8.020564,4.087664
GALDU,10.93675,8.894278
GAMAM,9.388656,5.675547
GAMTA,12.356611,7.34425
GARAN,9.503556,10.999333
GAVNU,11.96,11.047667
GEDKI,10.189469,6.681122
GUSOL,10.888417,8.700944
IKROL,7.423486,7.860167
IKROP,5.778889,8.874306
IKTAM,10.578444,10.604306
IPOMA,5.810556,7.000944
KELAK,12.088333,14.632722
KERAN,5.438333,4.626667
KINDO,10.373472,6.585917
KOMOL,12.003333,9.687639
LINAM,12.773889,14.153333
LINOX,4.945639,7.765944
LIPAR,6.045061,7.407236
LIREX,4.43735,4.549231
LOTSO,9.865194,7.370944
LUKRO,8.221597,8.072131
LUNDO,5.851167,8.495406
MENAX,5.932208,4.089222
MILBO,6.238833,4.309222
MOKLA,6.296319,8.579656
MOPAD,6.558806,4.405889
NAPIL,12.583844,13.449086
NAROM,5.750833,3.843389
NASTO,9.880167,3.514194
NUPAM,7.788694,3.397556
OBUDU,6.167194,9.257639
ONTAL,4.691836,7.719164
OVSAT,12.509944,6.792583
POMPA,13.6765,6.249222
POSAD,5.343944,6.177583
POSIB,10.723447,10.879325
POTGO,6.112194,7.025944
RALIN,4.450694,8.249278
RASAL,7.775361,3.147528
RISUB,12.83325,9.379306
SANDI,10.028056,11.409856
SIGAL,12.299983,14.482717
TAKUM,6.900472,10.299333
TENTU,9.066917,2.932528
VOSLO,10.603333,13.4925
VUBOK,13.333222,8.147611
