IDENT,LATITUDE,LONGITUDE
ARLEN,11.8,-87.067778
BENAS,14.046667,-84.72
BERTA,12.95,-86.773333
DAVIB,12.082222,-85.153889
DUPRA,11.500556,-83.886389
DURAM,12.285,-82.77
EMARI,11.565,-85.338333
FALLA,13.433333,-82.666667
IMOLA,11.209722,-85.796389
KAVLO,12.716389,-85.339444
LISPA,11.39,-85.4975
LORMA,12.055556,-84.85
MGA05,12.182711,-86.266481
MGA06,12.150811,-86.275675
MGA08,12.141192,-86.038097
MGA11,12.086594,-86.049267
MGA27,12.154503,-86.309497
MGA60,12.108067,-86.077325
MGA80,12.207369,-86.291697
MGA89,12.140828,-86.072125
NAGOR,12.942222,-85.565556
PELRA,14.23,-82.46
PERSI,14.043333,-85.383333
RAKEL,13.065556,-85.791111
ULAPO,11.028333,-85.171667
URPOS,12.563333,-87.101667
