IDENT,LATITUDE,LONGITUDE
ABA02,52.257628,4.774014
ABA03,52.240994,4.772414
ABA05,52.207756,4.769214
ABA11,52.103067,4.759172
ABA38,52.224383,4.770814
ABA62,52.187817,4.767297
ABA93,52.136303,4.762356
AMGOD,52.975219,3.685389
ANDIK,52.739403,5.270489
ARNEM,52.096447,6.076603
ARTIP,52.511214,5.569081
BASNO,52.350153,4.575042
BATAK,51.571111,4.788856
BAXIM,50.956672,6.047319
BEDUM,53.348169,6.588867
BEKEM,51.432222,4.580278
BEMTI,50.772222,5.7825
BERGI,52.74875,4.358931
BETUS,52.688142,5.162553
BKN02,50.919819,5.77635
BKN03,50.964606,5.822056
BKN04,50.977297,5.837642
BKN05,50.992536,5.850744
BKN06,51.009869,5.871214
BKN14,50.978561,5.836386
BKN20,50.950619,5.807703
BKN63,51.010689,5.869417
BOBMO,51.112719,5.996703
BOLGA,52.790567,5.378678
BREDA,51.560294,4.853333
COA55,51.898133,4.537917
DENAG,52.082386,3.890797
DIBIR,51.276944,6.124444
DIBRU,51.640278,3.496667
DIDAM,52.034167,6.326944
DOBAK,53.213333,7.216944
DOSEX,51.183333,5.936111
EDUPO,51.975525,5.835936
EEL10,53.192489,6.939553
EH613,52.209075,4.462556
EHV03,51.4088,5.325775
EHV04,51.500614,5.440617
EHV05,51.463631,5.389811
EHV07,51.435319,5.357869
EHV14,51.405806,5.332625
EHV25,51.394294,5.095028
EHV26,51.444261,5.201897
EHV28,51.614047,5.499231
EHV29,51.504414,5.095894
EHV33,51.332708,5.147772
EHV36,51.631158,5.364667
EHV40,51.50335,5.434597
EHV44,51.388931,5.305889
EHV55,51.647742,5.802317
EHV61,51.539964,5.475711
EHV64,51.36165,5.275383
EHV65,51.598342,5.851233
EHV85,51.487542,5.904228
EKROS,52.237278,4.619547
ELBED,50.824803,6.055853
ELDIN,53.160931,3.356758
ELPAT,52.127419,5.951142
ENKOS,52.678128,5.243264
ETEBO,52.138333,6.875278
EVELI,52.640408,3.387
EVOSA,51.182778,5.769722
FLEVO,52.38535,5.602169
GISEB,51.901317,4.990833
GISIM,52.077031,4.228061
GOBNO,50.982222,5.989722
GODOS,53.249042,3.429664
GORLO,51.924067,3.171836
GOTIG,52.118775,6.763958
GRONY,53.105469,6.054969
GUBAS,52.223333,4.2215
HDR01,52.882408,4.758222
HDR02,52.935281,4.794722
HDR05,52.975797,4.843175
HDR18,52.857019,4.766367
HDR20,52.935206,4.794936
HDR40,52.945386,4.81855
HDR41,52.963547,4.823817
HDR45,52.942461,4.823892
HDR52,52.821886,4.739483
HDR57,53.009594,4.883425
HDR71,52.788989,4.777294
HDR75,53.013169,4.874364
HDR96,53.024356,4.945283
HDR97,53.020497,4.951961
HELEN,51.235314,3.869711
INKET,51.814628,4.771961
IVLUT,52.244114,5.256961
KAG01,52.279256,4.710375
KAG02,52.270508,4.687264
KAG03,52.261769,4.664197
KAG05,52.244261,4.618044
KAG22,52.287906,4.734019
KAG62,52.233753,4.590383
KAG91,52.207681,4.520839
KEGIT,51.407014,3.106597
KUBAT,53.336389,6.993611
KUDAD,51.667481,4.567614
KUVEK,53.734722,6.499444
LABIL,53.495833,6.816389
LARAS,51.834572,4.697325
LEKKO,51.924175,4.767331
LILSI,52.473264,5.348333
LIMBI,54.551633,6.062997
LISDA,52.233844,4.376706
LONAM,53.839583,3.942544
LOPIK,51.930828,5.129156
LUGUM,53.307222,7.068056
LUNIX,52.109833,5.565403
LUTEX,52.681433,3.468547
LUTOM,51.265556,5.421111
LWD00,53.130333,5.522561
LWD01,53.232914,5.774939
LWD02,53.234306,5.773192
LWD05,53.177028,5.637128
LWD10,53.130806,5.522031
LWD11,53.103136,5.486944
LWD12,53.219661,5.419278
LWD13,53.214303,5.728961
LWD15,53.210608,5.716436
LWD16,53.416467,5.838453
LWD17,53.384328,5.823983
LWD18,53.068464,5.325367
LWD19,53.243983,5.792247
LWD20,53.249014,5.803303
LWD21,53.381844,5.837947
LWD22,53.413483,5.855225
LWD23,53.111625,5.476803
LWD24,53.202175,5.695819
LWD25,53.230117,5.41935
LWD26,53.201264,5.6968
LWD27,53.220383,5.474719
LWD28,53.249272,5.802953
LWD38,53.269122,5.847553
LWD41,53.214789,5.728433
LWD42,53.185286,5.654583
LWD50,53.277047,5.858283
LWD52,53.330386,5.964889
LWD53,52.574167,6.7475
LWD54,53.351697,6.007606
LWD56,52.6355,6.957667
LWD57,53.343492,6.018433
LWD60,53.386122,6.172417
LWD75,53.229097,5.474789
LWD94,53.325328,5.97165
MAPAD,50.829444,6.019167
MAS08,51.103822,5.930989
MAS12,50.889447,5.680833
MAS51,50.957692,5.898506
MASOS,51.799333,3.596469
MAVAS,52.398583,3.16675
MOKUM,54.484167,6.093319
MONIL,52.760756,3.746642
NARSO,52.715319,6.709544
NAVAK,50.827444,5.9181
NAVPI,52.547222,2.840556
NIK08,51.296269,4.147308
NIK10,51.315817,4.29615
NOR40,50.8217,5.654169
NOVEN,52.710214,5.898453
NV31,52.097083,4.867281
NV48,52.095108,4.8226
NYKER,52.230389,5.528803
OGINA,52.097478,5.054633
OKOKO,52.597844,4.364444
OSGOS,51.183333,5.915908
OSKUR,52.490456,6.024022
PEPEL,52.585122,3.414178
PESER,51.614647,4.526814
PETIK,52.614911,4.215736
PEVAD,51.915397,2.666908
PIMIP,51.040556,6.02
PS064,51.875872,4.248228
PS207,51.827394,4.180625
PS74,51.86735,4.129981
PS92,51.894781,4.085361
R1781,53.219153,5.737728
R1811,52.290825,4.777347
R1812,52.289131,4.737292
R1813,52.331397,4.740031
R1814,52.318375,4.796892
R2204,50.918833,5.777314
R2205,52.926411,4.783886
R2274,53.231308,5.767025
R2704,51.961858,4.452692
R2871,51.459342,5.384831
R3093,51.440925,5.364192
RAKIX,52.136392,5.776808
REFSO,51.809567,2.666908
RELBI,52.118333,6.813611
RENDI,52.061544,5.675425
RILTI,51.0975,5.885
RIVER,51.912764,4.132594
RKN24,51.988489,6.159819
ROBVI,52.571647,3.776447
ROMIN,51.224442,5.96025
ROT28,51.971292,4.616872
ROT46,51.932481,4.612108
ROVEN,51.962922,5.11485
RTM01,51.982761,4.503578
RTM02,51.991819,4.526192
RTM03,52.000875,4.548819
RTM04,51.995647,4.540092
RTM05,52.009925,4.571453
RTM08,51.952603,4.240886
RTM09,52.018064,4.591833
RTM10,52.073275,4.594417
RTM13,51.961908,4.451594
RTM21,51.862778,3.902497
RTM22,51.953742,4.431267
RTM23,51.990478,4.536742
RTM28,51.947497,4.417006
RTM40,51.9374,4.390633
RTM48,52.146769,4.772897
RTM49,52.016594,4.593353
RTM50,51.928317,4.368069
RTM60,51.919228,4.345517
RTM62,51.922914,4.626478
RTM63,51.94785,4.187567
RTM70,51.910133,4.322975
RTM79,52.045178,4.659817
RTM80,51.901036,4.300439
RTM84,51.897394,4.291428
RUMER,51.620664,5.884692
SASKI,51.548092,2.5
SIPSA,53.071389,7.195833
SOGPO,51.965589,6.252869
SOMPO,53.398889,6.949444
SOPVI,51.249683,5.90185
SPL14,52.42665,4.371992
SPL15,52.147275,4.476164
SPL28,52.37355,4.784797
SPL42,52.318244,4.851697
SPL43,52.31865,4.878892
SPL46,52.319911,4.965828
SPL56,52.31905,4.906056
SPL72,52.414833,5.134758
SPL95,51.872744,4.557936
SPY65,53.212861,6.254192
SUGOL,52.525511,3.96735
SULUT,52.447925,3.421064
SUMUM,51.637281,2.107706
SUPAM,52.155556,5.337222
SUPUR,53.015225,3.564464
SUSET,52.128889,5.131897
TEB12,51.763683,6.831669
TEMLU,53.474444,6.863611
TENLI,52.246469,6.250142
TOLEN,51.530314,4.086594
TOPPA,53.402592,3.561467
TORNU,51.183397,5.833392
TOTNA,51.703108,5.260569
TULIP,52.36775,3.857308
ULPEN,50.755556,5.9275
UNKAR,52.021667,6.165
VALAM,53.031572,5.388483
VALKO,52.071344,3.839831
VEROR,52.901786,6.382853
VKL00,51.664925,5.729089
VKL03,51.627425,5.640564
VKL04,51.831567,5.859061
VKL05,51.683647,5.773406
VKL07,51.711703,5.83995
VKL10,51.647419,5.683581
VKL13,51.852708,5.85065
VKL18,51.728561,6.034711
VKL36,51.829803,5.913625
VKL55,51.777014,5.995539
VKL67,51.7799,5.572428
VKL68,51.807511,5.542436
VKL69,51.597897,5.427514
VKL70,51.654442,5.412378
VKL71,51.606664,5.566881
VKL72,51.565794,5.450392
VKL81,51.898486,5.990208
VKL99,51.823542,6.10695
WP24,52.289133,5.123214
WP41,52.261681,5.118736
ZANDA,52.389775,4.922519
ABLUN,54.850764,5.895086
ADOMI,54.205583,4.557864
AGASO,54.944578,4.572489
AGISI,53.617469,4.546597
AKOXA,54.530878,4.564236
ALINA,51.445344,4.023775
AMSOT,53.313264,4.585761
ASGOS,53.872828,4.55145
ATRIX,53.138478,4.624639
BAGOV,53.666369,4.335789
BAKLU,52.984958,4.772731
BANDU,53.069494,6.474561
BASGU,51.912303,5.849931
BENUX,55.0,4.001461
BERIR,50.771467,5.784217
BESBU,54.5,4.006814
BESTI,51.642403,5.427628
BIBIS,54.006589,4.090578
