IDENT,LATITUDE,LONGITUDE
ABADA,64.265622,5.298169
ABANU,70.133317,26.0
ABAXI,66.785,15.875833
ADEMA,74.045,35.0
AGNON,62.588056,10.289444
AKORU,70.201897,26.0
ALOPA,69.598389,20.0
ALOTI,57.907539,3.608356
ALPHA,69.138972,15.579119
AMKAR,62.0,5.825603
AMSEV,57.675175,8.802147
ANDOR,68.907267,17.396783
ANETI,71.333333,27.5975
ARDUX,67.611231,14.533506
ARSUD,57.747778,8.646111
ARTOR,58.334419,10.148983
ASTOX,68.45125,15.802594
ATKID,68.806158,16.078786
BADIX,69.783825,22.228419
BALAK,66.853081,14.546233
BANKY,58.383333,5.332222
BAR56,69.020356,18.830458
BAREG,69.935653,20.0
BARNI,76.0,17.132056
BARUX,71.297239,24.639011
BARVI,69.019211,17.103483
BASTU,61.753414,6.968361
BATSI,71.002778,29.984167
BDF11,69.006186,18.949122
BDF14,69.181008,17.872058
BDF15,69.182892,17.862292
BDF28,69.126558,17.756083
BDO50,67.2775,14.464011
BETMA,70.622297,19.010564
BIBRA,62.541667,10.8
BINRO,58.160619,9.786192
BINTU,65.0,11.8829
BOLNI,62.926389,7.193333
BOO08,67.247406,14.095867
BOO15,67.126075,13.831033
BOO20,67.078961,13.655489
BOO51,67.216958,13.731244
BOO99,67.183747,13.53155
BRAVO,69.520117,16.387647
BULIN,65.319544,11.583333
DANKO,57.0,6.697828
DISBO,68.7545,16.641667
DOGGI,58.977222,6.546667
DOLFI,58.888056,4.674444
DONEX,70.113417,24.0
DONOT,58.937222,7.5
DU003,69.073636,18.415217
DU005,69.086569,18.329672
DU013,69.137892,17.986381
DU306,69.170986,17.980283
DU316,69.186956,18.008547
EDURA,63.0,3.717092
EKDAL,60.255556,9.322222
EKTAK,62.0,11.198189
ELSID,64.608297,11.608147
ENEXI,69.330928,25.752811
ESOLA,66.044969,7.421911
EVABO,68.084656,16.181194
EVANI,68.959294,16.360125
EVD01,68.441703,16.666272
EVD04,68.394886,16.620078
EVD06,68.363667,16.589389
EVD13,68.6731,16.671647
EVD19,68.254353,16.482631
EVD20,68.264772,16.417333
EVD21,68.293964,16.299169
EVRUS,58.576111,6.523333
EXITA,76.0,0.0
FANCY,61.0,5.11
FLE15,60.054292,5.126939
FLE20,60.590586,4.885694
FLE34,60.517878,4.968383
FLE51,60.053194,5.284231
FLE55,60.546272,5.1344
FLE56,60.207969,5.241247
FLE74,60.421953,5.180767
FLE93,59.972364,5.098342
FLE98,59.973631,5.340147
FLE99,60.628336,5.107733
FS332,68.721103,16.52975
FS340,68.727069,16.578056
FS354,68.694678,16.665994
GAPRO,69.1725,21.796111
GARLO,69.197833,18.392
GEPTU,67.794208,15.35445
GEVLI,63.096111,10.031667
GIBMO,69.385506,18.043328
GILEN,68.0275,17.101111
GINEK,70.232458,21.3506
GISOX,67.038814,9.059414
GM369,60.028611,11.023056
GM372,59.994386,10.915303
GM431,60.739528,10.760528
GM432,60.761417,10.977667
GM433,60.724861,10.778139
GM451,60.147325,10.212453
GM452,60.771639,10.9185
GM453,60.644361,11.858472
GM454,59.619333,11.275028
GOGUD,70.012453,26.0
GOPOL,62.318889,8.565833
GOTUR,59.9,11.583333
GRAMU,58.383333,5.603889
GRM10,60.315097,11.298639
GSW01,60.228911,11.102031
GSW04,60.276483,11.132422
GSW10,60.371517,11.193561
GUNPA,61.0,0.0
HARSA,68.789964,16.646261
IBRIM,70.546497,25.297775
IDLIN,69.818039,20.0
IDMET,70.496006,22.625872
INGAL,62.434981,0.0
INLAS,62.651389,8.193889
INSEP,73.5,15.0
IPTON,62.0,0.0
ISVIG,63.0,0.0
KAMPE,68.896297,17.955567
KARLI,57.0,5.507433
KBV12,69.430997,18.766775
KESAK,61.155556,7.5
KLONN,58.390122,2.828928
KOPIN,57.256667,7.986111
KOTEX,63.0,10.540833
KOVIK,57.5597,8.574142
LADAS,67.526717,15.120297
LAPVI,70.418394,24.382303
LAREM,58.2325,7.5
LARIL,71.989167,30.0
LARMO,63.466667,9.633333
LARNU,72.114497,29.988347
LASAG,62.671111,9.217222
LAVKO,57.799883,9.050956
LAVNA,68.814467,17.712139
LEBDO,67.643103,14.182417
LEKSA,63.689167,10.632
LENSA,69.732922,20.0
LENSI,63.501389,9.815278
LINTU,64.388611,10.381667
LINVI,57.0,7.227317
LOMVI,70.083333,19.002319
LONDU,57.7475,7.523056
LUCKY,59.635278,5.086944
LURAP,69.090403,18.267353
MACKA,69.843744,18.52445
MADDY,58.570278,4.881111
MAGIR,71.333333,26.342778
MERAK,63.415833,11.626111
MISBA,67.573817,14.934244
