IDENT,LATITUDE,LONGITUDE
AA001,-37.026083,174.847758
AA003,-36.988325,174.872647
AA005,-36.977433,174.911972
AA006,-36.971981,174.931631
AA007,-37.042592,174.675853
AA009,-37.0532,174.6361
AA014,-37.210933,174.897453
AA016,-37.220753,174.789997
AA022,-37.102883,174.572314
AA024,-37.038275,174.546353
AA025,-37.018211,174.764444
AA030,-36.826825,174.658847
AA033,-36.789797,174.776097
AA042,-36.90255,175.052156
AA060,-36.966669,175.079894
AA065,-37.0514,174.646
AA080,-37.0596,174.6163
AA141,-37.209728,174.901942
AA222,-37.106247,174.574483
AA240,-37.042011,174.547119
AA331,-36.790353,174.771442
AA500,-37.0433,174.675758
ADBAB,-44.921092,168.441947
ADKOS,-44.617117,166.880431
AFTON,-45.123522,168.489922
AGEDU,-34.478917,177.4918
AGREX,-33.725117,175.564372
AKAMO,-43.890389,172.299194
AKAVI,-39.999667,174.263803
AKLOM,-35.357856,178.394161
ALADA,-41.837003,172.692675
ALBAD,-43.599622,172.403886
ANODO,-41.555375,174.6543
ANOLA,-43.751556,171.662278
ANOPA,-46.087392,168.425667
APIDO,-42.642044,178.750006
APITI,-39.976181,175.847106
APORO,-36.780303,175.860489
APOTO,-43.382792,-178.722494
ARETI,-39.371436,175.340725
ASORO,-15.0,-161.006667
ATAMA,-37.122392,174.696567
ATAPO,-41.627703,172.720106
ATBUB,-42.916889,173.602833
ATHOL,-45.599586,168.585117
ATLUR,-30.0,176.358208
ATSUN,-41.576844,175.496892
AUTEL,-30.0,-177.341569
AVOCA,-43.131678,171.80675
AVPOD,-41.320211,174.340447
BAYES,-36.670722,174.833978
BE020,-45.981264,170.081956
BE234,-46.016778,170.00675
BELEE,-42.992344,171.509431
BEVER,-39.283806,177.238764
BIDEL,-45.408247,171.100308
BIKOT,-37.461614,175.742819
BIPAL,-42.909925,172.928411
BLUNT,-43.079517,172.516583
BOMTI,-35.623489,-175.0
BOSLA,-42.303689,171.650386
BROOK,-37.13805,174.813847
BU00,-43.504675,172.515553
BUGBA,-43.815611,163.0
CABLE,-41.511667,174.578778
CH001,-43.463978,172.561014
CH003,-43.466361,172.559683
CH004,-43.566989,172.439439
CH005,-43.573272,172.431911
CH007,-43.416,172.619656
CH008,-43.318258,172.667503
CH010,-43.507558,172.511172
CH013,-43.353375,172.301017
CH020,-43.646056,172.289428
CH050,-43.558025,172.450606
CH056,-43.568042,172.441133
CH058,-43.568172,172.438692
CH060,-43.401889,172.6336
CH085,-43.397106,172.642119
CH095,-43.340397,172.31985
CH500,-43.413319,172.620278
CHARR,-43.547117,172.22275
CLARK,-37.132992,174.68055
CONOR,-41.461453,172.639731
COOKS,-38.902992,178.056569
DABAP,-43.946175,-178.874033
DABAS,-34.845333,177.944183
DABIN,-43.97995,171.870456
DABIP,-38.404039,177.193203
DABKA,-38.232014,175.13075
DADOK,-21.063842,-170.0
DAMBO,-41.197311,174.696714
DAMIL,-41.830872,171.189269
DIVSU,-43.372844,172.666028
DOBBO,-38.512044,174.277803
DOGGY,-41.531833,174.793056
DOGSA,-20.425681,-165.0
DOLSI,-25.0,174.685019
DOMON,-39.227047,177.184083
DOPOM,-43.838789,177.607036
DOTIK,-19.601586,-159.789111
DOXIS,-45.043889,169.124833
DUBON,-43.500036,170.970981
DUGAN,-33.879478,173.390172
DULEX,-41.452472,174.656906
DUMOT,-40.850008,173.841961
DUNAX,-46.354322,168.498756
EGATO,-25.0,177.332717
EGUSA,-41.231689,173.924928
ELGUN,-43.448542,163.0
ELNOS,-34.251983,172.499494
EMRAD,-27.989697,-165.0
EMRAG,-36.942011,175.038428
FAROA,-25.0,-175.038483
FERNS,-43.287786,172.532489
FLAKE,-40.851917,173.520111
FOXTN,-40.496306,175.218658
GENDA,-39.178036,176.557794
GLENN,-42.881164,172.839739
GOKAG,-39.663331,178.924447
GONAX,-41.174625,-179.577192
GOOSE,-42.631258,173.834144
GRETA,-42.969247,173.059256
GULOV,-41.702969,173.438947
GULUT,-39.476453,171.194683
GUMKO,-42.665203,-178.008958
GUPUT,-43.836464,171.718344
HARVO,-38.614575,174.580792
HAVTO,-41.324667,174.131194
HAWEA,-44.624139,169.427333
HL003,-45.960272,170.131411
HL005,-45.978881,170.091769
HL009,-45.940719,170.173
HL086,-46.01235,170.020333
HURST,-41.150917,174.595333
IBESO,-36.990292,178.967481
IDARA,-44.055181,171.996647
IDSEM,-34.672406,177.747519
IDUBU,-43.650511,172.344694
IGABI,-37.413419,174.918003
IGETO,-33.092222,-175.0
IGIVI,-38.372806,175.76675
IGLET,-32.473236,166.703056
INAKA,-40.953661,173.700964
INTIB,-30.0,-179.098333
INVAS,-18.0731,-165.0
IRISH,-43.627472,171.161722
KABAS,-37.782811,174.413861
KABGO,-43.257972,172.975719
KABIN,-43.151017,168.552244
KADEN,-26.839172,-179.057378
KAKET,-41.424556,171.758892
KALAG,-33.694261,175.323831
KALDI,-44.711792,169.507739
KAMES,-41.765147,174.3798
KAMET,-40.668161,175.119608
KAPAI,-37.541175,174.525033
KAPTI,-40.631606,174.996658
KARSA,-41.822103,174.579042
KEEPA,-38.221844,177.339936
KELSO,-45.842172,169.192247
KIDAL,-42.858625,172.285986
KINAG,-15.403603,-165.0
KYPRA,-36.515822,174.415947
LADIP,-44.787078,168.566197
LADIS,-44.121953,172.168589
LAKAR,-39.042997,173.693061
LAKES,-37.453522,175.090875
LALAP,-43.637294,174.157233
LEBOL,-29.146303,165.215553
LEDOR,-40.210511,174.697247
LEGER,-37.903703,175.044867
LEKAX,-27.090619,169.064892
LEKUS,-37.895783,174.182303
LENGU,-37.080464,174.537517
LIBLA,-43.9314,167.676114
LIBRI,-41.121778,174.820694
LIMES,-37.571669,174.638706
LUGLA,-18.3472,-165.0
LUNBI,-37.256961,170.656817
LYALL,-41.431886,174.799817
MADEP,-36.384619,170.740672
MAHIA,-39.190594,177.442017
MALNI,-30.073081,179.151767
MANUI,-43.059319,173.194606
MAYOR,-37.334147,176.061164
MESIX,-43.109369,173.250522
MEVAX,-39.705236,174.644833
MEXIP,-31.833547,-175.0
MG003,-36.990561,174.861247
MG005,-36.979394,174.900461
MG050,-37.004519,174.812061
MG061,-36.9731,174.9222
MI011,-45.898956,170.261678
MIDAT,-40.366139,163.0
MINET,-29.945386,170.799797
MIPAK,-45.282489,170.874517
MITRE,-40.795583,175.423072
MOKER,-39.168547,176.749369
MOMTA,-30.0,179.724747
MONKS,-39.738058,176.568892
MOOSE,-38.877128,176.628392
MOTKO,-39.1242,171.643956
MUGEN,-31.919364,170.370789
MUKLU,-30.703892,-170.0
MULET,-40.823122,173.428706
NESTA,-41.702017,172.827586
NGAWI,-41.546861,174.998306
NIMOD,-28.409469,-175.0
NIMOS,-40.691189,174.747822
NISET,-30.904281,175.731236
NIXUM,-44.866639,169.09325
NODAD,-41.728572,180.0
NOKAK,-40.379208,178.101708
NONAT,-39.690075,177.173256
NOPAN,-21.369178,-165.0
NOVTU,-41.219808,174.039897
NUGLI,-24.547622,-170.0
NUMSA,-39.41975,163.0
NUPDO,-42.867325,-178.296786
NUPTO,-28.729194,-170.0
NV000,-46.267231,168.437758
NV003,-46.31585,168.514606
NV005,-46.378981,168.428436
NV010,-46.392033,168.384133
NV013,-46.306489,168.43605
NV030,-46.335025,168.475267
NV054,-46.37955,168.553947
NV067,-46.367869,168.466075
NV135,-46.568111,168.400258
NV290,-46.293647,168.147681
NVNB,-46.418722,168.332639
OBDEG,-39.530614,166.434014
ODISI,-43.321789,172.724681
ODUTI,-26.739939,-170.0
OH001,-40.214486,175.412778
OH006,-40.238803,175.51685
OH008,-40.282336,175.704364
OH009,-40.203361,175.371803
OH011,-40.039467,175.481392
OH015,-40.174342,175.714947
OH018,-39.977578,175.513797
OH025,-40.221792,175.443992
OH027,-40.115494,175.089833
OH060,-40.183836,175.628853
OH062,-40.188706,175.611681
OH077,-40.2483,175.714456
OH080,-40.261186,175.7114
OH090,-40.172058,175.271017
OH093,-40.314964,175.688175
OH096,-40.326706,175.680589
OH100,-40.197906,175.357231
OH103,-40.226267,175.393111
OH111,-40.214247,175.416747
OH112,-40.193578,175.385978
OH147,-40.455175,175.454461
OH155,-40.459444,175.409114
OH160,-40.459636,175.380542
OH163,-40.458833,175.363428
OH175,-40.448817,175.296231
OH180,-40.441508,175.269314
OH200,-40.395325,175.173025
OH232,-40.278144,175.077981
OH242,-40.226842,175.175564
OH245,-40.222247,175.066042
OH260,-40.157156,175.073033
OH270,-40.169978,175.254619
OH276,-40.091797,175.10435
OH301,-40.161511,175.373997
OH314,-39.980978,175.259692
OH322,-39.969081,175.302344
OH330,-39.961847,175.346722
OH333,-40.225383,175.457933
OH360,-39.968725,175.512042
OH602,-40.113408,175.356044
OH603,-40.309547,175.398814
OH666,-40.242,175.519522
OKODI,-42.581189,174.207444
OKTOM,-43.312811,173.390781
OKTUB,-35.213969,176.160044
OLBAD,-41.411819,176.526758
OLBEX,-35.693419,178.607472
OLREL,-35.65075,163.0
OMKIN,-42.414389,163.0
OMKUN,-39.490386,174.501869
ONIKA,-42.099431,174.243614
OPAPA,-39.793722,176.690108
ORAGI,-20.186211,-165.0
ORESO,-36.963894,174.959842
OSUGA,-20.0,-165.318333
OSVAR,-28.13145,167.690628
OTAKI,-40.769261,175.279092
OVTOS,-25.233756,-165.0
OYSTA,-40.349628,173.629658
PAPTI,-35.565339,171.093136
PAVSI,-24.839261,-165.0
PEAKS,-42.839947,172.614169
PEBLU,-38.109831,170.857672
PEBLY,-46.346328,168.538825
PEEHA,-36.973531,174.609242
PEGSA,-41.497319,174.754969
PERAS,-35.450961,173.570311
PIGUS,-45.715308,168.974792
PIKAV,-37.458831,175.999189
POKOM,-37.872094,174.806317
POMOT,-43.484817,169.913208
POPIR,-25.0,-178.08
PORAR,-37.073508,174.683047
POREN,-25.0,176.518647
POTOP,-38.064589,177.078758
PUGAB,-35.914919,165.2295
PUHOI,-36.449956,174.585661
R0102,-43.497631,172.522114
R1785,-41.334939,174.806358
R1786,-36.796169,174.620894
R1787,-36.785167,174.639072
R1788,-40.202653,175.374286
R1789,-40.209364,175.399742
R1790,-37.016292,174.770747
R1791,-37.006625,174.805728
R2476,-45.933925,170.187472
R2529,-43.474989,172.548286
R2530,-45.924378,170.207786
REGOT,-41.295083,164.841111
REPOL,-25.0,-177.242122
RIDLA,-39.991806,176.298375
RIGMI,-32.201417,163.0
ROCKS,-46.489486,168.104897
RUAHI,-39.516031,176.123347
RUGDI,-41.153986,174.970439
RUGVI,-39.848133,175.370839
RUMUS,-29.56105,171.860844
RUNOD,-36.156833,163.0
RUSIL,-40.663128,174.814111
SABDA,-41.793561,174.475597
SADIM,-25.726394,170.613825
SAKLO,-27.788931,176.157478
SALAG,-34.84505,171.683364
SALOG,-45.082611,171.614667
SAMAD,-25.0,-170.02
SASAR,-46.25685,168.877786
SASRO,-38.580778,163.0
SELKA,-34.149336,176.927556
SELTA,-39.407003,174.446653
SH002,-44.992164,168.828214
SH004,-45.0002,168.873803
SH005,-44.944944,168.886236
SH006,-45.008219,168.919403
SH007,-44.929253,168.927636
SH010,-45.0242,169.010644
SIMZI,-41.32075,173.954236
SKEET,-41.355753,172.606258
SNAPA,-40.887725,173.599347
STONY,-42.984442,173.086194
SULFA,-39.073675,175.690647
SULON,-39.858528,163.0
SUPRA,-42.918233,166.548878
SW040,-45.831769,170.39815
SWUTH,-40.769772,174.3274
TAIKI,-39.040778,176.404389
TANEN,-40.507472,170.557383
TARAK,-37.058836,174.616347
TARIB,-34.066142,176.748078
TARUA,-39.454981,176.159672
TATAS,-30.0,-175.295
TERAN,-25.892864,-175.0
TIMJO,-44.460861,169.715111
TOMAR,-41.137356,163.0
TULMI,-37.446267,175.405681
UBDAK,-28.909464,165.807544
UBTAM,-36.95745,166.867139
UDERA,-41.462942,173.694642
UDUMO,-37.014386,174.657736
UKAPA,-36.295536,174.238772
UKETA,-45.922828,169.288636
UKLAK,-44.910075,168.911464
UNTET,-40.183783,163.734308
URKEP,-23.004372,-165.0
UVUSI,-40.328044,175.935606
UXEBU,-38.584889,175.321611
