IDENT,LATITUDE,LONGITUDE
ALMOG,23.59,57.827778
ALNUN,21.273611,56.178056
ALSAS,24.015,59.331944
AMBOS,23.056667,59.901389
ASTUN,18.142222,55.177778
ATBED,23.064444,60.631111
BOVOS,18.375,57.978889
BUBAS,24.993889,57.000833
DAMUM,24.543333,59.218611
DAPOK,23.998889,57.499722
DARAB,17.775556,54.817222
DARAT,22.333333,57.475
DATBU,22.378611,56.015
DAXAM,17.27,54.7875
DEDSO,18.969722,56.011389
DEMKI,22.828056,56.385556
DENDA,24.708333,60.914167
DORAB,23.8425,59.796111
EGROK,23.881389,56.023889
EGTAL,24.582778,60.623333
EGVAN,23.024167,56.318611
ELIGO,23.416111,59.146667
EMURU,22.2325,58.893889
ERDAX,17.984167,55.749444
GADMA,21.244167,60.160556
GAGLA,18.084722,55.402778
GEPOT,23.246111,58.014722
GERAR,24.1,57.604444
GEVED,23.018056,57.853056
GIDAN,23.017778,58.375556
GISKA,21.584167,57.670556
GIVNO,19.836389,56.516389
GOLNI,21.003889,59.691667
GOMTA,25.1875,56.579722
IMDAM,20.404444,55.133611
IMDEK,22.779722,59.371389
IMKAD,15.879167,53.863056
IMLOT,25.285556,57.134444
IMW02,23.58955,58.237839
IMW06,23.583931,58.165511
IMW07,23.591331,58.261319
ISB01,23.595461,58.317069
ISB04,23.599642,58.371311
ISB07,23.603767,58.425569
ISL06,17.047033,54.116069
ISL10,17.101147,54.271472
ISL12,17.1108,54.3095
ISL93,17.0946,54.2604
ISL95,17.098428,54.263247
ITILA,23.681944,58.804722
ITLOB,24.723611,59.116944
ITURA,23.3975,58.122222
ITUVO,19.054167,55.724444
IVETO,23.588889,57.117778
IVOMA,22.568889,60.908333
KAPET,16.556111,53.103889
KAPOP,17.762222,55.158333
KARAR,23.511667,58.910556
KAXEM,22.850833,59.878611
KEBAS,21.725,57.163333
KIPOL,23.069444,61.484167
KIROP,24.5,57.783333
KITAL,20.05,60.3
KIVEL,16.885,55.609167
KUNUS,24.324167,58.540556
KUPMA,24.863333,56.446667
KUROV,21.274167,56.314722
KURTA,23.701389,55.816667
KUSRA,23.407222,58.436389
LABED,18.359722,55.3075
LABRI,24.062222,55.645
LABSA,23.031389,55.918056
LADAR,16.89,53.781944
LAKLU,23.376389,57.066944
LALDO,25.301667,56.6
LOSIM,22.586944,60.543889
LOTAV,20.616667,60.95
LOXOP,22.622778,59.763333
MCT03,23.596347,58.314267
MCT06,23.601564,58.368408
MCT09,23.606761,58.422553
MCT10,23.608489,58.440603
MCT15,23.588489,58.233064
MCT28,23.629233,58.064847
MCT64,23.571761,58.061667
MCT65,23.682836,58.474056
MCT77,23.639844,58.490047
MCT84,23.609353,58.449628
MCT85,23.638603,58.067275
MCT88,23.575297,58.097747
MCT98,23.604144,58.097436
MCT99,23.580589,58.151869
MEKNA,23.5525,56.1375
MENSA,24.963889,56.546944
MEVLI,21.275556,56.935
MIBSA,22.9,60.227222
MIBSI,23.694167,57.923056
MIXOL,24.089722,59.499722
MOBAB,20.175556,56.7375
MOGOK,21.849167,56.71
MRH00,20.572811,59.080217
MRH02,20.862689,58.970367
MRH03,20.647194,58.793381
MRH04,20.667567,58.870431
MRH05,20.770475,59.019414
MRH06,20.765408,59.066219
MRH09,20.748864,59.035278
MRH11,20.814669,59.022861
MRH12,20.744025,58.695883
MRH15,20.686778,58.9193
MRH20,20.894075,58.982758
MRH24,20.798478,59.128125
MRH26,20.654378,58.68375
MRH29,20.755614,58.662494
MRH30,20.555869,59.110878
MRH34,20.566908,58.737281
MRH36,20.8583,58.810328
MRH44,20.609031,58.751897
MRH46,20.999625,58.811875
MRH50,20.802497,59.060547
MRH54,20.624517,58.707797
