IDENT,LATITUDE,LONGITUDE
AGUJA,10.958611,-77.416667
ALGEN,9.996389,-81.009722
ALPON,11.467833,-77.416389
AMUBI,11.617833,-82.716528
ARORO,7.734722,-77.391417
AROVI,9.591667,-80.844444
ASEGO,8.5505,-82.405694
ASIBO,6.002333,-79.638611
ASIKA,8.414667,-82.238167
AT186,8.923197,-79.402761
ATOBO,9.174917,-82.284833
BITIX,10.570556,-77.416667
BITOR,9.267972,-80.999833
BIXIL,8.268028,-82.864861
BOGAL,9.567944,-77.416417
BOLAV,11.551389,-79.145833
BOMAK,8.225528,-78.933111
BUPSU,11.654056,-79.408414
CANTU,8.089022,-80.939722
COLBY,15.0,-78.533333
COLON,9.362422,-79.865642
DABEL,8.751333,-79.811472
DABOR,6.177222,-79.831389
DAGAS,11.6345,-79.133111
DAGIK,11.424344,-78.809511
DAKMO,7.461389,-77.80975
DAMAX,8.638,-79.766472
DAV10,8.265189,-82.554306
DAV11,8.351083,-82.238931
DAV12,8.198108,-82.509733
DAV16,8.198275,-82.365175
DAV22,8.229392,-82.497728
DAV34,8.264647,-82.598633
DAV50,8.379767,-82.443506
DAV51,8.219061,-82.550267
DAV93,8.460811,-82.624886
DEXAN,7.983361,-80.410139
DIEGO,8.714,-79.285778
EGETA,9.471278,-79.075611
EGOKA,8.675333,-79.787806
EGOSO,8.456333,-81.943167
EGULA,8.533833,-82.358444
EKENA,13.685,-78.166667
ESEDA,9.027972,-77.416417
ETATI,8.681611,-82.279278
FNC01,9.372361,-79.867164
FNC05,9.44525,-79.878319
FNC08,9.492281,-79.832158
FNC10,9.205617,-79.806192
FNC12,9.174253,-79.794308
FNC13,9.340703,-79.867308
FNC17,9.162325,-79.84575
FNC18,9.195347,-79.878456
FNC26,9.297914,-79.767017
FNC45,9.437819,-79.866492
FNC50,9.278886,-79.87205
FNC70,9.479706,-79.866967
FNC89,9.245853,-79.878717
FRANK,11.51925,-77.607944
GEMER,9.252972,-81.840389
ILTUR,6.840583,-78.213667
IRATA,7.491389,-78.801444
IRUKA,8.716333,-80.044806
ISIMO,10.161944,-77.416667
ISUMA,8.951306,-77.74975
ITAGO,8.079528,-78.623944
IVROS,7.568056,-77.733083
JAQUE,7.524722,-78.15475
KAKOL,8.547,-77.415083
KASOR,15.0,-77.695
KIKES,8.887139,-80.057306
KIKOL,14.725556,-81.601111
KOMAR,9.000289,-79.429542
KORPU,7.281417,-79.578139
LAMBI,8.976167,-79.4325
LEVOR,15.0,-81.5875
LODAX,7.697778,-79.674722
LOKAR,9.428778,-82.525139
LONET,13.385556,-79.3125
MADEN,9.182139,-79.595806
MALEK,8.325936,-82.496425
MANBO,11.139222,-77.882361
MARMA,10.508333,-79.466667
MIKUS,10.417889,-79.299778
MILAT,7.29975,-79.386472
MINER,9.010472,-82.3165
MORLI,10.684556,-80.616472
MUBAR,8.854806,-78.976778
MULPO,9.103806,-79.902639
NANCE,8.714944,-82.374028
NELUR,14.129722,-79.271667
NEMER,8.915806,-79.929972
OGLUT,4.528333,-82.396389
OPKOL,7.011694,-78.506722
OPLOS,13.501667,-78.783333
OSABA,7.501389,-81.683167
OSELO,1.416667,-89.870833
OSIMA,8.307333,-82.024694
OSITO,8.876306,-82.174833
PAKOP,10.098333,-79.491667
PANIL,9.245306,-79.117278
PAPIN,6.401444,-82.916528
PONPO,9.270111,-78.199444
PUDAK,4.5,-80.003056
PUDOS,9.083806,-81.048139
PUNBA,8.133861,-78.585111
R1534,9.047564,-79.39265
REMAL,9.050639,-78.825944
RONAM,8.586333,-81.003167
ROPOL,13.634722,-77.416667
SEKMA,10.419556,-79.840639
SIROT,9.631389,-78.551667
TBG80,8.883672,-79.470144
TIMRO,11.801139,-78.699778
TOLIN,13.335,-79.333333
TUM04,9.101367,-79.354936
TUM07,9.138717,-79.321083
TUM08,8.9186,-79.416475
TUM10,9.054444,-79.231631
TUM11,8.906536,-79.48425
TUM15,9.029794,-79.4127
TUM17,9.263197,-79.208197
TUM22,9.078956,-79.375242
TUM31,9.073328,-79.387414
TUM43,9.200961,-79.26465
TUM65,9.121314,-79.2561
TUM84,8.826172,-79.317586
TUM95,9.169842,-79.292869
UKATI,8.384667,-80.116472
UKLOS,5.259889,-79.599806
URUGA,9.174083,-82.225111
