IDENT,LATITUDE,LONGITUDE
AKREL,-13.299444,-72.835
AMVEX,-10.800556,-76.803333
ANKOR,-8.504444,-79.785833
ANPAL,-3.4,-83.003333
ARGON,-7.461667,-79.435556
ARPON,-12.899167,-76.884722
ARTUX,-11.626667,-75.438611
ASEMO,-11.688889,-73.4175
BODET,-12.235278,-73.900833
BOLEP,-13.380556,-72.853333
BORAS,-3.845542,-73.402294
BORLA,-7.737222,-75.236389
BUTEK,-10.634722,-75.637222
CEMIL,-13.239722,-70.649722
CHIRA,-4.935278,-80.893889
COCOS,-8.876389,-75.349167
DABUL,-13.697778,-72.886667
DALNA,-11.918333,-77.165278
DANKI,-18.306667,-70.275
DIKAB,-11.664444,-74.266389
DOBNI,-15.718611,-69.381667
DORKA,-18.35,-72.7725
EGASI,-4.208056,-80.479444
EGELI,-12.115,-73.376111
ELAKO,-15.926667,-69.305
ESEDI,-11.38,-76.440278
ESGOL,-15.191111,-75.358611
ESIRA,-14.900556,-74.977222
ESKOT,-12.053889,-75.337778
ESMIL,-8.819722,-78.704722
ETEBA,-12.429444,-71.595556
GATUK,-12.353056,-76.255
GAVAR,-16.9725,-71.114167
GAVIL,-11.254167,-76.587222
ILMAR,-14.274722,-76.513333
ILMOX,-14.594444,-70.844444
ILMUX,-2.461944,-72.848889
ILVOS,-10.0,-84.420278
IQT15,-4.016333,-73.43135
IQT19,-4.001789,-73.377536
IQT21,-3.986489,-73.416203
IQT23,-3.938172,-73.478881
IQT99,-4.033986,-73.386733
IREMI,-18.35,-75.383333
ITALU,-5.498889,-81.576667
KADEL,-11.596389,-76.287222
KALOR,-4.095833,-70.766944
KAMPA,-3.724964,-73.221733
KEBOM,-8.0,-73.677778
KIBAN,-6.893889,-80.089444
KIDES,-12.214392,-77.008425
KOLKA,-15.681389,-71.993611
KOLSI,-8.931944,-77.142778
KOMPA,-16.475,-69.0
KOPLA,-3.310278,-76.16
KORBO,-3.016667,-77.866667
LAKUN,-14.655278,-73.993333
LIM01,-11.9956,-77.1284
LIM11,-12.068875,-76.963972
LIM30,-12.189133,-76.646147
LIM55,-11.114842,-76.895486
LIM67,-12.008953,-76.442056
LIM68,-12.009022,-76.612236
LIM69,-12.008853,-76.952597
LIM77,-11.742822,-76.592111
LIM78,-11.811264,-76.728469
LIM79,-11.932775,-76.971053
LIM81,-11.889606,-77.183147
LIM88,-11.592289,-76.836981
LIM89,-11.869869,-77.027417
LIM97,-11.439875,-76.977972
LIM98,-11.846125,-77.081344
LITOT,-14.793333,-71.814722
LIVUS,-7.406111,-77.79
LODOX,-12.416944,-76.09
LOLES,-17.9,-69.783333
LUVSO,-12.096667,-74.016111
MELIX,-6.504444,-79.009167
MEXUR,-13.167778,-75.670278
MILAX,-8.973056,-76.953056
MITOS,-3.676889,-73.153411
MOXES,-14.274722,-77.417778
MUGOM,-16.296111,-72.996667
MUPIN,-2.421944,-75.318889
OKASO,-5.144444,-80.97
OLGAS,-16.385556,-70.771111
ORION,-6.0525,-80.352778
PABAM,-3.412778,-75.559444
PABUL,-12.114397,-77.063894
PAGUR,-4.479444,-80.359444
PANTA,-3.889936,-73.473053
PAPEM,-3.178056,-70.304722
PUDUL,-12.446944,-75.923056
PUL07,-8.486736,-74.610581
PUL12,-8.565953,-74.637992
PUL20,-8.692689,-74.681875
PUMAX,-5.22,-75.999167
PUNTA,-4.25,-81.333333
R1533,-12.007628,-77.121353
RACAN,-14.996389,-74.291111
RAXUN,-14.448333,-69.090278
RAYA,-7.533333,-79.566667
ROKOL,-5.977222,-80.210833
SELVA,-9.521667,-72.185556
SIGAS,-11.800314,-77.232469
SIGOB,-8.471111,-73.338333
TEMOS,-6.703889,-78.898056
TOMIX,-13.5525,-71.364167
TONOS,-15.924444,-70.905833
TORDO,-12.023056,-76.1875
UDOVA,-6.666111,-76.743889
UGEMA,-8.370556,-79.603611
VAKUD,-4.503333,-79.566667
VALEM,-6.395833,-81.442222
VATES,-7.703333,-78.365556
