IDENT,LATITUDE,LONGITUDE
AGPOM,0.0,-145.105
AROBA,-18.061111,-150.290833
ASOKI,-17.065833,-148.888889
ATURE,-17.723611,-151.691667
BEBIG,-18.351111,-149.993056
BENKO,-17.371389,-148.749167
BIBUP,-17.473333,-157.0
DUMUM,-19.095,-157.0
GUBKA,-18.525,-157.0
IDUTA,-17.618056,-150.470833
KRILL,-20.268333,-157.0
LEMUN,-18.068333,-157.0
MAEVA,3.5,-141.083333
MAGBA,-15.0,-148.516667
MAITO,-18.300833,-151.548611
MASBU,-16.636667,-157.0
MEGOG,-10.056667,-157.0
MEVEP,-15.0,-155.21
MIKAT,-15.683333,-148.8
MIKOP,-17.852778,-151.661667
MIMAS,0.0,-142.45
MOMBO,-10.0,-146.433333
MUPOD,-5.0,-144.433333
MURRA,-21.726389,-138.833333
NANUE,-17.886111,-147.519167
NIKES,-10.0,-151.735
ONIDO,-18.11,-149.770278
ONURI,-16.878333,-151.1125
OPERU,-17.32,-151.683611
ORAMA,-16.858889,-150.769444
ORARE,-15.908056,-148.406111
PAERE,-16.416389,-147.877222
PAPAE,-18.333333,-145.0
PASTI,-17.633611,-149.174722
PATIA,-19.25,-135.0
PATUI,-19.333333,-130.0
PEBRO,-19.0,-140.0
PILID,-19.25,-125.0
PUMIS,-5.0,-153.061667
RAXER,-21.316944,-157.0
REVRO,0.0,-140.008333
ROBKO,-10.0,-145.066667
RUTAK,-5.0,-142.513889
SABUB,-18.520556,-151.434722
SADIT,-22.45,-135.0
SAMEP,-19.316667,-145.0
SAPOK,-24.833333,-125.0
SAREG,-19.0,-120.0
SELVU,-20.983333,-140.0
SOSPI,-22.951667,-157.0
SUNTA,-23.75,-130.0
TAERO,-10.0,-150.733333
TAMUR,-11.066667,-140.0
TAPAP,-18.006667,-151.648333
TARAO,-4.133333,-130.0
TATIA,-18.281944,-147.646111
TAVAK,-15.0,-149.966667
TEANO,-17.298889,-150.154167
TEDAG,-5.0,-148.39
TEKOT,-18.805,-151.239167
TENOR,-2.416667,-151.95
TIAMA,-15.583333,-149.883333
TIAMU,2.866667,-120.0
TIERE,-7.616667,-135.0
TOLAB,-14.466667,-145.0
TOPOM,-5.0,-151.5
TUNBA,-0.75,-125.0
VAITE,-17.085278,-149.976389
VETEA,-18.334167,-146.954167
WIBIG,3.5,-138.255
