IDENT,LATITUDE,LONGITUDE
AGERA,-4.1,149.443333
ANIR,-4.246667,153.643333
APISO,-12.0,147.606667
AYKA,-8.506283,151.080933
BAMPA,-6.535,146.243333
BASS,-8.588333,146.178333
BOGIA,-4.4,144.723333
BUTYO,-2.935,148.45
DARU,-9.075017,143.213017
DOHRT,0.0,156.833333
EMLEN,-3.133333,142.488333
ESKIM,-9.765,145.905
FACED,0.0,144.0
GUARI,-8.125,146.98
GULF,-6.953333,147.436667
GUVOG,-10.158333,152.361661
HIPEL,-3.991667,149.811667
ISMAR,-3.841667,146.495
KAKOP,-5.645,157.668333
KAPPU,-5.885,142.21
LENAK,-10.76,146.96
LITAU,-3.263333,146.063333
LOBAU,-4.545,150.918333
LUMI,-3.47,142.048333
MABRO,-10.781667,147.155
MADI,-8.901667,147.121667
MANDA,-2.333333,149.13
MIRIL,-6.373333,146.186667
NARER,-4.315,147.068333
NIPOK,-9.928333,155.0
OBURA,-6.551667,145.776667
PALAN,-4.273333,151.503333
PONOK,-5.285,158.26
PY013,-9.633908,147.336986
PY016,-9.579772,147.246947
PY058,-9.544431,147.282706
PY160,-9.588067,147.263558
PYNB,-9.46105,147.232544
R1794,-9.430856,147.213881
R1795,-9.452028,147.226981
RAMU,-5.125,144.958333
REDOX,-10.066667,153.431667
SABEN,-2.825,145.551667
SAKAR,-4.886667,148.326667
SIBIN,-3.443333,149.19
TASAK,-1.441667,160.0
VERON,-4.026667,152.748333
VEVEK,-8.746667,150.126667
WATUT,-6.845767,146.358517
YATI,-6.118333,146.095
