IDENT,LATITUDE,LONGITUDE
ABLBG,13.843603,120.113717
ABMBS,14.978178,120.488897
AGVAR,19.414106,120.628464
AKOTA,16.462028,117.20675
ALDIN,9.116997,123.301075
ALDIS,18.5979,119.663611
ALPAS,15.486294,120.731181
AMRON,9.8379,119.076219
ANIMU,5.747342,125.133075
ANKUR,6.658083,121.001386
ARESI,13.973333,114.45
ARITA,14.924456,120.398003
AROLA,9.60015,123.577833
ARTEM,8.562531,124.643214
ASOBA,17.371711,114.571439
ASTUR,10.617564,123.697572
ATBUD,15.900519,114.617792
ATRIA,11.364192,122.979897
AVMUP,17.993347,118.958633
BABAN,15.513392,120.474431
BACON,9.749669,124.612622
BAHAR,4.0,132.5
BALAY,13.902681,120.728347
BALIN,8.794961,124.787203
BALOD,10.953192,124.709894
BANGA,6.401264,124.829278
BANGI,14.708556,121.379161
BANOS,14.234108,121.219272
BANWA,10.821628,125.109483
BARAS,11.078267,125.420244
BARBA,11.061269,122.278961
BATAN,14.660253,120.559303
BATAY,11.138694,123.845311
BAYAN,14.831336,120.655697
BEDIP,17.543044,123.625411
BETEL,14.177261,120.179464
BIDOR,4.0,131.5
BIGBI,15.511264,120.378711
BISIG,21.004531,125.264997
BOHOL,9.571681,124.379603
BORGA,14.383264,120.702933
BUCAL,13.599889,120.582228
BUNGA,11.340331,122.906308
BURCO,7.340819,122.101517
BURIA,5.660211,125.143931
CABRE,9.910125,119.3188
CADIZ,11.016814,123.314475
CALDO,14.560417,119.332567
CAMBA,14.324061,121.249286
CARLO,10.631914,123.322
CGO01,8.447842,124.618542
CGO04,8.3499,124.5963
CGO05,8.348267,124.595928
CGO07,8.515228,124.519108
CGO14,8.285536,124.714947
CGO15,8.577431,124.652694
CGO18,8.472553,124.559497
CGO19,8.350422,124.594022
CGO22,8.451581,124.617475
CGO23,8.440031,124.616747
CGO30,8.480942,124.571308
CGO42,8.48735,124.585764
CGO53,8.543664,124.593367
CGO67,8.527042,124.595417
CGO68,8.251889,124.644103
CGO75,8.524936,124.6361
CGO93,8.541319,124.638292
CGO98,8.256425,124.557208
CIA02,15.164539,120.554511
CIA07,15.306989,120.609442
CIA08,15.051508,120.511275
CIA09,15.042872,120.558044
CIA16,15.149942,120.693144
CIA47,15.046497,120.654436
CIA57,15.232456,120.632917
CIA66,15.024481,120.602294
CIA80,15.211369,120.572239
CIA90,15.303933,120.6583
COBOL,9.478189,124.046983
COGEL,6.813047,122.459219
CONDE,13.685917,121.612897
CURIM,18.012547,120.509331
DABGI,14.177869,114.672811
DADNU,17.836164,122.230519
DAHOY,9.942686,124.184169
DAO01,7.142919,125.667069
DAO10,7.1085,125.624939
DAO11,7.14245,125.666436
DAO22,7.107561,125.625725
DAO48,7.198472,125.728744
DAO50,7.077419,125.589769
DAO59,7.195692,125.730114
DAO60,7.196203,125.730725
DAO77,7.049308,125.5543
DAO78,7.047272,125.553819
DARAG,11.580872,124.791608
DAYAN,5.913147,125.114997
DELOR,10.739047,123.259383
DEMSA,18.406367,120.060672
DIAMO,8.778689,124.399647
DILAN,14.490522,120.76465
DILIS,14.518636,126.001419
DIMLO,9.517469,124.249603
DIPID,17.684581,120.620933
DIXON,15.115142,120.287542
DODUG,11.950836,114.742722
DOHER,14.307256,120.746831
DOSUS,14.401131,119.507908
EDCON,10.19515,123.868781
EDLOR,6.867217,125.860231
EMPUL,13.995003,114.6786
ENDAX,14.25,130.0
ESCAN,15.685169,120.673128
EXORA,14.059694,119.882433
FLORA,6.904175,122.25665
FONSO,15.081333,120.951503
FORTA,9.374706,124.05425
GALER,13.537778,121.287692
GAMAN,10.045131,118.895025
GARAY,14.912322,121.148872
GITAG,8.732469,124.334139
GONIL,8.343469,125.023231
GORAI,4.0,120.733333
GOSTO,6.972419,122.471731
GSA07,6.192308,125.080353
GSA10,6.223533,125.17075
GSA17,6.037708,125.098706
GSA23,6.107728,125.090381
GSA28,6.121808,124.931353
GSA32,6.205811,124.986875
GSA35,6.092356,125.090728
GSA48,6.190339,125.067833
GSA49,6.239481,125.057392
GSA73,5.90945,125.112569
GSA89,6.217492,125.077367
GSA90,6.216172,125.068053
GUKUM,14.195556,116.917178
GULFO,10.3821,122.706422
GURAG,21.0,127.416667
IBAGO,13.543822,121.309517
IBOBI,14.311667,118.335814
IGANG,10.419231,122.445306
INDAN,14.190242,120.867511
IPATA,13.865947,121.813344
ISGOG,9.245,130.0
JAGIS,9.924122,118.470019
KABAM,21.0,119.88
KABAN,14.155186,121.457672
KABAY,6.445336,125.288619
KAMBE,6.189419,124.689622
KANDU,15.414317,122.650139
KANON,10.677522,123.226194
KAPOH,18.679308,120.569167
KARAG,14.433028,119.945536
KATAN,8.090831,124.874222
KAWIT,10.771883,124.504847
KEERO,14.232197,120.318678
KIBOK,14.984922,120.398003
KINLA,17.680017,120.469964
KLAFU,7.341944,125.393269
LABAY,14.387253,122.044856
LAIYA,13.571908,121.394567
LAMBO,11.162089,122.350942
LAMOK,9.899319,123.749753
LAO03,18.12885,120.523578
LAO06,18.078892,120.518089
LAO07,18.294869,120.546147
LAO14,18.155492,120.526506
LAO24,18.2186,120.534922
LAO60,18.278289,120.543706
LAO84,18.038925,120.5137
LATIA,6.904756,124.921244
LEGED,13.020344,119.001928
LEMAP,18.057075,120.649131
LIBON,10.031767,124.300728
LINAO,7.261983,124.847542
LOPEZ,13.921467,122.202047
LOWAY,9.4764,123.995594
LULBU,11.160022,116.53825
LUNDO,8.016972,124.481
MABID,9.995158,124.092969
MALAG,12.372111,124.257361
MALAY,14.425075,121.283083
MALIB,15.684789,120.495758
MANOK,10.658447,123.748617
MARAN,10.233817,120.416036
MARIO,10.455608,124.131831
MASAG,11.499386,124.699653
MASUN,7.300431,121.870625
MAVRA,17.777836,116.501994
MCT08,10.412611,124.083272
MCT09,10.371567,124.113978
MCT12,10.4532,124.134414
MCT17,10.436,123.872939
MCT20,10.200372,123.937425
MCT26,10.326525,123.998031
MCT27,10.287764,123.960039
MCT32,10.4508,123.891208
MCT35,10.478567,123.9589
MCT46,10.333339,124.008975
MCT60,10.383344,124.061289
MCT67,10.374936,124.136267
MCT73,10.347814,124.101494
MCT78,10.226756,123.899711
MCT79,10.186031,123.940667
MCT87,10.386931,123.836292
MCT98,10.412236,124.083658
MCTNB,10.309233,123.984417
MEGOM,6.715406,125.432311
MEVIN,21.0,122.55
MIA06,14.708692,121.379406
MIA07,14.566572,121.125989
MIA08,14.541464,121.081303
MIA09,14.5341,121.174139
MIA12,14.608403,121.200489
MIA17,14.650206,121.275017
MIA20,14.675278,121.319747
MIA22,14.387456,120.902369
MIA26,14.492281,120.992439
MIA60,14.523036,121.048519
MIA73,14.577936,121.135214
MIA78,14.431669,120.889094
