IDENT,LATITUDE,LONGITUDE
ABDUL,30.4,67.45
ADAIL,33.245833,72.874444
ADINA,32.935,70.596389
AFNAN,29.995833,67.318889
ALEKA,28.600278,68.833333
ALPOR,24.079167,61.334167
AMBER,30.0,68.0
AMJID,29.316667,69.0
ASVIB,26.956667,63.303333
AVELI,34.05,73.166111
BABEV,34.099722,71.583056
BABUR,35.199722,74.0325
BADIL,25.228889,67.473611
BALAL,35.583056,75.3325
BALKA,32.988333,72.696111
BARBI,29.350278,66.466944
BARDO,27.401944,69.095
BASIR,30.221944,70.521389
BATAL,34.583056,73.082778
BAVRO,35.549722,73.516111
BEGIM,24.717222,67.000278
BHAGA,32.066667,72.949444
BHALL,32.266667,72.899444
BHATI,30.900556,70.3
BHURN,33.908333,73.416111
BIMLA,26.605556,68.716667
BOSTA,30.423333,67.026944
BUNGI,35.633056,74.599167
CADIZ,32.636667,73.116111
CAPRI,26.720278,68.523333
CARLO,26.696944,68.536667
CHANA,32.07,73.6875
CHITL,35.886111,71.8
DABIR,34.343056,73.286944
DAMLI,27.650278,68.873333
DANGI,24.717222,67.583611
DANTY,31.483333,70.466389
DARBA,34.316389,72.849444
DARIS,35.199722,71.849444
DEBAD,25.217222,68.416667
DELDA,35.716389,74.7825
DIBBA,30.201944,71.801389
DIVER,26.776944,68.486667
DOBAT,25.333889,68.916667
DORAL,30.381667,67.397778
DOSTI,25.966944,65.050278
DURKA,35.566389,71.749444
DUSTY,29.500278,70.983056
FALSA,31.833333,73.8325
FASAL,31.356667,73.322778
FATEH,33.581389,72.627778
FIRPO,32.269444,70.785
GADER,29.683333,61.466667
GASIR,28.888611,66.680278
GERRY,36.199722,71.582778
GHAZI,30.625,67.333333
GOJRA,31.284167,72.803611
GOWAZ,29.2075,66.948889
GUGAL,30.241667,73.965833
HAFIZ,31.841667,74.082778
HANGU,33.485833,71.005833
HARPA,31.35,72.999444
HILAL,30.25,69.733333
INDEK,32.766667,73.266111
ISHAQ,29.861111,66.773333
JABAR,33.538056,71.856111
JAKSI,28.533611,69.266389
JAMAN,32.634722,70.681389
JARAT,32.653056,72.468056
JHANG,31.266667,72.299444
KABIM,23.500278,66.358333
KAGAN,34.783056,73.482778
KAJAL,25.183889,66.600278
KALAT,29.033333,66.583611
KALBH,32.97,71.563056
KALGA,32.9,71.992778
KALNA,33.548333,72.025556
KANDA,34.616389,71.766111
KAPAD,27.620278,68.916667
KARAL,32.030278,72.046944
KAREM,30.000278,67.766667
KASRI,29.958333,71.151111
KBRIE,32.308333,72.399444
KC015,24.917392,67.203103
KC025,24.898942,67.132569
KINZA,31.495,70.889444
KODAR,27.666944,67.033333
KOMAL,30.248611,69.953056
KONB,24.930169,67.247
KOSAR,29.908611,71.229722
KOTRA,30.8,68.116667
KUMMI,30.221944,70.819722
KUNAR,31.716667,70.383056
LAKRA,28.916139,66.440639
LARDO,31.436667,73.919444
LATEM,24.528889,64.828889
LATLI,31.54,69.934722
LEMOM,31.246667,74.041111
LIMTO,26.875278,68.266667
LORAL,30.525,68.096667
LOTAT,24.617222,65.350556
LOTUS,28.833333,66.97
MABRO,26.716944,68.573333
MAJOR,30.480556,67.344444
MAKOT,30.200278,70.999722
MALET,30.251944,69.828333
MANRA,34.279722,73.264444
MARKA,28.470278,69.748056
MATAR,34.099722,71.466111
