IDENT,LATITUDE,LONGITUDE
ABAKU,51.676944,19.081389
ABERO,52.228333,23.208333
ABEXA,51.604722,20.921667
ADIKA,51.538333,21.329444
ADOKI,49.935833,20.645833
AGALU,51.471389,17.385556
AGAVA,51.581389,19.960833
ALUKA,52.898497,14.305575
AMPAK,55.202222,17.121111
AMROR,54.89,15.097222
AMUTO,52.333333,18.945833
ANEPI,52.016022,20.565775
APTAS,50.911389,17.695833
ARMEX,51.495556,17.123889
ARSOG,49.990556,22.699722
ASLUX,52.320556,22.160556
ATGAN,52.081111,21.222222
BABEN,54.388056,15.241944
BADNO,51.75,17.678333
BADUP,52.059167,17.421111
BAGAP,51.6,19.761667
BALBA,50.861667,23.023333
BALOS,50.275556,19.658333
BAMSO,52.335833,21.909444
BANET,50.366389,18.929167
BANUN,51.178056,16.426667
BAPAS,52.178611,15.519722
BAREP,52.271111,15.564444
BAREX,50.894444,18.738333
BAVOK,50.002778,18.195278
BAXIS,51.808611,18.863889
BEBAL,53.265278,18.333056
BEDAM,53.739722,15.192222
BEDUN,50.517778,18.568056
BESOT,52.921667,22.944444
BESTO,51.73,17.398889
BIBKA,53.190833,18.955
BIMPA,52.374444,19.774722
BINKA,53.758803,14.274442
BUDIR,51.383056,16.945556
BULEP,52.771111,22.418889
BUNIX,51.881944,17.353056
BURAN,54.180278,17.029722
DEKUT,53.116111,17.035278
DELIR,53.080556,17.113611
DEMIN,50.001667,21.511111
DEMUR,54.08,15.007778
DERAM,51.846944,19.280833
DEVEL,54.730833,15.748056
DEXIR,54.224167,17.448889
DIMEX,51.630556,16.128611
DINOV,50.928611,16.085556
DIPKI,52.202778,17.462778
DODAN,53.352778,15.427222
DODER,51.203611,16.558889
DOMAG,54.974444,17.685556
DOSAL,53.398611,15.392222
EBIMA,53.294167,22.929167
EBOGU,53.378889,18.149722
EDULO,52.4025,20.687167
EGLON,51.416667,21.984722
EKSEK,51.128333,15.610833
ELKAR,53.698333,20.5
ELPOL,54.606389,15.633889
ERGON,52.906111,14.156667
ERNAP,50.441111,20.147778
ETUBO,52.469167,22.9625
EVINA,51.387778,20.36
GAGRO,51.330833,17.224722
GALBU,50.6425,18.081944
GAMRO,49.936944,20.773333
GDA08,54.366819,18.506431
GDA09,54.320097,18.682706
GDA38,54.346186,18.584142
GERVI,52.155278,22.200833
GIGAL,51.078611,16.491944
GILAS,52.631667,14.525833
GINOK,52.526389,16.478889
GIPOS,51.698333,19.71
GIRLU,50.558333,19.6775
GIXOL,49.829167,19.351944
GODLO,51.003889,16.504167
GOMEX,53.734444,15.242778
GOMOR,51.183333,17.617222
GONTU,53.495556,19.318611
GORAT,53.178056,23.894167
GOSAK,50.557778,20.304444
GOSED,51.976111,21.132222
GOSOT,54.805556,14.857778
GOTIX,50.021667,23.211944
GOVEN,52.058333,14.755556
IBARA,51.949444,19.442222
IBEKA,50.027778,18.941667
IDEXU,52.697222,17.036111
INDIG,51.996667,18.0
IPLIT,54.637778,19.355556
IRGET,53.669722,14.614722
KEKUS,50.285,18.585833
KELOD,52.233889,15.883333
KEMUM,54.484722,17.473056
KOLOB,54.823056,14.944167
KONAM,52.235556,20.716944
KOTEK,52.0675,20.616944
KOVOL,52.083864,21.375297
KRASI,51.03,22.021944
KRT19,54.270825,18.748889
KRT91,54.283178,18.713456
KRW08,50.081569,19.815989
KRW38,50.091428,19.892117
KRW58,50.097678,19.942975
KRW99,50.157014,20.032967
KUBUK,50.270278,22.231389
KUKAM,50.806111,20.060556
KUKOP,52.147778,20.410556
KULEK,53.552778,20.5
KULUV,51.647778,16.339167
KUNER,55.258611,18.448056
KURON,50.631667,20.148056
KUTEV,52.214722,20.924444
LAMID,52.310833,20.717833
LARMA,55.275069,16.500303
LASGU,53.211111,19.177222
LASKU,52.046667,21.070833
LATAG,51.721667,15.746667
LATMI,55.448611,18.167222
LAW08,52.419,17.0706
LETKI,52.188056,23.404444
LIMKO,54.041667,21.5
LIMVI,51.745,21.685556
LODNI,53.736944,18.624722
LOGDA,51.284444,20.693889
LOLKA,49.22,20.1
LOLKO,51.6925,15.935
LOLSI,52.1775,19.871389
LUBEN,51.224167,19.9575
LUGOL,49.205556,22.738056
LUKOR,50.586667,20.204444
LUPUX,50.336111,19.021667
LURAD,50.191944,18.574444
LUSID,54.916667,15.296111
LUXAR,49.93,21.175278
MAGAN,52.85,17.616667
MAKOV,51.149167,19.111944
MAPEX,53.706111,17.003611
MAPIK,50.526111,18.2475
MASAK,52.000556,21.110833
MASOV,52.2125,20.917778
MASUN,53.636667,15.276667
MATEM,52.085525,20.662778
MAXAM,49.973611,21.378889
MIRVO,53.388056,15.920833
MISKA,51.185833,16.934444
MIXAT,51.488333,18.008056
MOKOS,50.507222,19.356111
MOLIL,52.592222,18.0
MOSIR,50.206944,22.775
MOTAD,55.209444,17.505556
MYSKO,50.536389,19.279444
