IDENT,LATITUDE,LONGITUDE
ALASK,16.836922,-66.537528
ANADA,15.0,-64.146247
ANNER,16.236694,-64.943
ANTEX,18.47925,-68.0
AQABA,18.595878,-67.374692
ARECA,18.026944,-67.233622
ARETE,18.543744,-65.825869
ARMUR,15.543333,-66.635
BAROE,22.059194,-65.793025
BEANO,18.759861,-66.619561
BINJI,18.433878,-66.189039
BOCCA,18.475944,-66.602394
CAFFE,20.088006,-64.7353
CHAKA,18.372881,-65.629525
CHEDR,22.046697,-66.009619
CITPO,18.488603,-67.145108
CLAYO,18.057,-66.444139
CONCH,20.236789,-67.865814
CONDO,18.433444,-66.084997
CORAF,18.646639,-66.389972
CRSTL,16.298697,-66.578117
CRUPE,22.043089,-66.061208
DAKES,17.048056,-66.999617
DANDE,17.504189,-63.664672
DAWIN,20.538769,-62.457578
DEEDY,18.69525,-66.022642
DONKE,18.612944,-66.075
DROUN,18.359619,-67.286189
ELMUC,20.783928,-68.0832
ETEEE,16.580564,-65.466761
FAJAR,18.469303,-65.639675
FERNA,21.768772,-67.021481
FRATT,19.434492,-65.805633
GABAR,17.353333,-63.0
GABYY,17.697972,-66.726608
GANBO,18.26775,-66.198417
GARCY,18.362667,-66.199967
GESSO,17.493833,-65.778583
GLADA,18.945786,-65.976878
GRADI,20.521197,-69.632025
GRANN,23.5,-65.8
GUADE,18.368069,-66.188894
GUYRO,18.671236,-64.108833
HAKVO,17.848983,-65.256044
HANCY,22.036886,-66.170619
HARDE,20.006389,-68.817028
HENLI,16.9195,-65.40875
IDAHO,19.260528,-67.639556
ILURI,16.301111,-63.0
INNES,18.464761,-67.22885
ISLLA,18.457869,-65.814583
JAAWS,18.978342,-66.540667
JANMA,20.537239,-67.177028
JETSS,18.673394,-65.365947
JOSHE,18.242367,-66.500983
JUICE,18.130944,-63.666667
JUNTA,18.388731,-67.479733
KATOK,18.830761,-68.0
KIKER,15.097222,-65.295833
KINCH,21.621478,-67.197817
KRAFT,23.5,-67.716667
KYAAK,17.657375,-66.530078
LAMKN,18.0,-61.965997
LARPP,18.205278,-64.108811
LEEOO,17.577581,-64.440556
LEILA,18.490478,-67.490617
LENNT,21.265444,-67.126008
LOBOZ,18.755556,-65.119722
MACOR,22.227778,-67.321006
MAELO,18.705844,-65.830947
MALIE,18.492389,-65.2785
MELLA,18.2,-68.0
MIGHT,18.165,-66.318339
MILOK,15.293333,-65.88
MNOLO,18.343583,-62.8017
MODUX,16.958889,-63.0
MYLET,18.503811,-66.289739
NEYDU,18.972608,-62.1525
OBIKE,19.341283,-61.767164
ODEZZ,18.439344,-67.312656
OLGAH,17.820061,-66.104772
OPAUL,21.856597,-63.846578
PAESO,18.490603,-65.91515
PALCO,18.291714,-65.235619
PANMO,19.169408,-66.283514
PAPPO,18.725022,-66.110875
PASIC,18.294814,-64.650017
PATTY,18.406936,-66.089183
PEBLO,18.486442,-66.84545
PICKI,18.745686,-64.801997
PLENA,18.297383,-66.150169
PLING,19.992172,-66.797944
PORQE,17.16,-64.0145
POVEE,18.429892,-66.036708
PRCHA,22.922378,-66.352525
PSE04,17.958958,-66.458569
PSE22,18.005653,-66.555117
QNEPA,22.839161,-64.040181
R0045,18.490297,-67.144447
R1169,18.449286,-65.988883
R1261,18.438756,-66.014864
R1270,18.433561,-66.013728
RAFEE,16.109233,-65.070089
RAYAS,15.687861,-65.488567
REKUA,18.362244,-65.970086
REMSY,18.433719,-66.097503
RIMMA,18.407378,-66.092181
RIQIE,17.834392,-65.599525
RKDIA,21.0,-60.0
ROBLL,18.954525,-67.014047
SAALR,19.113194,-66.336167
SANLO,18.200778,-65.9349
SAPPO,20.437675,-68.400083
SCAPA,15.834139,-67.499528
SHMUU,19.344175,-67.639553
SILOE,18.513353,-65.830583
SJ046,18.440936,-66.016169
SJU25,18.367678,-66.183211
SJU28,18.470656,-66.198494
SJU40,18.4333,-66.0208
SJU44,18.625278,-66.085183
SJU68,18.400975,-66.194586
SJU69,18.404397,-66.195383
SJU85,18.3947,-66.1217
SNOOZ,17.814964,-65.083872
SOCCO,21.114303,-63.061469
TANZY,17.668778,-64.402472
TARGT,18.46765,-67.226892
THANK,21.460361,-66.053472
TILDI,20.163611,-67.629444
TNNER,18.433364,-66.199836
TOURO,18.480561,-65.464717
TRNKY,18.4183,-63.189303
TROCO,18.158364,-65.770214
TUKRE,18.480656,-65.911431
TUUNA,17.980889,-65.886139
UPKEC,18.341836,-66.253347
UPRAF,18.433436,-65.961142
URZUM,18.458378,-65.966456
UTAHS,19.690544,-67.286783
VACHI,18.589283,-67.312547
VARNA,18.317278,-66.313617
VEDAS,17.919344,-65.586581
VERMO,20.126167,-66.215222
VORCE,21.515597,-65.888417
WALNA,18.628867,-66.013806
WATRS,21.887553,-67.792236
WESEN,18.370025,-66.184081
WEXET,19.587386,-66.50945
YEPUP,18.279858,-66.407292
YIGTO,18.386981,-66.239175
YIYYO,20.751483,-63.632072
YORUS,17.873553,-65.338169
YUNKE,18.272117,-65.881497
ZABOR,21.390944,-62.626239
ZATOG,19.611933,-66.276856
ZIDUG,17.954633,-65.290589
ZNDER,17.693578,-66.287306
ZUGOD,18.356572,-66.321108
