IDENT,LATITUDE,LONGITUDE
4016N,40.0,-16.0
4514N,45.0,-14.0
ABALO,32.331111,-18.130278
ABETO,40.429722,-8.056389
ABRAT,39.821667,-7.654167
ADORO,41.483056,-6.28
ADSAD,38.478056,-8.981111
AIREZ,39.454722,-8.666111
ALAGU,38.088611,-7.614444
ALAMA,39.223333,-8.55
ANAVA,39.899444,-25.408889
ARMED,42.5,-14.0
ASMAR,39.3725,-11.595556
ASPEX,38.319722,-28.158056
ATECA,38.658333,-8.6225
BABEX,41.040278,-7.083889
BANAL,42.0,-15.0
BANIX,38.405556,-28.113056
BAVAS,39.0,-23.678333
BEKUN,37.948333,-23.234722
BIRBA,39.105556,-7.511944
BULAS,39.099167,-8.291389
BUSEN,38.545,-10.0
CANAR,41.385833,-7.469722
CUDLY,38.5268,-26.8535
DEGUN,33.418611,-15.658333
DEKUS,38.015278,-10.0
DEMOS,41.925833,-9.361944
DETOX,41.0,-15.0
DIDIT,41.32,-11.571667
DIGAL,39.740833,-7.989722
DIRMA,40.851667,-9.500833
DIROP,37.039167,-8.095833
DOKAS,37.2325,-23.364444
DOLER,39.268056,-26.38
EKMAR,38.5575,-9.521389
ELBEN,38.702778,-28.27
ELDUK,37.811111,-7.940556
ELVAR,39.219444,-7.223333
ENUDA,38.783017,-27.114417
EPODI,38.922858,-27.259742
ERPES,40.0,-15.0
ERTIS,37.416667,-7.614722
ETROX,36.4025,-24.024444
EVURA,38.665,-7.918611
EXONA,38.904444,-8.016667
GAIOS,38.275556,-8.543056
GALPA,34.398056,-14.730278
GANSU,38.0,-9.8175
GENRO,37.193056,-7.614722
GIKAR,34.166111,-14.03
GIMAL,36.764444,-8.005833
GIMDI,38.746569,-27.077164
GINSU,36.2925,-27.647778
GIRIX,37.207986,-25.221139
GOMOS,37.013333,-30.057222
GUDEV,38.926803,-27.253275
GUNTI,39.0,-15.0
IBERO,41.345556,-7.919722
IBIDO,40.884722,-10.186667
IMILE,38.783539,-27.113506
INBOM,40.001944,-8.301944
INBOX,38.368333,-33.363611
INBUL,38.495556,-30.0
INPIR,38.606606,-26.929047
IRKID,33.925,-18.069167
IRSAN,33.166667,-16.504444
KEKOS,32.449167,-16.227222
KOKER,39.905833,-33.733889
KOLIT,40.548611,-33.389167
KOMUT,38.0,-15.0
LADOX,38.947222,-28.021111
LAMDI,39.205833,-10.965
LI085,38.702911,-9.180456
LIDRO,33.6675,-15.949722
LIGRA,38.0,-9.590833
LIS59,39.123858,-8.7443
LIS77,38.929347,-8.998472
LO014,38.997953,-9.063392
LUKAL,41.253056,-32.355833
LUKIT,40.196944,-30.0
LUTAK,37.0,-15.0
MADAT,32.161944,-17.085278
MAGUM,39.1675,-8.3925
MANEL,38.65,-8.947167
MANIK,40.691944,-8.616111
MAPOR,41.614167,-8.058333
MARIM,37.416667,-7.841111
MARUM,36.622222,-13.437778
MASID,38.747536,-27.075858
MIMBO,41.570833,-11.377222
MINTA,37.128889,-7.383333
MIPRU,38.273611,-26.364722
MOKDO,38.609708,-26.924411
MOMAS,39.319167,-8.016667
MONUR,38.641667,-8.996667
MORAS,39.163889,-8.018611
NAKOS,38.0,-9.334444
NARTA,36.056389,-12.558056
NASAS,36.325556,-12.973611
NAVIX,35.520556,-16.234444
NAVPO,37.621111,-25.316389
NEGRI,38.878611,-13.404444
NELSO,31.683056,-17.456944
NIDUL,32.365278,-17.353056
NIKAV,33.348611,-16.873611
NILDA,38.684169,-27.009753
NOTMA,38.8125,-28.056111
NSA21,39.108775,-8.276444
OBESA,36.657222,-14.245833
OBOLO,36.531389,-8.1325
ODEMI,37.4975,-8.383889
ODLIX,38.678889,-9.317222
OLGAR,39.183333,-7.936389
ORSOS,39.0,-10.208889
ORTOP,36.026667,-7.383333
PARAV,40.9475,-11.856667
PECKY,34.530278,-15.337778
PELUS,33.445278,-17.071111
PESUL,40.881944,-8.115
PIGOR,39.467222,-13.821389
PINOX,40.290556,-7.109167
PIREN,36.833333,-7.383333
PORTA,39.33,-7.3025
R2224,38.775964,-27.105564
R2225,38.752869,-27.081417
R2226,38.094361,-7.930361
R2227,38.766469,-9.143889
R2228,38.792347,-9.130036
R2459,36.985,-25.173333
R2889,37.013447,-7.959017
RAKUN,33.556944,-15.781389
REGLA,38.855278,-26.138889
RELVA,41.852778,-8.5975
RINOR,39.210278,-8.791111
RIVRO,40.622778,-6.722778
RODIL,38.078889,-27.606667
ROLAR,34.211389,-15.205833
ROSAL,38.021389,-7.101389
RULET,34.251667,-14.915556
SIPRU,39.18,-27.889444
SOLGI,38.625,-28.032778
SOMUL,38.2225,-27.316944
SONAP,36.5,-10.0
SOPOP,40.44,-12.386667
SOTEX,38.292778,-8.22
SUNES,37.3075,-9.0
TABAX,38.157222,-13.749167
TABOM,32.225556,-16.4575
TAGUX,38.945556,-7.914167
TELMU,35.637778,-14.530556
TERVA,40.416667,-9.591111
TIMTO,38.387778,-27.321389
TIRKO,38.8455,-27.17845
TROIA,38.073333,-8.879167
TUNAV,39.315,-11.373611
USALU,37.222222,-8.300278
VABEM,36.549167,-13.322778
VAGET,38.846942,-27.176064
VEDEL,39.8575,-12.67
VERAM,36.7725,-13.675278
VFA01,37.011775,-7.954314
VFA06,37.002992,-7.85085
VFA07,37.001222,-7.830161
VFA09,36.997678,-7.788783
VFA10,37.017558,-7.9952
VFA11,36.972161,-7.816764
VFA12,36.961789,-7.777228
VFA14,36.988747,-7.685358
VFA23,36.931256,-7.843961
VFA28,37.041697,-8.116403
VFA30,36.965578,-7.819683
VFA31,36.925869,-7.849508
VFA32,36.990225,-7.811119
VFA33,36.994033,-7.835614
VFA34,37.000369,-7.876458
VFA35,37.011219,-7.946869
VFA66,36.974383,-8.134133
VFA75,37.022075,-8.182847
VFA78,37.020392,-8.141275
VFA88,37.049717,-8.156822
VFA90,37.069706,-8.257903
VMG06,37.590292,-25.229081
VMG25,37.477806,-25.511658
VSM05,37.045147,-25.184008
VSM08,37.094681,-25.193172
VSM27,37.078178,-25.190117
VSM29,37.0605,-25.279997
VSM50,37.086683,-25.228814
WENDY,38.993486,-27.334767
XAMAX,40.031111,-8.536111
XANEL,39.403056,-12.203611
XAPAS,37.597222,-7.95
XULEN,38.685069,-27.008422
