IDENT,LATITUDE,LONGITUDE
ALGEL,-25.870556,-55.17
AMORA,-25.344356,-57.534867
ARVOP,-22.266944,-56.615833
ASATI,-26.081667,-57.533333
BITUR,-24.932778,-54.928056
BOBIK,-27.212222,-58.456111
BOLIR,-24.881111,-54.533056
CARAI,-25.381747,-57.291061
COATI,-27.175,-56.13
COSTA,-25.511944,-55.236389
DABRI,-23.831944,-55.634722
DAGOL,-25.733931,-54.891761
EGELU,-23.070833,-56.115278
EGEXO,-22.9675,-60.230278
EKESA,-24.411667,-57.475
EKILO,-25.356667,-56.611667
EROTI,-24.986667,-56.648333
ESELA,-20.95,-62.216667
GELIK,-24.915,-54.526111
GEMAS,-24.345,-54.313333
GERNI,-19.9175,-61.85
GUARI,-25.946667,-57.023333
GUAZU,-25.410503,-57.541608
ILPUR,-22.700556,-59.980556
ISEVO,-24.72,-56.818333
ITAPE,-25.558,-57.420667
KALAD,-23.718889,-55.488333
KAREN,-25.54065,-54.915842
KEVUR,-25.139444,-56.609444
KIDUS,-24.536667,-57.043333
KUBIR,-24.073333,-59.946667
LIVOX,-26.488333,-56.633333
LOBAX,-24.411944,-57.627222
LORNA,-25.375058,-54.761236
MOROS,-22.257778,-60.414167
OQUIN,-25.608597,-54.969406
ORUGA,-27.184167,-55.802222
PADOT,-24.525,-57.050278
PIROY,-25.503219,-55.065981
R1532,-25.225072,-57.515542
REMEK,-20.633056,-58.113056
REPAM,-27.429167,-57.558333
ROLOK,-25.356667,-56.611639
SAMGU,-26.855,-57.541667
SOFIA,-24.406667,-57.536667
TEROI,-25.501022,-55.047492
UDENO,-26.114006,-54.9534
UKELA,-24.621667,-58.141667
VAS01,-25.267461,-57.524625
VAS05,-25.324144,-57.494992
VAS09,-25.264358,-57.339328
VAS10,-25.076972,-57.528447
VAS14,-25.076967,-57.515625
VAS22,-25.386503,-57.619931
VAS28,-25.229556,-57.705178
VAS30,-25.294083,-57.527689
VAS32,-25.121817,-57.647336
VAS34,-25.288436,-57.443894
VAS40,-25.310722,-57.529603
VAS42,-25.099214,-57.430158
VAS50,-25.327361,-57.531519
VAS58,-25.382778,-57.418892
VAS62,-25.1365,-57.381217
VAS83,-25.189519,-57.348128
VAS92,-25.410533,-57.5026
VAS99,-25.403289,-57.578775
VES10,-25.498644,-55.029117
VES19,-25.4363,-54.826367
VES24,-25.588547,-54.994628
VES31,-25.366286,-55.024403
VES47,-25.318689,-54.751175
VES57,-25.336408,-54.725722
