IDENT,LATITUDE,LONGITUDE
ALD00,25.138125,51.305817
ALD01,25.294906,51.237097
ALD03,25.093019,51.325794
ALD05,25.217028,51.270739
ALD06,25.0953,51.3247
ALD07,25.015506,51.360147
ALD10,25.294519,51.236272
ALD12,24.860447,51.428725
ALD13,24.938558,51.393697
ALD15,25.372003,51.201761
ALD36,24.937981,51.394458
ALD40,25.023911,51.356133
ALD52,25.211072,51.273939
ALTOT,25.413611,51.617778
DOH01,25.146819,51.615703
DOH03,25.197964,51.5924
DOH05,25.316889,51.543831
DOH11,25.105808,51.722461
DOH14,25.077633,51.684178
DOH30,25.290186,51.554531
DOH32,25.438286,51.452208
DOH46,25.462558,51.523569
DOH59,25.326314,51.540053
DOH61,25.149756,51.613347
DOH83,25.364014,51.524939
KISOB,25.261933,51.321703
MAKIN,25.453542,51.489003
NAJMA,25.0629,51.652267
NOMDO,25.370833,51.711389
ORMOX,25.185556,51.772222
PASAR,25.417222,51.566389
R1809,25.101617,51.321942
R2229,25.241883,51.573528
R3143,25.133014,51.308036
REVAT,25.1725,51.825278
TOLTO,25.281944,51.828333
