IDENT,LATITUDE,LONGITUDE
ALUNA,-20.132806,55.519444
ANTIR,-21.241778,55.203944
ANTOL,-19.830917,53.095083
APLEM,-18.486139,54.73125
DOBUT,-19.335889,53.419694
EGLIP,-19.779194,53.121639
ERBES,-20.941278,55.751528
GERAG,-21.515806,52.92025
GETIR,-22.395806,53.367417
NIBIS,-19.024694,55.533472
NODSI,-19.057667,53.690444
OKDOP,-19.947861,54.236556
PASAR,-21.018,56.399444
PONIR,-20.075028,55.111222
PRF26,-21.001978,55.006306
PRF30,-21.146842,54.917881
PRF31,-21.151967,55.071
R1715,-20.884622,55.505025
RASMA,-20.204222,56.033694
RECIF,-20.803139,55.314944
RERON,-20.716972,54.821
SD001,-20.878192,55.49145
SD003,-20.863214,55.459594
SD006,-20.840483,55.412028
SD012,-20.795453,55.317053
SD013,-20.793003,55.318372
SD021,-20.797747,55.315853
SD030,-20.863222,55.460053
SD031,-20.861453,55.461003
SD060,-20.840644,55.412369
SD061,-20.838644,55.413433
SD062,-20.841247,55.412061
SD093,-20.815794,55.359936
SD094,-20.81355,55.361144
SD095,-20.817331,55.359139
SD111,-20.862972,55.460172
SDG01,-20.877758,55.493664
SDG02,-20.889161,55.527
SDG03,-20.858647,55.450089
SDG04,-20.891108,55.552503
SDG07,-20.891008,55.554281
SDG08,-20.925453,55.671461
SDG13,-20.764353,55.235603
SDG15,-20.642289,55.440767
SDG17,-20.609947,55.431581
SDG18,-20.743242,55.792425
SDG19,-20.890303,55.865747
SDG20,-20.727375,55.824006
SDG24,-20.487258,55.450508
SDG25,-21.30915,54.884908
SDG28,-20.799892,55.316336
SDG29,-20.803758,55.316411
SDG30,-20.754175,54.994469
SDG31,-20.672067,55.026539
SDG32,-20.568306,55.095414
SDG33,-20.511272,55.153142
SDG34,-20.694406,55.285222
SDG35,-20.899975,55.569986
SDG38,-20.633125,55.047825
SDG43,-20.903433,55.583744
SDG54,-20.425933,55.293125
SDG70,-20.678631,55.789942
SDG94,-20.818269,55.358133
SDG96,-20.860314,55.461192
SDG97,-21.027369,55.168014
SDG98,-20.827053,55.401464
SDG99,-20.861167,55.462725
SOBAT,-20.724694,56.267111
TAMTA,-20.005056,54.626194
UNKIK,-20.24125,52.934639
UVENA,-18.606083,54.399639
