IDENT,LATITUDE,LONGITUDE
ABATU,44.544725,25.674753
ABDER,43.887347,24.591403
ABEGO,46.095192,23.643164
ABISU,46.605458,23.164119
ABOKA,46.109414,24.96865
ABRED,44.638694,22.937714
ABRUT,44.450256,25.183167
ADAKI,44.477836,28.0638
AGNAR,44.353231,27.436511
AGOLI,44.573886,28.414103
ALENO,43.969108,29.841367
ALESU,46.942386,26.212914
AMETI,44.5361,25.566078
AMIKU,45.911589,24.584678
AMODA,44.53175,26.501208
ANTAL,46.756058,26.729297
APROD,46.447981,21.365264
ARPOS,46.043894,21.883056
ARVAK,46.735594,22.820542
ASKUT,46.403056,28.237778
ASLAM,44.842408,24.364061
ASTOD,46.627856,27.393625
ASTUP,46.986964,26.031086
ATRAP,44.643481,26.629622
BABUT,44.084389,23.704789
BAGAT,45.875083,21.073031
BAISA,46.655556,23.350572
BAKOV,45.978525,25.221253
BAKUS,44.680286,24.161458
BALBI,44.905094,25.754031
BALKU,44.633044,28.603292
BANAS,45.6294,22.269036
BARBU,46.321328,24.277075
BAREM,44.527961,25.59895
BARTA,46.907042,24.089406
BARUK,44.541394,28.569642
BASNA,45.932492,22.450931
BATIN,46.015308,23.775264
BAXER,46.424136,21.752797
BEDRI,45.076494,25.265278
BEGAL,44.600481,25.771939
BENGU,47.189414,25.185917
BERES,45.399722,28.291667
BESET,46.169942,22.318325
BIBOR,47.269069,25.139133
BIRTA,46.995019,23.454783
BLAJA,46.181394,24.011586
BUCSA,46.503411,26.367214
BUKAN,46.531553,22.891714
BUKEL,45.077811,25.725714
BUKUR,47.120211,25.478494
BULTO,46.720964,22.371478
BUNIR,44.712925,25.844153
BURIX,45.712728,22.901303
BUSES,46.925856,28.106169
BUSOK,44.532436,26.600914
CETUL,44.697519,28.627031
CKN09,44.4105,28.495333
CND06,44.605522,28.562297
CND10,44.600614,28.592461
CND11,44.218992,28.786747
CND13,44.116139,28.68875
CND15,44.543161,28.515086
CND17,44.061486,28.4978
CND28,44.39555,28.061331
CND29,44.460533,28.103589
CND32,44.575831,28.276761
CND34,44.606994,28.408369
CND35,44.611119,28.477686
CND93,44.448678,28.501253
COPSA,46.131192,24.232658
CROSA,45.619956,21.761583
DANUL,44.906694,28.456267
DEDUK,45.909033,21.151033
DEGOP,47.577342,24.969639
DEKIT,46.384708,26.421372
DEMUN,46.034833,24.618531
DENAK,45.002281,26.435692
DENUB,44.066275,29.443253
DEROT,46.215306,23.000944
DESAT,46.710922,22.090803
DIKER,44.502736,25.824572
DILAS,44.556139,25.820703
DIMPA,45.273056,22.032222
DINIK,46.745422,23.158025
DINRO,43.7,28.808333
DINTU,44.402478,25.5262
DIPIN,45.57645,24.484819
DIRAL,44.510839,27.55415
DOBOK,47.495833,27.4675
DOSAG,46.014525,21.218828
DRAGU,47.051558,23.54875
DUNAV,45.127161,28.482011
EFORI,44.054647,28.613031
ELBIK,45.336667,22.659722
ELGEX,44.820456,23.029481
ELMUD,46.729008,22.611603
ELTIM,45.715125,22.024586
ELVAB,44.164583,25.090736
EMBOS,44.978681,22.658142
ENIMA,45.079511,24.902511
EPAVA,47.645133,23.152175
EPOLA,45.827517,22.459844
EPUKI,45.493508,24.064133
EREDI,46.863039,23.360042
ERGAT,45.652597,25.840564
ERITA,44.605689,28.256014
ERNUT,45.15615,23.817656
EROBA,45.221625,23.559375
ERVAL,45.282739,23.315658
ESATU,47.521181,23.130272
ETORA,46.594428,23.947072
ETUBA,45.826944,22.3125
EVIKA,45.612519,27.513875
EVRIK,46.3519,22.242253
FAGET,45.825,21.983819
FOCSA,45.994731,26.689725
GALMI,44.133247,30.025536
GAVRI,45.621956,24.323408
GIKOL,46.358425,26.3558
GILUS,47.289444,23.541389
GINOS,46.928331,21.775219
GINTA,45.834428,21.018069
GIRAP,44.286883,24.873058
GIROK,45.947431,21.083097
GISET,45.620833,22.385
GORUN,46.232306,26.751914
GURSA,44.507125,26.121217
HUMOR,47.514739,25.876453
IBGOS,44.307161,24.990736
IBRIK,44.244572,28.472431
ICK14,44.32665,28.483539
IDARU,44.640142,26.981797
IDELO,45.260253,23.079028
ILL07,44.575739,26.07165
ILL09,44.565847,25.927761
INKOS,45.973333,22.748056
INPAS,44.743117,26.019822
INSAG,46.080833,22.513889
IOE08,44.568461,26.134931
IOE77,44.579075,26.295025
IOP08,44.563911,26.0627
IOP76,44.552778,25.904842
IRMAL,45.323333,28.82
IRR08,44.580461,26.142581
IRR65,44.589239,26.274989
JIBOU,47.491286,23.125003
KONIM,44.212056,28.832397
KORES,44.734853,30.058103
KOVUR,44.791753,25.485614
KUDAS,47.882264,23.125467
KUSUR,47.572578,23.489497
LAMIT,45.103978,23.374767
LANOM,44.864836,22.848436
LAPKA,45.292644,26.509075
LARMU,47.250322,23.135775
LATEL,46.937028,23.396872
LEMPA,44.727078,28.435264
LEVTA,44.589444,26.409594
LIBDO,47.008222,24.378569
LIPOV,46.101394,21.583242
LIVGA,44.611831,26.410986
LOVIS,44.619489,26.669483
LOZNA,47.435186,23.467067
LUGEB,43.735681,28.501083
LUNAV,46.918411,23.150447
LUNEK,44.351617,29.703572
LUROD,44.641272,26.545411
MADIT,44.534417,25.682603
MARIR,44.092086,28.720911
MEGIK,44.397181,25.595092
MIPRO,44.695231,23.508503
MIRON,46.719525,27.040419
MOBLI,44.783333,26.583333
MOBLU,44.1961,29.447264
MOBRA,45.864414,24.8194
MOLAX,46.268767,26.083556
MOLID,46.606431,27.288319
MOLNA,46.564219,24.135242
MOMER,45.729228,27.718914
MOMIK,45.988258,21.230436
MOSOP,43.719167,29.530278
MOVAT,44.002933,29.016742
NAPOC,46.683344,23.960092
NAVAR,46.5554,21.4562
NAVOD,45.255175,27.630281
NEKUL,45.516794,22.586769
NELUK,45.949083,26.454119
NENIK,44.965489,27.103281
NEPOT,45.9603,23.088083
NERDI,45.312694,23.703128
NERTO,45.859328,26.654525
NETUL,44.695383,26.978564
NIBAN,44.576397,26.039425
NICOL,44.226761,29.154456
NILET,44.438942,26.153092
NILOV,44.953831,25.170303
NIREL,44.160839,29.018767
NOPTI,46.315331,21.996275
NULGA,46.136519,26.030928
NURGU,46.201792,25.882033
NURPO,44.468481,29.315603
OBARA,47.031519,22.716328
OBELA,44.545433,25.827281
OBORU,47.064253,23.144022
OBUGA,44.109011,26.094272
ODEVA,45.809361,24.706017
ODORU,44.403931,28.016225
ODREN,46.752439,22.520036
OGATA,44.81265,30.130772
OGELU,44.219217,24.488533
OLERU,45.362617,25.229364
OLNOR,44.388364,26.321692
OLPAX,44.733017,25.903919
OPE01,44.569497,26.143644
OPE08,44.581108,26.145761
OPE10,44.571714,26.164786
OPE11,44.569586,26.152233
OPE80,44.568653,26.138306
OPW01,44.557589,25.982314
ORSUT,44.176039,26.075903
ORTAS,46.664225,21.548761
OSTAL,44.277917,26.772883
OSTOV,43.783333,23.8
OTL01,44.5701,25.998294
OTR01,44.581147,26.146342
OTR10,44.583286,26.163889
PABLI,45.585956,21.306589
PASCA,47.334236,26.498297
PEKID,46.419167,23.276667
PELES,46.217361,27.053292
PELUR,45.286744,25.488244
PEMOK,44.364692,24.348464
PERUT,45.859658,21.915203
PETIG,45.333611,21.944167
PEXAL,44.7167,26.091383
PIBOL,45.002747,22.793575
PILAT,44.823825,28.097739
PISIK,44.367647,28.17085
PITIS,44.576411,28.5171
POGAV,46.781667,28.166667
POLUN,44.237422,25.223372
R1856,44.576622,26.0841
R1857,44.564517,26.076608
R1858,44.56785,26.120419
R1859,44.579925,26.127764
R1860,44.377736,28.490586
R1861,44.346492,28.486322
RANUL,44.601167,26.414667
RAPAV,44.871217,25.495361
RARIT,44.601217,26.414811
RAROS,46.463453,24.788119
RAVEK,47.542078,23.078181
REBLA,46.760133,23.744642
RIDPA,44.825322,26.038153
RILAS,47.328964,22.610369
RILEX,44.597989,25.847628
RIMER,47.384883,22.965936
RIVOS,44.655703,27.654714
ROKAR,47.227608,25.022744
ROMAG,47.422903,22.418475
ROMOL,47.735556,25.0475
RONOT,47.213503,22.844411
ROPAN,47.083775,23.645242
ROSIA,46.887,22.298156
RUKAT,44.839408,26.485367
RULES,47.196047,22.069831
RUMUK,48.026667,23.343333
SIGHI,46.279622,24.636717
SIRVA,45.136936,28.13515
SOLGA,47.068975,27.405083
SOMET,47.69445,23.160919
SOPED,44.760314,26.082219
SORAN,46.018917,27.521142
SORDU,44.042528,25.446731
SOVEK,45.1925,23.105278
SUKOT,44.911722,25.220783
SUPEX,45.552181,23.225836
SUROL,45.029439,24.309433
SUSUR,44.613061,26.743094
TABAV,44.889669,26.966947
TALIK,45.8227,21.714667
TANDI,44.512592,27.984319
TEGRI,46.262786,21.104539
TESTU,44.751617,26.069597
TIMEX,44.673072,25.955886
TIMPU,46.246222,21.5417
TIMUR,43.688889,24.239167
TIPAR,47.2955,27.412664
TIRGU,46.4404,24.133742
TISAD,47.532975,22.589328
TISIR,44.501878,24.288711
TITEK,44.493267,23.573869
TOLNO,44.994708,26.347411
TOMET,46.486533,25.592278
TOMUC,47.507458,26.826206
TURAS,45.707978,22.045078
TURDA,46.571347,23.870817
TUSET,44.626856,25.149578
UBASA,47.651389,23.726944
UBITA,45.439925,23.008808
UNGAR,46.174569,20.93825
UNIRA,47.168333,27.851667
URARA,45.292083,27.470264
UREKI,45.804181,23.666028
URELA,45.496642,26.561092
VAKIS,43.852217,28.724814
VAKUP,44.925558,26.323119
VALPA,44.079586,25.253003
VAMES,47.346747,23.561222
VAMON,44.399406,24.679689
VAPEL,47.649444,24.929722
VASIS,45.953219,22.408075
VASOK,44.949881,22.497378
VEDAP,44.837786,25.718369
VEKOD,45.065989,23.154425
VELIP,44.771783,21.533331
VEVIN,44.713097,26.651956
VIBET,44.810347,26.154936
ABDIS,44.211428,24.494006
ABORA,44.552203,26.340822
ADINA,43.803333,30.505
ADULI,44.455172,25.869819
AKIMO,44.534142,25.760281
AKOMU,45.770833,21.305556
ALARU,44.672911,26.265675
AMODI,46.193044,21.503236
ANABA,47.5788,22.660783
ANATU,46.282697,21.421508
ARKIR,45.764606,21.682908
ARMOX,44.680556,26.375833
ARNAX,44.378525,25.829381
BABAK,44.449444,25.774722
BALOT,44.537703,25.755361
BAMUD,47.908889,24.209722
BARID,46.142153,21.013008
BARIV,46.841231,23.452803
BUDOP,46.687378,21.496656
BUKOV,47.951667,25.958333
DEVIP,44.369444,28.836111
DORIM,46.693483,26.842575
EDIBU,44.256336,24.927581
ERKET,46.629711,23.2542
ESURI,45.850278,21.176667
GIPAN,47.007819,23.632439
GIRIL,47.500372,23.048142
GOGAR,46.924964,23.500033
GORER,44.780833,26.08
GUDOS,44.392778,28.947778
IBOTA,46.760031,23.502153
IMVOR,47.862944,22.988956
KEPON,47.808294,23.018447
KODOG,47.494492,22.760153
KORAT,47.391744,27.147978
KUNOK,46.821272,23.644961
LARAN,44.579878,26.279508
LILGU,44.545833,26.377778
LORDI,44.556342,25.967336
LUSEN,46.779728,23.400083
LUTAS,47.385381,26.489247
MADUR,45.913392,21.263458
MAGEL,46.878656,23.912886
MASEB,44.535739,25.758194
MAVIT,45.24,21.308333
MOKRU,45.52,22.0825
MOPUG,46.163472,20.70805
NALIG,47.478606,22.860042
NARUT,47.816636,22.924728
NATUL,46.428892,21.349147
NEDKO,47.660897,23.092867
NEGUR,46.821461,23.929489
NIGAB,44.711094,26.112731
NISAL,44.305,28.435556
NOVKA,44.567006,25.958247
OLNET,44.442769,23.675169
OMISU,45.799878,21.603364
ORVET,44.411914,25.657097
PESUD,45.676242,21.632669
PETAV,44.569167,26.411667
PETOS,44.476686,25.454292
PEVIL,47.484011,22.810444
RAMOD,47.831706,26.289069
RASAR,44.623889,25.745278
REMSO,46.124067,21.492722
REVDA,43.733333,29.143333
RIMES,45.822428,21.687125
ROMUX,45.855717,20.623339
SONOB,44.523056,25.766111
SORET,45.78,28.151667
SOTUL,46.750914,23.455408
SOVOL,47.574681,23.043667
TABUR,44.591206,26.277825
TALAM,44.086389,30.438611
TERTI,45.088331,28.664472
TORMI,45.737928,21.622689
TOTRO,45.110447,28.723794
TUREL,44.712222,30.169444
TURIR,44.832847,28.656186
TUVEK,44.898733,28.670431
ULMAS,45.806411,21.497331
UMOLI,44.611361,26.417492
UMOXA,46.975761,23.563428
UNPIK,46.816447,23.448394
