IDENT,LATITUDE,LONGITUDE
ABAGO,56.291953,144.238106
ABALI,55.545356,68.020486
ABARA,61.183597,50.848072
ABARO,52.123392,48.561769
ABATA,70.000658,135.668589
ABDAD,60.202189,128.721072
ABDAG,69.454072,125.958036
ABDIR,57.521667,60.608333
ABEDO,59.968342,35.832819
ABELA,44.1915,42.600233
ABELO,61.943792,64.8918
ABERI,87.5,32.0
ABESA,54.927089,77.627472
ABGAR,69.605,58.465
ABGEL,55.770492,118.118917
ABGIL,62.327161,67.721883
ABGIR,57.416842,154.671756
ABIGA,60.298333,90.926667
ABILA,67.541758,170.861239
ABINA,64.368056,-171.763919
ABITI,56.143717,69.652183
ABLAR,63.083572,46.892836
ABLAS,55.702194,105.043439
ABLER,56.401667,77.515
ABLOG,47.81,40.381667
ABLOR,53.483397,47.081692
ABMET,53.950119,50.495078
ABOBI,67.946658,176.691392
ABODI,60.610342,57.469958
ABOKO,68.526667,167.583333
ABOLI,55.887186,111.382008
ABOMA,53.483542,145.918053
ABORI,49.741889,136.677711
ABREN,63.243986,84.639203
ABRIN,59.220272,150.173397
ABUMI,65.95,111.516667
ABURI,58.080222,52.173275
ABUSA,51.965,101.69
ABUTO,52.988197,33.873161
ADAGI,56.873589,56.448439
ADALU,66.178519,164.157603
ADAPA,52.687117,108.113536
ADAPI,50.758328,45.590094
ADASO,59.247272,95.674736
ADEGI,56.293861,92.087958
ADELI,59.476942,54.036586
ADERI,59.601667,127.668333
ADIDA,51.576667,104.571667
ADIRI,71.019111,79.541925
ADISA,61.416897,48.346325
ADITO,50.450192,141.501186
ADLEM,43.403119,39.946881
ADLEN,64.773025,-169.782206
ADMUR,59.823797,69.605392
ADOLI,67.342456,103.465072
ADONI,56.32885,88.897839
ADUGA,45.565,39.591667
ADUTA,57.575,51.798333
AGABI,51.9954,118.697217
AGADA,70.205842,108.193703
AGAMO,63.14665,31.262508
AGAPO,48.245,137.205
AGARU,59.885392,62.951833
AGATO,42.266536,48.538703
AGEMA,54.365497,102.385008
AGEMI,60.500525,74.998897
AGEMO,56.121939,145.253128
AGERO,53.663539,57.840261
AGINO,51.100397,114.533739
AGITA,42.326756,132.197475
AGLUR,53.745,39.065
AGMAR,53.501775,50.153422
AGMUS,60.963333,65.976667
AGNER,63.521667,54.613333
AGOLA,45.799872,43.315203
AGOTI,58.683853,79.682458
AGUBI,55.32,148.488333
AGUKA,54.760442,123.145739
AGUKI,65.248519,41.054175
AGUNI,46.826667,135.618333
AGURI,71.065,159.13
AKADA,61.800236,48.227961
AKANI,56.32185,152.546656
AKARU,65.266667,100.42
AKASI,55.615247,57.930194
AKATA,59.892256,117.418958
AKATI,70.136772,31.980036
AKESI,53.955158,53.511811
AKODA,54.366747,47.083322
AKOLA,48.600167,140.184444
AKTAS,50.317036,87.582864
ALABO,43.204892,48.865356
ALAGI,58.033708,64.781967
ALEGI,44.72485,42.998558
ALIRO,54.033764,82.307644
ALISA,64.111753,36.265842
ALMAR,45.216553,45.215247
ALNB,53.683325,41.681583
ALOGA,60.600522,74.3322
ALUPI,62.175,134.788333
ALURI,58.050025,38.847989
ALUTI,59.721789,43.167975
AMABI,57.289908,32.394597
AMASA,57.6952,153.303403
AMATA,46.883211,42.281825
AMBAR,54.550439,122.517383
AMDOR,56.299869,30.997967
AMERA,50.221969,128.145817
AMETO,58.360211,153.343436
AMGUT,62.936631,173.990822
AMIBI,58.460575,113.333775
AMKAT,51.43,36.878333
AMOTI,55.950511,89.049517
AMRAD,53.300417,82.999347
AMUPI,50.408569,136.9344
AMUTA,50.3754,104.875089
AMUTI,50.356667,42.19
ANAGO,53.836914,143.164658
ANAKA,45.001447,37.346808
ANAMI,67.090753,88.217597
ANDAT,59.516819,45.498039
ANEPA,67.405314,46.702447
ANEPO,55.016931,60.408617
ANESU,66.239039,83.007364
ANGAR,59.633333,31.2
ANGUT,53.150467,104.600086
ANIGI,51.161553,37.473283
ANODI,77.500764,65.996753
APRAN,61.287211,75.135539
APRUS,55.98385,91.232931
AR01,57.333661,61.915239
ARBUK,67.316889,41.113964
ARDEL,46.818506,134.989278
ARDIB,58.600514,125.400903
ARELI,55.250406,129.867639
ARGIP,64.600169,40.715894
ARGIT,55.420278,60.855281
ARGOV,45.833406,143.559464
ARGUK,47.883533,134.659289
ARGUP,58.875,154.275
ARGUT,43.433169,43.948603
ARISA,51.490072,50.546831
ARKAD,52.866678,44.098325
ARKAN,52.360422,115.530453
ARKAS,53.4984,47.218361
ARKEP,60.588967,109.276967
ARKOD,55.325425,127.347558
ARKUK,67.488889,63.989744
ARKUT,44.026439,38.091842
ARLAS,42.985,134.598333
ARLEB,46.78,42.001667
ARLEN,66.78215,59.079603
ARLIM,70.105061,174.741672
ARLIP,64.615,72.201667
ARMAD,67.148333,33.518333
ARNAP,64.666719,170.419253
ARNIS,50.035,41.521667
ARNUL,51.967067,85.849458
ARTEP,54.821667,97.85
ARTUN,58.905389,64.475256
ASBAT,63.891803,164.742403
ASBET,54.456667,85.866667
ASKAL,56.285244,56.545133
ASKIB,59.401667,143.051667
ASKIL,54.503175,31.084725
ASLAR,73.020769,130.311925
ASLEM,53.030125,52.203483
ASMER,43.551667,136.38
ASMOK,64.813419,168.722567
ASMUR,57.858867,119.445667
ASNAR,52.606667,37.1
ASNOL,60.185011,35.782803
ASPUN,48.846617,44.933478
ASTAP,54.633333,83.816667
ATLIN,57.963839,79.705808
ATLUM,61.157014,56.954914
ATMES,57.982053,65.928672
ATNOR,60.327297,107.35355
ATREG,55.745517,93.399678
ATREL,44.253147,40.945208
ATRIT,59.896667,46.055
ATRUN,55.676603,35.761397
AVADI,56.233306,37.431394
AZABI,44.739928,49.498664
BA01,47.316528,40.365117
BA02,57.017164,82.065914
BABAD,68.974922,-178.780075
BABEM,66.050475,59.564681
BABRI,52.368408,49.333444
BABUK,56.083714,69.59885
BABUR,45.386608,49.49865
BADAK,57.35,39.15
BADIN,52.255442,107.866861
BADKO,44.511517,43.506906
BADRO,83.499419,108.001072
BAGAL,59.683953,101.033286
BAGER,56.012006,65.395392
BAGLA,51.864944,40.651636
BAGOM,46.853333,140.0
BAGOT,67.550633,133.38495
BAGRA,66.3534,171.196108
BAGUN,61.150428,140.464864
BAKAT,54.080392,128.355897
BAKEN,53.656725,157.993331
BAKET,60.226761,40.862894
BAKMI,54.470472,88.691189
BAKOD,59.825,126.813333
BAKRI,43.898108,38.281847
BAKUN,55.400492,115.835497
BALAS,51.583308,43.148356
BALEG,45.653333,39.32
BALEK,64.015042,33.917475
BALET,44.833467,134.017553
BALGA,51.371936,135.55605
BALKA,63.116772,38.414303
BALOM,65.263908,134.698197
BALUD,72.965,40.633333
BALUM,42.684744,37.665203
BALUR,61.943333,172.7
BALUT,55.950522,92.716317
BAMAL,53.983747,124.784114
BAMIL,55.04365,65.172083
BAMOK,56.425,172.821667
BAMOL,62.611722,168.344036
BAMON,62.623667,53.989736
BAMUK,51.616667,100.916667
BAMUS,54.083772,83.227675
BANAK,52.580189,58.356975
BANAL,56.998311,36.963014
BANAM,57.122011,63.753636
BANAN,54.555489,93.513025
BANIP,53.213203,34.176489
BANIR,51.325333,127.667489
BANIT,54.830119,155.074983
BANOG,53.065,48.968333
BANOT,59.676961,149.146725
BANTA,65.949036,83.202383
BAPRA,57.371667,56.94
BARAL,59.355325,58.015039
BARIB,45.888333,138.11
BARLU,53.363756,83.541028
BARMU,55.319961,166.646889
BAROV,54.663589,82.616642
BASAD,53.7334,46.765008
BASEL,56.750536,91.716272
BASKO,46.199925,46.848583
BASKU,54.553567,58.511914
BATAL,53.718542,58.081933
BATLA,54.442125,85.736086
BATNI,65.703022,-168.970439
BATRA,63.167333,87.999356
BATUR,52.251722,48.136756
BAVDA,59.361536,66.813647
BDRD,52.433783,103.200036
BEBIR,63.9205,65.028364
BEDLI,54.817147,88.729519
BEDMO,66.665619,71.286789
BEDNA,57.998817,127.702636
BEDUS,46.606667,38.733333
BEGEL,63.165622,124.345997
BEGMA,57.040317,61.360236
BEGUR,62.121661,32.862617
BEGUS,55.563506,52.093383
BEGUT,59.688339,35.904506
BEKAL,68.862478,94.999589
BEKAM,60.316819,44.497967
BEKIS,43.138078,36.988517
BEKMI,69.783467,170.598206
BEKON,58.9332,28.347783
BEKUR,52.375439,110.760292
BELAG,56.161603,35.288033
BELEG,63.688847,66.698442
BELIB,50.643197,36.589956
BELNI,43.919869,45.920289
BELSA,62.058397,37.054361
BELUT,55.451914,58.021869
BEMIR,55.271733,44.786572
BEMUR,67.920281,44.090644
BENAG,53.110031,45.021664
BENAL,54.778333,21.646667
BENIR,66.309764,-172.503711
BENOK,51.008508,144.332939
BENOL,55.078489,51.465056
BEPLA,57.978914,101.369969
BEPRA,58.431944,148.419978
BERIP,60.77055,77.362311
BERNO,58.149956,34.364575
BERUN,53.374892,35.421497
BESER,46.205,136.428333
BESON,79.351022,104.516933
BESPA,50.101928,133.417631
BESUN,56.106792,47.918267
BESUR,61.673994,96.934772
BETAM,64.725017,172.617628
BETOR,43.868233,48.440333
BG01,43.883453,133.250856
BI01,69.409122,86.215736
BIGET,52.870072,155.779922
BIKMA,57.071958,59.176839
BIKNA,61.288414,38.756117
BIKUR,47.950139,141.467794
BILMA,55.108847,104.491753
BILMI,65.438694,52.197806
BIMLO,58.270372,63.981933
BIMTA,57.388869,116.610553
BINTA,77.745986,95.982731
BIRBO,48.833567,132.917592
BISNA,42.233211,49.28205
BISUN,43.233453,131.197461
BITSA,55.566631,37.614764
BOBRU,68.217167,146.020558
BODRO,50.533183,35.764947
BOGRA,53.150467,103.783389
BOKIS,50.962033,83.552731
BOKNA,55.25,148.74
BOKSA,56.090117,47.346589
BOKVI,65.453639,48.441022
BOLUK,54.899683,21.081286
BOMGI,56.081533,31.001311
BOMLI,60.750511,72.748803
BOROK,44.933206,44.515244
BUGOT,54.640164,52.800103
BUKAM,55.142136,84.336028
BUKET,61.700358,56.914883
BULOD,46.761667,139.451667
BULUN,70.684083,127.401536
BUMAD,60.367142,134.434619
BUMAR,42.0282,48.920381
BUMAT,61.835169,160.548817
BUMEN,49.193406,150.001353
BUMER,54.342161,97.948183
BUMET,69.325831,101.518297
BUMON,58.447253,95.188058
BUMUL,64.68155,179.892722
BUMUR,57.803631,58.435122
BUNAK,54.917131,84.349367
BUNET,55.160389,72.693975
BURUK,55.583728,131.951047
BUSUL,61.4169,155.900342
BUTRI,50.783258,40.598342
BW01,51.896711,47.795097
DABER,55.050081,46.131608
DABUR,51.785211,142.599583
DAGES,43.666786,132.817508
DAGOT,52.840192,58.043625
DAKLO,55.616647,38.631444
