IDENT,LATITUDE,LONGITUDE
ABH03,18.281028,42.607119
ABH06,18.240942,42.656497
ABH07,18.32435,42.553703
ABH08,18.423933,42.430753
ABH10,18.356836,42.513622
ABH30,18.511903,42.300467
ABH31,18.446419,42.449906
ABH32,18.477661,42.49025
ABH33,18.497531,42.526253
ABH57,18.526192,42.646539
ABH70,18.482361,42.356253
ABKAR,19.086389,40.27
AJF03,29.780006,40.128119
AJF05,29.708439,40.343478
AJF19,29.545967,40.003417
AJF27,29.83595,39.7893
AJF37,29.979031,40.259678
AJF89,29.776936,40.358614
AJF97,29.742225,40.353786
AJF99,29.780481,40.128819
AKODI,27.836667,46.222222
AKRAM,25.843333,47.859167
ALKIR,27.132778,44.728611
ALMAL,26.264722,48.352222
ALNAT,26.399722,40.965556
ALNAX,20.800556,41.171667
ALRIK,22.108711,48.426453
ALSAT,27.103056,47.521667
ALTAV,25.744167,47.331389
ALVON,27.0025,50.119722
AMBAG,23.091311,47.769747
ANTAP,25.1175,40.088056
ANTER,27.036667,45.566389
ASKIM,26.290556,48.709444
ASLAT,22.100833,39.786944
ASPAN,26.548611,49.8175
ASTIN,20.069344,49.8889
ASTOL,22.916667,39.586667
ASVIR,28.538889,48.372222
AVATO,24.130586,39.673475
AVOBO,26.059444,47.121944
AXONO,21.623511,39.372481
BAYAN,25.490556,51.813611
BELAL,25.774722,39.423056
BOMIK,22.178522,46.486894
BOMOT,21.590867,39.209469
BONUM,22.214444,39.634722
BORAR,21.497561,40.635969
BOROP,26.888056,48.8675
BOSAL,29.486667,37.9925
BOSID,28.7075,46.900278
BOTEP,27.738889,46.240278
BOTIK,24.725833,41.063333
BOTOD,25.187364,46.527386
BOVAS,18.321881,42.550556
BOVIT,23.331111,37.742222
BOXIL,16.923889,41.901667
BUBAR,21.7784,39.098
COPPI,27.8425,47.733056
DAMUL,24.83995,41.988111
DANAG,26.743889,49.815556
DANAK,16.133333,41.483333
DAPOD,29.100278,38.358611
DAPON,24.556181,46.477836
DARAG,28.606111,36.567222
DARES,23.679722,38.408056
DAVGU,27.836944,48.786944
DAVLO,19.395367,46.874039
DAXEM,28.54,36.823056
DEBAS,23.182922,46.457783
DEBOL,27.354444,46.311944
DEDAS,26.503056,50.240833
DEDEX,22.191,39.627997
DEGEN,24.948889,39.119167
DEGLA,25.045278,47.479722
DEGNO,22.995719,48.998194
DELMU,26.314722,49.056389
DELNI,30.08,41.274167
DEMSU,27.696944,36.5725
DENAB,24.519333,39.996056
DERKO,28.449722,46.873333
DETGO,22.226647,44.472775
DIRAS,19.876389,51.617778
DUMSI,19.076667,42.6425
DUNGU,20.941389,38.266389
DURMA,24.452778,45.769444
DUSBO,28.104444,46.881667
DUSTA,27.215278,49.226944
EAL08,21.656969,39.183669
EAL22,21.622206,39.196883
EGLOS,21.861019,39.257117
EGMAK,17.878611,43.445278
EGNIL,19.934167,45.575
EGNOV,27.050278,47.786944
EGREN,20.376667,46.739444
EGSAT,18.535278,41.838889
EGSIS,29.0875,36.480556
EGVOP,27.916111,41.173333
EKLIL,23.843333,40.836667
ELIVI,18.815556,43.295556
EMAKA,23.681389,41.093056
EMARO,27.561667,45.225
EMEKO,19.467778,42.046389
EMENI,27.542222,47.646944
EMILU,27.841944,47.995278
EMOTO,21.379028,40.559778
EMURI,25.095833,40.940833
ENABI,29.110833,38.930556
ENANA,23.784444,39.649167
ENELA,24.644167,40.429167
ESRAT,25.856944,47.0375
ETBAS,25.580833,47.555
GADLI,30.386667,40.639167
GAS01,26.283947,43.785347
GAS02,26.321914,43.762464
GAS06,26.321431,43.763839
GAS15,26.520822,43.651797
GAS16,26.538,43.861194
GAS22,26.111625,43.593797
GAS24,26.191822,43.527583
GAS25,26.508428,43.627756
GAS31,26.481458,43.589494
GAS32,26.498367,43.611825
GAS33,26.529,43.670656
GAS34,26.538,43.698083
GAS43,26.475364,43.976775
GAS47,26.062431,43.874592
GAS51,26.063803,43.879197
GAS67,26.051772,43.832642
GAS88,26.297814,44.058006
GASEM,18.684111,42.451192
GENEX,31.496111,37.003056
GEPAK,26.55,48.724444
GEPAL,22.711944,39.101944
GIBAM,30.005,40.275556
GIBUS,25.956667,47.474722
GINDI,20.889722,39.827222
GOBMO,26.170278,45.438611
GOBRO,19.606111,53.794722
GOKSA,24.411667,41.0675
GOLNO,25.198611,48.616111
GOMRA,25.615556,40.426111
GOVAL,28.203056,47.485556
HIMMA,24.057472,48.0385
IMDAS,24.8678,46.7393
IMRAM,17.934444,41.501111
IMSAK,27.656111,46.638056
IMTOL,24.864197,46.772736
IRBAB,19.467222,42.635
ISLAM,21.78,39.866667
ITEPU,28.0875,41.586389
ITESO,18.743333,41.958889
ITIMU,24.254444,40.178889
ITIXI,27.841944,47.076389
ITUMI,21.5949,39.169419
IVONU,25.056389,45.675
JDW02,21.71115,39.124069
JDW03,21.733906,39.137153
JDW05,21.909789,39.185761
JDW07,21.697631,39.151047
JDW12,21.578422,39.325231
JDW14,21.384975,39.444253
JDW15,21.4997,39.017264
JDW16,22.109994,39.294469
JDW18,21.292275,39.147706
JDW21,21.868289,39.030897
JDW23,21.893514,39.25075
JDW26,21.878467,39.046161
JDW27,21.43005,38.831383
JDW29,21.7999,38.912472
JDW31,21.887364,39.062319
JDW32,22.039447,38.887156
JDW33,22.100467,39.002483
JDW36,21.830881,38.9916
JDW40,22.034894,39.445517
JDW41,21.901053,39.096817
JDW46,21.905739,39.114897
JDW53,21.828064,39.337186
JDW57,21.524064,39.243636
JDW64,21.541808,39.280122
JDW66,21.465708,39.223572
JDW75,21.459897,39.181975
JDW77,21.662033,39.142397
JDW79,21.435353,39.22965
JDW80,21.775003,39.605436
JDW81,21.459442,39.153925
JDW86,21.859503,38.745094
JDW87,21.477528,39.263692
JDW88,21.749217,39.428525
JDW89,21.515117,39.332011
JDW90,21.555583,39.374619
JDW91,21.905069,39.332467
JDW92,21.950083,39.241906
JDW93,21.7406,39.1522
JDW94,21.944375,39.066906
JDW95,21.907797,38.997758
JDW96,21.542181,38.963989
JDW97,21.322389,39.330458
JDW98,21.706069,39.165453
JDW99,21.908933,39.133344
KAPAG,28.065278,46.645833
KARAB,26.582436,49.752286
KARIN,22.508333,40.841944
KAROD,20.129167,44.775
KAROX,20.954722,38.263056
KATOD,28.528056,47.931667
KAVID,30.597778,40.196389
KAVUR,24.7775,45.666667
KEBUK,22.749444,41.367778
KEDAS,18.998056,42.281389
KEDAT,27.363611,47.983611
KFA02,26.752153,49.993864
KFA15,26.613092,49.780681
KFA21,26.597242,49.923978
KFA22,26.277822,49.73265
KFA26,26.356583,49.689933
KFA30,26.575008,49.667631
KFA31,26.673044,49.596569
KFA32,26.714489,49.692967
KFA33,26.723808,49.730917
KFA34,26.495489,49.80155
KFA35,26.705683,49.666122
KFA36,26.719111,49.710008
KFA37,26.4954,49.7792
KFA38,26.248931,49.837558
KFA39,26.258533,49.874519
KFA40,26.447,49.8165
KFA41,26.247794,49.8195
KFA42,26.251942,49.854147
KFA43,26.4469,49.7941
KIA04,25.186378,46.440308
KIA06,24.982981,46.698511
KIA07,25.142944,46.397556
KIA15,25.291839,46.870683
KIA16,24.7397,46.848206
KIA17,24.754175,46.646589
KIA18,24.471842,46.695786
KIA22,24.595803,46.511542
KIA23,24.556411,46.478022
KIA25,25.244136,46.522703
KIA29,25.204669,46.961664
KIA30,25.112317,46.440839
KIA31,25.1636,46.494069
KIA32,25.179806,46.515975
KIA33,25.207839,46.563256
KIA34,25.219533,46.5884
KIA45,24.702133,46.347872
KIA50,25.297928,46.6795
KIA52,25.186578,46.440092
KIA59,25.094653,47.157158
KIA62,24.726158,46.812908
KIA63,25.18145,47.084394
KIA64,24.926567,46.733456
KIA70,24.930481,46.700731
KIA72,24.719994,46.781711
KIA74,24.993578,47.202381
KIA77,24.679656,46.887781
KIA79,24.950797,46.306267
KIA81,24.52155,46.703394
KIA89,24.961919,46.595867
KIA91,24.656069,46.876222
KINIB,25.685556,48.388056
KIPOM,22.887778,50.255
KIREN,25.246389,49.123333
KIROM,17.321667,42.873333
KISIB,23.306111,37.753611
KITAP,22.824444,52.489722
KITEX,21.775278,39.137608
KITOD,23.633333,38.280278
KITUB,22.822778,46.395
KIVAP,24.476667,40.432222
KOBAS,17.074444,40.341389
KOBOX,25.121111,47.829444
KODAG,27.054722,49.339722
KODIN,25.298056,38.603333
KODIS,24.047222,42.890833
KULDA,28.327092,36.667233
KULKI,25.803889,37.245833
KULMU,26.382853,43.719931
KUMDI,28.311053,36.6932
KUMRA,19.200278,41.18
KUMRO,21.238889,43.651667
KUMTI,17.616667,44.187222
KUMUL,20.248333,42.843333
KUNLU,18.511275,42.312836
KUNRU,28.538889,48.180556
KUNSO,17.921111,43.304167
KURDO,24.885,42.366111
KUSAR,26.794722,49.038333
KUSPO,21.86975,39.101619
KUSRO,25.860556,44.724444
KUSTA,24.386753,46.667264
KUTEM,26.733056,47.589167
KUTMA,18.490833,48.200556
KUTNA,23.228056,51.458333
KUTOL,23.121667,42.363056
LABAD,29.322778,38.903056
LABAG,20.700556,40.455278
LABEB,23.282222,42.799444
LABIS,26.304167,45.298611
LABNI,16.938889,41.155833
LABSI,22.190556,46.066111
LABUN,26.665556,36.515
LADKA,25.054489,46.620481
LAKNA,16.0,42.0
LAKNO,21.168889,40.8375
LAKSO,28.796389,45.691389
LALBA,24.438672,39.732539
LALGI,17.508056,43.081389
LONIM,23.83,39.454444
LONOM,28.420114,36.758147
LONOX,22.076111,39.787222
LOPAR,21.8567,39.0678
LOPEN,29.763983,40.228625
LOPIM,20.707222,39.121944
LORAL,24.810864,39.653378
LORAM,21.833472,38.9545
LOSED,22.868333,41.033611
LOSEL,27.359722,42.429167
LOTAD,28.819722,37.1625
LOTAN,29.995,43.646667
LOTOK,28.131944,45.086667
LOTOS,22.0,50.653333
LOVOB,25.202222,39.555278
LOXOM,27.946667,44.142222
LUBAP,20.845556,38.569722
LUDEP,29.162778,43.112778
LUGAL,26.7675,47.376389
LUGAR,29.806856,39.981997
MATIX,26.359886,49.821042
MEDAD,24.815336,46.363792
MEGTA,29.768542,40.206933
MELRA,24.662803,39.684922
MELRI,21.592864,39.209522
MEMTO,28.329694,36.664386
MENDA,21.904039,40.523717
MESBA,23.73,38.785556
METEB,23.901111,39.148611
METNI,25.620833,46.008611
METSU,24.381111,38.9975
MEVNI,22.49,38.485278
MIDRI,26.391531,43.724178
MIGMA,22.843056,51.463611
MIPOL,20.556111,38.3625
MIRAS,25.252222,44.500278
MIRIS,20.055,40.522778
MISAM,21.904167,40.031389
MISEK,27.947222,37.199167
MITSO,26.2975,46.505833
MIVAP,25.068333,44.006667
MOBES,20.515278,40.991667
MOGAR,21.578,39.175
MOGON,27.646389,44.765
MUNTO,23.895833,46.583056
MUPVA,28.474094,36.865339
MURIB,31.210278,41.843333
MURLU,25.876389,46.582222
MUSAR,24.841111,40.3625
MUSKO,27.444444,47.618889
MUSRI,26.279722,47.693611
MUTAR,26.603056,50.1075
MUTIN,26.376122,43.729717
MUTIP,26.633486,49.540453
MUVAT,25.631944,36.912778
NABAD,25.060489,46.650222
NABEK,28.508333,36.945278
NABMA,20.159444,44.927222
NABTA,20.553889,38.362778
NADPA,24.2857,39.764933
NADSI,26.637222,38.996667
NAGAR,26.205403,43.817033
NAGIP,28.701667,36.1925
NAKAR,28.417039,36.737431
NAKLA,21.483331,39.213361
NALBU,27.238889,43.701667
NANGO,19.909722,40.294167
NETOB,17.576111,42.618333
NETOL,27.13,36.540556
NEVOL,30.412778,39.644722
NIDAP,28.649167,47.615556
NIMAR,29.109722,39.906944
NIVGO,21.493775,39.248536
NOBNA,21.018333,38.359444
NONGA,20.846667,49.337222
NONLU,27.989167,46.193611
NORLU,26.582506,49.774669
NOTLI,28.2,43.620556
OBROD,22.466111,39.871667
OBSOT,29.914167,37.581944
ODBAT,29.539167,39.440556
ORKAS,30.790278,38.771389
ORKOS,21.764125,39.124261
ORLES,28.663056,40.935
ORMAD,26.064722,40.733611
ORNIL,27.584167,42.411944
ORSAL,29.046667,42.179444
ORSEM,17.645278,43.280278
OTALI,24.553611,47.795556
OTAMA,23.863333,49.785278
OTILA,32.025278,39.031344
OTUTO,24.730536,46.826661
OVANO,31.800278,39.164167
OVEKU,25.165278,44.950278
PAPOM,17.941111,42.638889
PAPUX,20.262222,39.779167
PARAM,31.388911,37.111444
PASAM,27.5125,34.928333
PASIT,27.169722,44.381389
PASOB,25.203356,46.557317
PATAB,21.7891,39.1328
PATOG,18.044722,46.775278
PATOL,25.726111,39.234722
PAVAR,18.403322,42.275367
PAXAN,29.738333,41.309167
PEGIS,26.360031,49.843358
PEKAR,17.405,42.608056
PMA01,24.574189,39.703919
PMA03,24.6137,39.696208
PMA07,24.5289,39.7132
PMA10,24.728808,39.672939
PMA11,24.359517,39.746983
PMA13,24.778125,39.662958
PMA15,24.297794,39.809875
PMA16,24.315833,39.851236
PMA17,24.221731,39.787297
PMA18,24.281078,39.730706
PMA25,24.473586,39.424294
PMA30,24.704642,39.468361
PMA31,24.4913,39.7212
PMA33,24.791925,39.586081
PMA34,24.800494,39.609858
PMA35,24.814733,39.689931
PMA62,24.668811,39.966114
PMA79,24.593764,39.9934
PURDA,21.134722,51.058056
PUROP,17.650661,43.109183
PURSI,25.9,48.835
PUSLA,26.299444,46.285
R2230,21.689125,39.153878
R2231,21.700442,39.167125
R2232,21.702744,39.126872
R2233,21.661167,39.164908
R2234,21.670547,39.139581
