IDENT,LATITUDE,LONGITUDE
AFTRA,-9.185,160.948333
AKNAK,-13.22,164.393333
ALSAR,-8.846667,159.198333
ANSTA,-10.11,160.776667
ARDGU,-9.565,159.013333
ARONA,-9.853333,161.975
ATOFI,-8.87355,161.01105
ATVIG,-10.291667,161.91
AUKI,-8.695,160.68
BAKOS,-10.113333,163.0
BALLE,-6.983333,155.885
BELNA,-11.295,159.796667
BISTT,-11.026667,159.468333
CHOSL,-6.705,156.395
CROPO,-8.833333,160.821667
CULES,-9.936667,159.135
DEWER,-9.668333,161.0
DUGOM,-6.545,156.048333
ENDAL,-6.733333,155.996667
ENOUS,-14.0,162.191667
FERA,-8.1,159.576667
GIZO,-8.091667,156.863333
GREFS,-10.263333,158.546667
IDSEK,-9.675,158.07
ILEWA,-10.17,160.718333
INAWO,-9.048333,159.088333
IRRIE,-8.59,159.485
KAGLI,-7.265,162.86
KALUA,-10.595,164.0
KARSM,-8.658333,160.65
KIRAK,-10.441667,161.896667
KOPAU,-9.531667,159.606667
LAWIN,-10.66,165.0
LEGOT,-12.176667,166.221667
MAMAS,-10.331667,164.0
MANOT,-6.718333,162.211667
MARAU,-9.871667,160.82
MONO,-7.408333,155.566667
MUDAN,-7.746667,157.685
MUNDA,-8.32,157.261667
NANA,-10.655,162.203333
NIPER,-13.463333,163.96
OJAVA,-5.506667,159.526667
ORING,-8.518333,159.623333
PARSI,-9.633333,161.421667
PYCRE,-10.353333,160.446667
RENNL,-11.543333,160.061667
RIPNA,-14.0,158.416667
RUPAS,-10.523333,163.0
SANTA,-10.841667,162.453333
SCRUZ,-10.713333,165.793333
SONDA,-9.855,160.941667
SUVNO,-7.578333,158.73
THARS,-9.643333,158.343333
ULAWA,-9.875,161.925
UMCRE,-10.393333,159.688333
