IDENT,LATITUDE,LONGITUDE
ALRAN,-10.0,56.372506
ALRUS,-4.216789,47.96405
AMBAN,-10.0,55.648658
ANTIS,-4.198581,46.898028
ANVET,-3.187458,44.0
ANVIX,-1.743333,53.56
APKAK,-0.189161,46.242594
APNAK,1.0,52.435278
ATOLA,-10.0,46.47675
ATUTI,-1.459186,53.953428
AXINA,6.829675,55.0
BERIL,-10.0,45.995953
BOMOB,-1.575,57.64
BUSUX,-3.916667,60.0
CLAVA,1.770031,60.0
DANEL,-3.801667,52.408333
DEBNO,-3.424875,50.0
EGLOM,0.748794,47.403356
ESTOK,2.711394,49.836322
GABTO,0.188858,48.32005
GEPAR,-1.126419,46.642425
GITOP,-4.006667,59.031667
IMKOT,5.397383,55.0
ITLOX,-1.171958,45.026081
ITPOK,1.905525,50.510839
KATEB,-4.258333,52.371667
LOTER,-4.175236,45.653158
MAMEL,-4.476364,55.539331
MIRON,-6.02,52.836667
MITCH,-2.0,45.52685
MOGUD,-2.576667,52.853333
NEROT,7.693558,58.0
NESAM,-10.0,48.531667
NETAR,-2.461233,44.0
NIBAK,-3.019986,47.451331
NORSI,-7.254167,54.121389
OKLAB,-6.410278,53.108056
ORLOM,-2.976667,58.768333
PERRY,-6.0,60.0
PRA25,-4.724469,55.670708
R1305,-4.680494,55.530642
RERUS,-7.633333,56.093333
RUBAM,-7.655,55.673333
SEY05,-4.501111,55.537936
SEY07,-4.747147,55.626586
SEY18,-4.698056,55.554514
SEY24,-4.732969,55.635728
SEY35,-4.618303,55.534719
SEY40,-4.759178,55.616347
SEY48,-4.733319,55.590186
SEY55,-4.584819,55.535639
SEY62,-4.705303,55.566128
SEY95,-4.702758,55.559269
SEY97,-4.641739,55.534078
SEYNB,-4.617594,55.439458
SIA07,-4.746606,55.626697
SIA48,-4.726153,55.597097
SIA51,-4.695206,55.550503
SIA61,-4.695233,55.552486
SOKAR,-6.0,45.759689
TEXAR,0.123239,52.0
TIKAR,-8.0,49.464175
UDLET,-0.965,55.463333
UNKOB,3.614392,52.7
UNPAR,-0.822606,45.458619
UTOPA,-1.447617,51.0
UTRON,2.0,55.248322
UVDOX,-7.0,49.161567
UVESO,-7.0,48.659931
VUTAS,9.2,60.0
YANKE,-4.47455,55.718714
ZULU,-4.522119,55.686211
