IDENT,LATITUDE,LONGITUDE
ALMAM,9.562533,24.747619
ALPOX,17.191856,32.142042
ALVOR,16.102422,28.034247
ATUGA,4.0,31.765
BARIA,9.5756,29.985675
BOGUM,20.11,38.05
BOPID,16.662942,33.861022
DAGAP,6.4,34.2
DEKUM,4.618333,29.65
DELAM,14.666806,29.112128
DENDI,15.501944,34.278333
EMITA,14.358694,33.745767
GAGNI,13.907531,32.784994
GAILY,16.187436,32.859822
GENNA,13.483306,22.463611
ILBIB,12.545,22.45
IMSUT,14.346394,31.374333
KAFIA,8.733333,23.516667
LADEN,18.895,38.083333
MAHDI,20.433333,37.655
OVELA,4.0,31.248333
RABAK,13.019492,32.166036
RADAG,11.061231,27.005442
SAGBU,4.0,30.383333
SAMHA,13.91045,32.300658
TAPOS,5.902325,33.333911
TOKAR,18.106667,37.803333
